UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
332,2023-03-24,台北市,大同區,1,115,0.14
572,2023-03-17,台北市,大同區,1,114,0.14
862,2023-03-10,台北市,大同區,1,113,0.29
963,2023-03-08,台北市,大同區,1,112,0.14
1429,2023-02-27,台北市,大同區,1,111,0.14
1844,2023-02-20,台北市,大同區,1,110,0.29
2007,2023-02-17,台北市,大同區,1,109,0.29
2264,2023-02-13,台北市,大同區,1,108,0.29
2661,2023-02-07,台北市,大同區,1,107,0.29
2788,2023-02-05,台北市,大同區,1,106,0.43
3156,2023-01-30,台北市,大同區,2,105,0.43
3366,2023-01-26,台北市,大同區,1,103,0.14
3978,2023-01-14,台北市,大同區,1,102,0.14
4375,2023-01-06,台北市,大同區,1,101,0.43
4575,2023-01-02,台北市,大同區,1,100,0.29
4686,2022-12-31,台北市,大同區,1,99,0.14
5092,2022-12-21,台北市,大同區,1,98,0.14
6034,2022-11-26,台北市,大同區,1,97,0.29
6254,2022-11-21,台北市,大同區,1,96,0.43
6413,2022-11-18,台北市,大同區,1,95,0.57
6455,2022-11-17,台北市,大同區,1,94,0.43
6653,2022-11-13,台北市,大同區,1,93,0.29
6712,2022-11-12,台北市,大同區,1,92,0.29
7074,2022-11-06,台北市,大同區,1,91,0.43
7188,2022-11-04,台北市,大同區,1,90,0.57
7360,2022-11-01,台北市,大同區,1,89,0.43
7496,2022-10-30,台北市,大同區,1,88,0.43
7550,2022-10-29,台北市,大同區,1,87,0.29
7901,2022-10-24,台北市,大同區,1,86,0.14
8396,2022-10-17,台北市,大同區,1,85,0.57
8474,2022-10-16,台北市,大同區,1,84,0.43
8683,2022-10-13,台北市,大同區,1,83,0.29
8823,2022-10-11,台北市,大同區,1,82,0.43
9148,2022-10-06,台北市,大同區,1,81,0.43
9211,2022-10-05,台北市,大同區,1,80,0.43
9288,2022-10-04,台北市,大同區,1,79,0.43
9620,2022-09-29,台北市,大同區,1,78,0.71
9679,2022-09-28,台北市,大同區,1,77,0.57
9797,2022-09-26,台北市,大同區,1,76,0.43
9911,2022-09-24,台北市,大同區,1,75,0.43
9964,2022-09-23,台北市,大同區,1,74,0.29
10194,2022-09-19,台北市,大同區,1,73,0.29
10521,2022-09-13,台北市,大同區,1,72,0.43
10675,2022-09-10,台北市,大同區,2,71,0.57
10946,2022-09-04,台北市,大同區,2,69,0.43
11200,2022-08-29,台北市,大同區,1,67,0.29
11357,2022-08-25,台北市,大同區,1,66,0.29
11472,2022-08-22,台北市,大同區,1,65,0.14
11716,2022-08-15,台北市,大同區,1,64,0.29
11908,2022-08-10,台北市,大同區,1,63,0.14
12730,2022-07-24,台北市,大同區,1,62,0.57
12783,2022-07-23,台北市,大同區,1,61,0.43
12839,2022-07-22,台北市,大同區,1,60,0.29
12952,2022-07-20,台北市,大同區,1,59,0.14
13412,2022-07-13,台北市,大同區,1,58,0.29
13693,2022-07-09,台北市,大同區,1,57,0.14
14361,2022-07-01,台北市,大同區,1,56,0.43
14649,2022-06-28,台北市,大同區,1,55,0.29
14951,2022-06-25,台北市,大同區,1,54,0.29
15362,2022-06-21,台北市,大同區,1,53,0.43
15820,2022-06-17,台北市,大同區,1,52,0.57
16072,2022-06-15,台北市,大同區,1,51,0.57
16206,2022-06-14,台北市,大同區,1,50,0.43
16337,2022-06-13,台北市,大同區,1,49,0.43
16707,2022-06-10,台北市,大同區,1,48,0.57
17072,2022-06-07,台北市,大同區,1,47,0.86
17193,2022-06-06,台北市,大同區,1,46,0.86
17427,2022-06-04,台北市,大同區,1,45,1.00
17686,2022-06-02,台北市,大同區,2,44,0.86
17790,2022-06-01,台北市,大同區,1,42,0.71
17919,2022-05-31,台北市,大同區,1,41,0.86
18044,2022-05-30,台北市,大同區,1,40,0.86
18173,2022-05-29,台北市,大同區,1,39,0.71
18482,2022-05-26,台北市,大同區,1,38,0.86
18581,2022-05-25,台北市,大同區,2,37,1.00
18680,2022-05-24,台北市,大同區,1,35,0.86
18856,2022-05-22,台北市,大同區,1,34,0.86
19028,2022-05-20,台北市,大同區,1,33,0.71
19103,2022-05-19,台北市,大同區,2,32,0.57
19174,2022-05-18,台北市,大同區,1,30,0.29
19305,2022-05-16,台北市,大同區,1,29,0.29
19601,2022-05-10,台北市,大同區,1,28,0.43
19643,2022-05-09,台北市,大同區,2,27,0.29
19784,2022-05-02,台北市,大同區,1,25,0.14
20182,2021-07-02,台北市,大同區,1,24,0.57
20190,2021-07-01,台北市,大同區,2,23,0.43
20203,2021-06-30,台北市,大同區,1,21,0.14
20334,2021-06-19,台北市,大同區,1,20,0.86
20348,2021-06-18,台北市,大同區,1,19,0.71
20377,2021-06-16,台北市,大同區,2,18,0.86
20403,2021-06-14,台北市,大同區,1,16,0.86
20425,2021-06-13,台北市,大同區,1,15,0.71
20461,2021-06-11,台北市,大同區,1,14,0.57
20479,2021-06-10,台北市,大同區,1,13,0.57
20512,2021-06-08,台北市,大同區,2,12,0.71
20594,2021-06-04,台北市,大同區,1,10,1.29
20619,2021-06-03,台北市,大同區,1,9,1.14
20640,2021-06-02,台北市,大同區,1,8,1.00
20663,2021-06-01,台北市,大同區,1,7,0.86
20680,2021-05-31,台北市,大同區,1,6,0.71
20701,2021-05-30,台北市,大同區,3,5,0.57
20717,2021-05-29,台北市,大同區,1,2,0.14
20834,2021-05-20,台北市,大同區,1,1,0.14
