UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
179,2023-04-03,台北市,大安區,1,169,0.43
219,2023-03-31,台北市,大安區,1,168,0.29
264,2023-03-28,台北市,大安區,1,167,0.43
362,2023-03-23,台北市,大安區,1,166,0.29
396,2023-03-22,台北市,大安區,1,165,0.14
659,2023-03-15,台北市,大安區,1,164,0.71
739,2023-03-13,台北市,大安區,1,163,1.00
824,2023-03-11,台北市,大安區,2,162,1.00
916,2023-03-09,台北市,大安區,1,160,0.86
967,2023-03-08,台北市,大安區,2,159,1.00
1019,2023-03-07,台北市,大安區,1,157,0.86
1106,2023-03-05,台北市,大安區,1,156,0.86
1222,2023-03-03,台北市,大安區,1,155,0.86
1272,2023-03-02,台北市,大安區,2,154,0.71
1323,2023-03-01,台北市,大安區,1,152,0.43
1382,2023-02-28,台北市,大安區,1,151,0.29
1490,2023-02-26,台北市,大安區,1,150,0.29
1847,2023-02-20,台北市,大安區,1,149,0.71
1903,2023-02-19,台北市,大安區,1,148,0.57
1951,2023-02-18,台北市,大安區,1,147,0.43
2010,2023-02-17,台北市,大安區,1,146,0.43
2202,2023-02-14,台北市,大安區,1,145,0.71
2383,2023-02-11,台北市,大安區,1,144,0.86
2453,2023-02-10,台北市,大安區,1,143,0.86
2517,2023-02-09,台北市,大安區,1,142,0.86
2581,2023-02-08,台北市,大安區,1,141,0.71
2668,2023-02-07,台北市,大安區,1,140,0.71
2727,2023-02-06,台北市,大安區,1,139,0.57
2852,2023-02-04,台北市,大安區,1,138,0.57
2902,2023-02-03,台北市,大安區,1,137,0.57
3041,2023-02-01,台北市,大安區,1,136,0.71
3159,2023-01-30,台北市,大安區,1,135,0.71
3274,2023-01-28,台北市,大安區,1,134,0.86
3328,2023-01-27,台北市,大安區,1,133,0.71
3369,2023-01-26,台北市,大安區,1,132,0.71
3488,2023-01-24,台北市,大安區,1,131,0.86
3538,2023-01-23,台北市,大安區,2,130,0.71
3683,2023-01-20,台北市,大安區,1,128,0.57
3729,2023-01-19,台北市,大安區,1,127,0.57
3781,2023-01-18,台北市,大安區,1,126,0.43
3873,2023-01-16,台北市,大安區,1,125,0.43
4043,2023-01-13,台北市,大安區,1,124,0.57
4174,2023-01-10,台北市,大安區,1,123,0.43
4232,2023-01-09,台北市,大安區,1,122,0.57
4281,2023-01-08,台北市,大安區,1,121,0.57
4523,2023-01-03,台北市,大安區,2,120,0.57
4580,2023-01-02,台北市,大安區,1,118,0.29
4643,2023-01-01,台北市,大安區,1,117,0.14
5127,2022-12-20,台北市,大安區,1,116,0.14
5534,2022-12-09,台北市,大安區,1,115,0.29
5766,2022-12-03,台北市,大安區,1,114,0.43
5926,2022-11-29,台北市,大安區,1,113,0.29
5959,2022-11-28,台北市,大安區,1,112,0.14
6308,2022-11-20,台北市,大安區,1,111,0.43
6361,2022-11-19,台北市,大安區,1,110,0.29
6458,2022-11-17,台北市,大安區,1,109,0.14
7078,2022-11-06,台北市,大安區,1,108,0.43
7250,2022-11-03,台北市,大安區,1,107,0.29
7305,2022-11-02,台北市,大安區,1,106,0.29
7689,2022-10-27,台北市,大安區,1,105,0.57
7838,2022-10-25,台北市,大安區,2,104,0.57
7974,2022-10-23,台北市,大安區,1,102,0.57
8191,2022-10-20,台北市,大安區,1,101,0.71
8332,2022-10-18,台北市,大安區,1,100,0.57
8403,2022-10-17,台北市,大安區,1,99,0.43
8480,2022-10-16,台北市,大安區,1,98,0.43
8609,2022-10-14,台北市,大安區,1,97,0.29
8894,2022-10-10,台北市,大安區,1,96,0.57
9084,2022-10-07,台北市,大安區,1,95,1.00
9152,2022-10-06,台北市,大安區,1,94,0.86
9293,2022-10-04,台北市,大安區,1,93,0.86
9363,2022-10-03,台北市,大安區,1,92,0.86
9438,2022-10-02,台北市,大安區,2,91,0.86
9501,2022-10-01,台北市,大安區,1,89,0.57
9683,2022-09-28,台北市,大安區,1,88,0.57
9737,2022-09-27,台北市,大安區,1,87,0.43
9800,2022-09-26,台北市,大安區,1,86,0.43
9918,2022-09-24,台北市,大安區,1,85,0.43
10154,2022-09-20,台北市,大安區,1,84,0.57
10196,2022-09-19,台北市,大安區,1,83,0.43
10293,2022-09-17,台北市,大安區,1,82,0.29
10353,2022-09-16,台北市,大安區,1,81,0.14
10829,2022-09-07,台北市,大安區,1,80,0.14
11154,2022-08-30,台北市,大安區,1,79,0.29
11285,2022-08-27,台北市,大安區,1,78,0.14
12153,2022-08-04,台北市,大安區,1,77,0.29
12198,2022-08-03,台北市,大安區,1,76,0.14
12677,2022-07-25,台北市,大安區,1,75,0.29
12842,2022-07-22,台北市,大安區,1,74,0.14
13348,2022-07-14,台北市,大安區,1,73,0.57
13415,2022-07-13,台北市,大安區,1,72,0.43
13486,2022-07-12,台北市,大安區,1,71,0.29
13696,2022-07-09,台北市,大安區,1,70,0.14
14556,2022-06-29,台北市,大安區,2,69,0.29
15255,2022-06-22,台北市,大安區,1,67,0.86
15592,2022-06-19,台北市,大安區,1,66,1.29
15706,2022-06-18,台北市,大安區,1,65,1.29
15825,2022-06-17,台北市,大安區,2,64,1.29
15962,2022-06-16,台北市,大安區,1,62,1.14
16214,2022-06-14,台北市,大安區,2,61,1.14
16345,2022-06-13,台北市,大安區,2,59,1.00
16465,2022-06-12,台北市,大安區,1,57,0.71
16586,2022-06-11,台北市,大安區,1,56,0.71
