UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
2224,2023-06-14,台北市,文山區,55-59,6847
2225,2023-06-14,台北市,文山區,25-29,9664
2226,2023-06-14,台北市,文山區,60-64,5718
2227,2023-06-14,台北市,文山區,4,897
2228,2023-06-14,台北市,文山區,20-24,8761
2229,2023-06-14,台北市,文山區,70+,8993
2230,2023-06-14,台北市,文山區,65-69,4968
2231,2023-06-14,台北市,文山區,50-54,8193
2232,2023-06-14,台北市,文山區,35-39,8524
2233,2023-06-14,台北市,文山區,30-34,8163
2234,2023-06-14,台北市,文山區,1,716
2235,2023-03-20,台北市,文山區,45-49,8909
2236,2023-03-20,台北市,文山區,15-19,5791
2237,2023-03-19,台北市,文山區,5-9,5779
2238,2023-03-19,台北市,文山區,40-44,9987
2239,2023-03-19,台北市,文山區,10-14,5555
2240,2023-03-18,台北市,文山區,2,751
2241,2023-03-18,台北市,文山區,3,785
2242,2023-03-17,台北市,文山區,0,504
