UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
279,2023-03-27,台北市,文山區,1,188,0.29
335,2023-03-24,台北市,文山區,1,187,0.29
526,2023-03-18,台北市,文山區,1,186,0.57
575,2023-03-17,台北市,文山區,1,185,0.43
694,2023-03-14,台北市,文山區,1,184,0.29
738,2023-03-13,台北市,文山區,1,183,0.29
1018,2023-03-07,台北市,文山區,1,182,0.29
1162,2023-03-04,台北市,文山區,1,181,0.14
1557,2023-02-25,台北市,文山區,1,180,0.29
1664,2023-02-23,台北市,文山區,1,179,0.14
2201,2023-02-14,台北市,文山區,1,178,0.71
2452,2023-02-10,台北市,文山區,2,177,0.86
2516,2023-02-09,台北市,文山區,1,175,0.86
2580,2023-02-08,台北市,文山區,1,174,0.86
2667,2023-02-07,台北市,文山區,1,173,0.86
2726,2023-02-06,台北市,文山區,1,172,0.86
2901,2023-02-03,台北市,文山區,2,171,1.43
2969,2023-02-02,台北市,文山區,1,169,1.43
3040,2023-02-01,台北市,文山區,1,168,1.29
3105,2023-01-31,台北市,文山區,1,167,1.29
3158,2023-01-30,台北市,文山區,2,166,1.29
3216,2023-01-29,台北市,文山區,2,164,1.00
3273,2023-01-28,台北市,文山區,1,162,0.71
3327,2023-01-27,台北市,文山區,2,161,0.71
3431,2023-01-25,台北市,文山區,1,159,0.57
3487,2023-01-24,台北市,文山區,1,158,0.43
3644,2023-01-21,台北市,文山區,1,157,0.29
3682,2023-01-20,台北市,文山區,1,156,0.14
4173,2023-01-10,台北市,文山區,1,155,1.00
4231,2023-01-09,台北市,文山區,2,154,0.86
4280,2023-01-08,台北市,文山區,1,152,0.71
4328,2023-01-07,台北市,文山區,1,151,0.57
4380,2023-01-06,台北市,文山區,2,150,0.57
4579,2023-01-02,台北市,文山區,1,148,0.71
4691,2022-12-31,台北市,文山區,1,147,0.57
4745,2022-12-30,台北市,文山區,2,146,0.43
4860,2022-12-27,台北市,文山區,1,144,0.29
5054,2022-12-22,台北市,文山區,1,143,0.14
5495,2022-12-10,台北市,文山區,1,142,0.57
5577,2022-12-08,台北市,文山區,2,141,0.43
5667,2022-12-06,台北市,文山區,1,139,0.29
5851,2022-12-01,台北市,文山區,1,138,0.14
6257,2022-11-21,台北市,文山區,1,137,0.43
6417,2022-11-18,台北市,文山區,1,136,0.29
6514,2022-11-16,台北市,文山區,1,135,0.29
6776,2022-11-11,台北市,文山區,1,134,0.57
6901,2022-11-09,台北市,文山區,1,133,0.57
6958,2022-11-08,台北市,文山區,1,132,0.57
7077,2022-11-06,台北市,文山區,1,131,0.43
7193,2022-11-04,台北市,文山區,1,130,0.43
7304,2022-11-02,台北市,文山區,1,129,0.29
7555,2022-10-29,台北市,文山區,1,128,0.43
7973,2022-10-23,台北市,文山區,2,127,0.71
8049,2022-10-22,台北市,文山區,2,125,0.57
8269,2022-10-19,台北市,文山區,1,123,0.71
8479,2022-10-16,台北市,文山區,1,122,1.00
8608,2022-10-14,台北市,文山區,2,121,1.00
8689,2022-10-13,台北市,文山區,1,119,1.00
8756,2022-10-12,台北市,文山區,1,118,0.86
8826,2022-10-11,台北市,文山區,1,117,0.71
8893,2022-10-10,台北市,文山區,1,116,0.71
8965,2022-10-09,台北市,文山區,1,115,0.57
9083,2022-10-07,台北市,文山區,2,114,0.71
9292,2022-10-04,台北市,文山區,1,112,0.57
9437,2022-10-02,台北市,文山區,1,111,0.43
9500,2022-10-01,台北市,文山區,1,110,0.29
9682,2022-09-28,台北市,文山區,1,109,0.43
9968,2022-09-23,台北市,文山區,1,108,0.29
10027,2022-09-22,台北市,文山區,1,107,0.14
10577,2022-09-12,台北市,文山區,1,106,0.71
10677,2022-09-10,台北市,文山區,1,105,0.57
10733,2022-09-09,台北市,文山區,1,104,0.43
10777,2022-09-08,台北市,文山區,1,103,0.29
10828,2022-09-07,台北市,文山區,1,102,0.14
11248,2022-08-28,台北市,文山區,1,101,0.29
11473,2022-08-22,台北市,文山區,1,100,0.29
11582,2022-08-19,台北市,文山區,1,99,0.29
11718,2022-08-15,台北市,文山區,1,98,0.29
11947,2022-08-09,台北市,文山區,1,97,0.43
11988,2022-08-08,台北市,文山區,1,96,0.29
12041,2022-08-07,台北市,文山區,1,95,0.14
12554,2022-07-27,台北市,文山區,1,94,0.43
12676,2022-07-25,台北市,文山區,1,93,0.29
12841,2022-07-22,台北市,文山區,1,92,0.14
13414,2022-07-13,台北市,文山區,1,91,0.43
13766,2022-07-08,台北市,文山區,1,90,0.43
13837,2022-07-07,台北市,文山區,1,89,0.29
13917,2022-07-06,台北市,文山區,1,88,0.14
14555,2022-06-29,台北市,文山區,1,87,0.43
14956,2022-06-25,台北市,文山區,1,86,1.00
15044,2022-06-24,台北市,文山區,1,85,0.86
15254,2022-06-22,台北市,文山區,1,84,0.71
15367,2022-06-21,台北市,文山區,2,83,0.57
15481,2022-06-20,台北市,文山區,1,81,0.43
15591,2022-06-19,台北市,文山區,1,80,0.29
16213,2022-06-14,台北市,文山區,1,79,0.57
16464,2022-06-12,台北市,文山區,1,78,0.86
16585,2022-06-11,台北市,文山區,2,77,1.14
17077,2022-06-07,台北市,文山區,2,75,1.86
17202,2022-06-06,台北市,文山區,1,73,1.71
17327,2022-06-05,台北市,文山區,3,72,2.00
17436,2022-06-04,台北市,文山區,2,69,1.71
17565,2022-06-03,台北市,文山區,2,67,1.57
17694,2022-06-02,台北市,文山區,2,65,1.57
17797,2022-06-01,台北市,文山區,1,63,1.57
17927,2022-05-31,台北市,文山區,1,62,1.57
18052,2022-05-30,台北市,文山區,3,61,1.71
18180,2022-05-29,台北市,文山區,1,58,1.71
18289,2022-05-28,台北市,文山區,1,57,1.57
18392,2022-05-27,台北市,文山區,2,56,1.71
18488,2022-05-26,台北市,文山區,2,54,1.57
18589,2022-05-25,台北市,文山區,1,52,1.43
18687,2022-05-24,台北市,文山區,2,51,1.43
18770,2022-05-23,台北市,文山區,3,49,1.29
18952,2022-05-21,台北市,文山區,2,46,1.57
19035,2022-05-20,台北市,文山區,1,44,1.29
19111,2022-05-19,台北市,文山區,1,43,1.43
19180,2022-05-18,台北市,文山區,1,42,1.43
19248,2022-05-17,台北市,文山區,1,41,1.29
19312,2022-05-16,台北市,文山區,2,40,1.29
19369,2022-05-15,台北市,文山區,3,38,1.14
19480,2022-05-13,台北市,文山區,2,35,0.71
19524,2022-05-12,台北市,文山區,1,33,0.43
19606,2022-05-10,台北市,文山區,1,32,0.43
19648,2022-05-09,台北市,文山區,1,31,0.29
19736,2022-05-05,台北市,文山區,1,30,0.14
20113,2021-07-09,台北市,文山區,2,29,0.71
20120,2021-07-08,台北市,文山區,1,27,0.43
20144,2021-07-06,台北市,文山區,2,26,0.43
20205,2021-06-30,台北市,文山區,1,24,0.29
20273,2021-06-24,台北市,文山區,1,23,0.43
20285,2021-06-23,台北市,文山區,1,22,0.29
20294,2021-06-22,台北市,文山區,1,21,0.14
20393,2021-06-15,台北市,文山區,1,20,0.71
20427,2021-06-13,台北市,文山區,1,19,0.71
20464,2021-06-11,台北市,文山區,2,18,0.86
20482,2021-06-10,台北市,文山區,1,16,0.86
20538,2021-06-07,台北市,文山區,1,15,1.29
20558,2021-06-06,台北市,文山區,2,14,1.43
20599,2021-06-04,台北市,文山區,2,12,1.29
20624,2021-06-03,台北市,文山區,1,10,1.14
20646,2021-06-02,台北市,文山區,2,9,1.00
20667,2021-06-01,台北市,文山區,1,7,0.86
20685,2021-05-31,台北市,文山區,2,6,0.86
20721,2021-05-29,台北市,文山區,1,4,0.57
20741,2021-05-28,台北市,文山區,1,3,0.43
20773,2021-05-26,台北市,文山區,1,2,0.29
20789,2021-05-25,台北市,文山區,1,1,0.14
