UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
244,2023-03-29,台北市,松山區,1,128,0.29
337,2023-03-24,台北市,松山區,1,127,0.14
695,2023-03-14,台北市,松山區,1,126,0.29
869,2023-03-10,台北市,松山區,1,125,0.14
1276,2023-03-02,台北市,松山區,3,124,0.86
1384,2023-02-28,台北市,松山區,1,121,0.57
1435,2023-02-27,台北市,松山區,1,120,0.43
1495,2023-02-26,台北市,松山區,1,119,0.29
1733,2023-02-22,台北市,松山區,1,118,0.14
2131,2023-02-15,台北市,松山區,1,117,0.57
2273,2023-02-13,台北市,松山區,2,116,0.57
2455,2023-02-10,台北市,松山區,1,114,0.57
2587,2023-02-08,台北市,松山區,1,113,0.71
2731,2023-02-06,台北市,松山區,1,112,0.57
2794,2023-02-05,台北市,松山區,1,111,0.43
2904,2023-02-03,台北市,松山區,1,110,0.57
2974,2023-02-02,台北市,松山區,1,109,0.43
3220,2023-01-29,台北市,松山區,2,108,0.57
3375,2023-01-26,台北市,松山區,1,106,0.29
3541,2023-01-23,台北市,松山區,1,105,0.29
3732,2023-01-19,台北市,松山區,1,104,0.29
3985,2023-01-14,台北市,松山區,1,103,0.14
4526,2023-01-03,台北市,松山區,1,102,0.43
4584,2023-01-02,台北市,松山區,1,101,0.43
4750,2022-12-30,台北市,松山區,1,100,0.43
4864,2022-12-27,台北市,松山區,1,99,0.29
4913,2022-12-26,台北市,松山區,1,98,0.14
5807,2022-12-02,台北市,松山區,1,97,0.14
6260,2022-11-21,台北市,松山區,1,96,0.29
6310,2022-11-20,台北市,松山區,1,95,0.14
6905,2022-11-09,台北市,松山區,1,94,0.29
6961,2022-11-08,台北市,松山區,1,93,0.29
7308,2022-11-02,台北市,松山區,1,92,0.71
7443,2022-10-31,台北市,松山區,1,91,0.71
7503,2022-10-30,台北市,松山區,1,90,0.57
7629,2022-10-28,台北市,松山區,2,89,0.57
7841,2022-10-25,台北市,松山區,1,87,0.29
8055,2022-10-22,台北市,松山區,1,86,0.43
8410,2022-10-17,台北市,松山區,1,85,0.43
8485,2022-10-16,台北市,松山區,1,84,0.29
8612,2022-10-14,台北市,松山區,1,83,0.43
8969,2022-10-09,台北市,松山區,1,82,0.71
9032,2022-10-08,台北市,松山區,1,81,0.57
9158,2022-10-06,台北市,松山區,2,80,0.71
9218,2022-10-05,台北市,松山區,1,78,0.43
9504,2022-10-01,台北市,松山區,1,77,0.43
9565,2022-09-30,台北市,松山區,1,76,0.29
9859,2022-09-25,台北市,松山區,1,75,0.43
10032,2022-09-22,台北市,松山區,1,74,0.57
10158,2022-09-20,台北市,松山區,1,73,0.43
10250,2022-09-18,台北市,松山區,1,72,0.43
10358,2022-09-16,台北市,松山區,1,71,0.57
10529,2022-09-13,台北市,松山區,1,70,0.71
10642,2022-09-11,台北市,松山區,2,69,0.57
10736,2022-09-09,台北市,松山區,2,67,0.43
10950,2022-09-04,台北市,松山區,1,65,0.29
11157,2022-08-30,台北市,松山區,1,64,0.29
11322,2022-08-26,台北市,松山區,1,63,0.43
11516,2022-08-21,台北市,松山區,2,62,0.43
11583,2022-08-19,台北市,松山區,1,60,0.43
11800,2022-08-13,台北市,松山區,2,59,0.43
11948,2022-08-09,台北市,松山區,1,57,0.29
12073,2022-08-06,台北市,松山區,1,56,0.14
12614,2022-07-26,台北市,松山區,1,55,0.29
12787,2022-07-23,台北市,松山區,1,54,0.14
13284,2022-07-15,台北市,松山區,1,53,0.14
13838,2022-07-07,台北市,松山區,1,52,0.57
13921,2022-07-06,台北市,松山區,1,51,0.43
14010,2022-07-05,台北市,松山區,1,50,0.43
14094,2022-07-04,台北市,松山區,1,49,0.43
14561,2022-06-29,台北市,松山區,1,48,0.43
14657,2022-06-28,台北市,松山區,1,47,0.29
14961,2022-06-25,台北市,松山區,1,46,0.57
15486,2022-06-20,台北市,松山區,1,45,0.71
15597,2022-06-19,台北市,松山區,2,44,0.71
15711,2022-06-18,台北市,松山區,1,42,0.43
16221,2022-06-14,台北市,松山區,1,41,0.57
16350,2022-06-13,台北市,松山區,1,40,0.71
16592,2022-06-11,台北市,松山區,1,39,0.86
16723,2022-06-10,台北市,松山區,1,38,1.00
17084,2022-06-07,台北市,松山區,2,37,1.14
17211,2022-06-06,台北市,松山區,1,35,1.14
17334,2022-06-05,台北市,松山區,1,34,1.14
17445,2022-06-04,台北市,松山區,2,33,1.00
17574,2022-06-03,台北市,松山區,1,31,0.86
17700,2022-06-02,台北市,松山區,1,30,0.86
17934,2022-05-31,台北市,松山區,2,29,1.43
18061,2022-05-30,台北市,松山區,1,27,1.14
18296,2022-05-28,台北市,松山區,1,26,1.00
18401,2022-05-27,台北市,松山區,1,25,1.00
18496,2022-05-26,台北市,松山區,3,24,1.00
18599,2022-05-25,台北市,松山區,2,21,0.57
18958,2022-05-21,台北市,松山區,1,19,0.57
19043,2022-05-20,台北市,松山區,1,18,0.57
19255,2022-05-17,台北市,松山區,1,17,0.71
19317,2022-05-16,台北市,松山區,1,16,0.71
19433,2022-05-14,台北市,松山區,1,15,0.71
19528,2022-05-12,台北市,松山區,1,14,0.86
19566,2022-05-11,台北市,松山區,1,13,0.71
19610,2022-05-10,台北市,松山區,1,12,0.57
19673,2022-05-08,台北市,松山區,1,11,0.43
19701,2022-05-07,台北市,松山區,1,10,0.29
19720,2022-05-06,台北市,松山區,1,9,0.14
19990,2021-07-31,台北市,松山區,1,8,0.14
20409,2021-06-14,台北市,松山區,1,7,0.43
20453,2021-06-12,台北市,松山區,1,6,0.43
20484,2021-06-10,台北市,松山區,1,5,0.43
20561,2021-06-06,台北市,松山區,1,4,0.43
20605,2021-06-04,台北市,松山區,1,3,0.43
20689,2021-05-31,台北市,松山區,1,2,0.29
20726,2021-05-29,台北市,松山區,1,1,0.14
