UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
102,2023-06-14,台北市,松山區,10,72910,1.43
385,2023-03-23,台北市,松山區,1,72900,24.57
630,2023-03-20,台北市,松山區,25,72899,49.86
914,2023-03-19,台北市,松山區,34,72874,56.57
1242,2023-03-18,台北市,松山區,56,72840,57.00
1582,2023-03-17,台北市,松山區,56,72784,57.43
1934,2023-03-16,台北市,松山區,53,72728,57.43
2287,2023-03-15,台北市,松山區,52,72675,58.29
2638,2023-03-14,台北市,松山區,73,72623,61.00
2995,2023-03-13,台北市,松山區,72,72550,62.29
3354,2023-03-12,台北市,松山區,37,72478,62.86
3699,2023-03-11,台北市,松山區,59,72441,64.14
4052,2023-03-10,台北市,松山區,56,72382,62.86
4407,2023-03-09,台北市,松山區,59,72326,67.14
4766,2023-03-08,台北市,松山區,71,72267,71.14
5120,2023-03-07,台北市,松山區,82,72196,76.86
5479,2023-03-06,台北市,松山區,76,72114,74.43
5844,2023-03-05,台北市,松山區,46,72038,73.57
6183,2023-03-04,台北市,松山區,50,71992,74.29
6535,2023-03-03,台北市,松山區,86,71942,76.14
6894,2023-03-02,台北市,松山區,87,71856,76.14
7258,2023-03-01,台北市,松山區,111,71769,74.71
7629,2023-02-28,台北市,松山區,65,71658,71.57
7992,2023-02-27,台北市,松山區,70,71593,74.57
8351,2023-02-26,台北市,松山區,51,71523,82.00
8696,2023-02-25,台北市,松山區,63,71472,83.14
9066,2023-02-24,台北市,松山區,86,71409,88.00
9427,2023-02-23,台北市,松山區,77,71323,89.71
9797,2023-02-22,台北市,松山區,89,71246,94.71
10172,2023-02-21,台北市,松山區,86,71157,95.29
10541,2023-02-20,台北市,松山區,122,71071,101.86
10921,2023-02-19,台北市,松山區,59,70949,102.86
11279,2023-02-18,台北市,松山區,97,70890,103.14
11646,2023-02-17,台北市,松山區,98,70793,105.71
12018,2023-02-16,台北市,松山區,112,70695,109.29
12393,2023-02-15,台北市,松山區,93,70583,111.29
12766,2023-02-14,台北市,松山區,132,70490,120.29
13138,2023-02-13,台北市,松山區,129,70358,125.43
13517,2023-02-12,台北市,松山區,61,70229,131.00
13874,2023-02-11,台北市,松山區,115,70168,133.86
14246,2023-02-10,台北市,松山區,123,70053,141.71
14620,2023-02-09,台北市,松山區,126,69930,148.43
14996,2023-02-08,台北市,松山區,156,69804,153.00
15375,2023-02-07,台北市,松山區,168,69648,154.43
15754,2023-02-06,台北市,松山區,168,69480,163.14
16136,2023-02-05,台北市,松山區,81,69312,166.14
16504,2023-02-04,台北市,松山區,170,69231,171.71
16883,2023-02-03,台北市,松山區,170,69061,174.00
17269,2023-02-02,台北市,松山區,158,68891,172.57
17652,2023-02-01,台北市,松山區,166,68733,175.14
18029,2023-01-31,台北市,松山區,229,68567,168.43
18414,2023-01-30,台北市,松山區,189,68338,155.71
18803,2023-01-29,台北市,松山區,120,68149,143.57
19179,2023-01-28,台北市,松山區,186,68029,137.71
19558,2023-01-27,台北市,松山區,160,67843,130.57
19936,2023-01-26,台北市,松山區,176,67683,130.00
20313,2023-01-25,台北市,松山區,119,67507,125.00
20678,2023-01-24,台北市,松山區,140,67388,127.43
21053,2023-01-23,台北市,松山區,104,67248,134.86
21420,2023-01-22,台北市,松山區,79,67144,145.43
21784,2023-01-21,台北市,松山區,136,67065,147.43
22156,2023-01-20,台北市,松山區,156,66929,150.14
22523,2023-01-19,台北市,松山區,141,66773,154.29
22894,2023-01-18,台北市,松山區,136,66632,160.00
23266,2023-01-17,台北市,松山區,192,66496,168.00
23630,2023-01-16,台北市,松山區,178,66304,169.14
24006,2023-01-15,台北市,松山區,93,66126,178.43
24373,2023-01-14,台北市,松山區,155,66033,180.57
24741,2023-01-13,台北市,松山區,185,65878,186.29
25109,2023-01-12,台北市,松山區,181,65693,187.71
25484,2023-01-11,台北市,松山區,192,65512,188.57
25860,2023-01-10,台北市,松山區,200,65320,195.00
26232,2023-01-09,台北市,松山區,243,65120,206.14
26611,2023-01-08,台北市,松山區,108,64877,199.43
26968,2023-01-07,台北市,松山區,195,64769,197.86
27339,2023-01-06,台北市,松山區,195,64574,199.86
27715,2023-01-05,台北市,松山區,187,64379,206.43
28095,2023-01-04,台北市,松山區,237,64192,209.00
28476,2023-01-03,台北市,松山區,278,63955,213.29
28858,2023-01-02,台北市,松山區,196,63677,208.57
29229,2023-01-01,台北市,松山區,97,63481,212.43
29591,2022-12-31,台北市,松山區,209,63384,210.00
29957,2022-12-30,台北市,松山區,241,63175,205.29
30329,2022-12-29,台北市,松山區,205,62934,192.71
30702,2022-12-28,台北市,松山區,267,62729,188.86
31072,2022-12-27,台北市,松山區,245,62462,173.29
31449,2022-12-26,台北市,松山區,223,62217,165.00
31821,2022-12-25,台北市,松山區,80,61994,153.43
32175,2022-12-24,台北市,松山區,176,61914,153.43
32535,2022-12-23,台北市,松山區,153,61738,144.57
32899,2022-12-22,台北市,松山區,178,61585,142.14
33266,2022-12-21,台北市,松山區,158,61407,131.29
33636,2022-12-20,台北市,松山區,187,61249,122.71
33999,2022-12-19,台北市,松山區,142,61062,114.00
34370,2022-12-18,台北市,松山區,80,60920,113.86
34718,2022-12-17,台北市,松山區,114,60840,111.57
35078,2022-12-16,台北市,松山區,136,60726,107.57
35443,2022-12-15,台北市,松山區,102,60590,104.43
35814,2022-12-14,台北市,松山區,98,60488,102.86
36173,2022-12-13,台北市,松山區,126,60390,103.14
36547,2022-12-12,台北市,松山區,141,60264,103.29
36919,2022-12-11,台北市,松山區,64,60123,94.71
37270,2022-12-10,台北市,松山區,86,60059,92.57
37639,2022-12-09,台北市,松山區,114,59973,90.86
38004,2022-12-08,台北市,松山區,91,59859,82.14
38377,2022-12-07,台北市,松山區,100,59768,77.29
38749,2022-12-06,台北市,松山區,127,59668,76.57
39120,2022-12-05,台北市,松山區,81,59541,73.14
39498,2022-12-04,台北市,松山區,49,59460,76.14
39864,2022-12-03,台北市,松山區,74,59411,75.00
40233,2022-12-02,台北市,松山區,53,59337,74.57
40603,2022-12-01,台北市,松山區,57,59284,78.43
40972,2022-11-30,台北市,松山區,95,59227,82.86
41343,2022-11-29,台北市,松山區,103,59132,83.43
41723,2022-11-28,台北市,松山區,102,59029,87.71
42101,2022-11-27,台北市,松山區,41,58927,93.29
42462,2022-11-26,台北市,松山區,71,58886,96.14
42818,2022-11-25,台北市,松山區,80,58815,102.14
43189,2022-11-24,台北市,松山區,88,58735,105.14
43559,2022-11-23,台北市,松山區,99,58647,106.43
43931,2022-11-22,台北市,松山區,133,58548,108.43
44304,2022-11-21,台北市,松山區,141,58415,113.57
44687,2022-11-20,台北市,松山區,61,58274,109.57
45050,2022-11-19,台北市,松山區,113,58213,117.14
45424,2022-11-18,台北市,松山區,101,58100,117.57
45796,2022-11-17,台北市,松山區,97,57999,122.00
46169,2022-11-16,台北市,松山區,113,57902,127.00
46549,2022-11-15,台北市,松山區,169,57789,132.00
46930,2022-11-14,台北市,松山區,113,57620,130.86
47311,2022-11-13,台北市,松山區,114,57507,140.14
47681,2022-11-12,台北市,松山區,116,57393,138.29
