UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
18,2023-07-24,台北市,萬華區,1,74629,0.14
107,2023-06-14,台北市,萬華區,5,74628,0.71
492,2023-03-21,台北市,萬華區,2,74623,37.00
637,2023-03-20,台北市,萬華區,10,74621,46.71
921,2023-03-19,台北市,萬華區,43,74611,53.86
1249,2023-03-18,台北市,萬華區,37,74568,53.86
1589,2023-03-17,台北市,萬華區,56,74531,56.71
1941,2023-03-16,台北市,萬華區,45,74475,55.00
2294,2023-03-15,台北市,萬華區,66,74430,55.29
2645,2023-03-14,台北市,萬華區,70,74364,53.71
3002,2023-03-13,台北市,萬華區,60,74294,51.00
3361,2023-03-12,台北市,萬華區,43,74234,52.14
3706,2023-03-11,台北市,萬華區,57,74191,53.71
4059,2023-03-10,台北市,萬華區,44,74134,51.57
4414,2023-03-09,台北市,萬華區,47,74090,54.57
4773,2023-03-08,台北市,萬華區,55,74043,58.29
5127,2023-03-07,台北市,萬華區,51,73988,59.86
5486,2023-03-06,台北市,萬華區,68,73937,62.86
5851,2023-03-05,台北市,萬華區,54,73869,59.86
6190,2023-03-04,台北市,萬華區,42,73815,57.00
6542,2023-03-03,台北市,萬華區,65,73773,60.57
6901,2023-03-02,台北市,萬華區,73,73708,62.29
7265,2023-03-01,台北市,萬華區,66,73635,63.00
7636,2023-02-28,台北市,萬華區,72,73569,64.00
7999,2023-02-27,台北市,萬華區,47,73497,64.57
8358,2023-02-26,台北市,萬華區,34,73450,69.14
8703,2023-02-25,台北市,萬華區,67,73416,75.43
9073,2023-02-24,台北市,萬華區,77,73349,76.14
9434,2023-02-23,台北市,萬華區,78,73272,78.00
9804,2023-02-22,台北市,萬華區,73,73194,78.57
10179,2023-02-21,台北市,萬華區,76,73121,84.43
10548,2023-02-20,台北市,萬華區,79,73045,89.29
10928,2023-02-19,台北市,萬華區,78,72966,94.14
11286,2023-02-18,台北市,萬華區,72,72888,92.86
11653,2023-02-17,台北市,萬華區,90,72816,95.14
12025,2023-02-16,台北市,萬華區,82,72726,97.00
12400,2023-02-15,台北市,萬華區,114,72644,101.86
12773,2023-02-14,台北市,萬華區,110,72530,101.29
13145,2023-02-13,台北市,萬華區,113,72420,105.29
13524,2023-02-12,台北市,萬華區,69,72307,108.14
13881,2023-02-11,台北市,萬華區,88,72238,111.00
14253,2023-02-10,台北市,萬華區,103,72150,115.71
14627,2023-02-09,台北市,萬華區,116,72047,117.00
15003,2023-02-08,台北市,萬華區,110,71931,119.00
15382,2023-02-07,台北市,萬華區,138,71821,125.29
15761,2023-02-06,台北市,萬華區,133,71683,125.71
16143,2023-02-05,台北市,萬華區,89,71550,135.14
16511,2023-02-04,台北市,萬華區,121,71461,135.86
16890,2023-02-03,台北市,萬華區,112,71340,137.57
17276,2023-02-02,台北市,萬華區,130,71228,144.57
17659,2023-02-01,台北市,萬華區,154,71098,145.86
18036,2023-01-31,台北市,萬華區,141,70944,141.43
