UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
445,2023-03-21,台南市,七股區,1,28,0.14
1206,2023-03-04,台南市,七股區,1,27,0.29
1537,2023-02-26,台南市,七股區,1,26,0.29
1778,2023-02-22,台南市,七股區,1,25,0.14
2709,2023-02-07,台南市,七股區,1,24,0.29
3086,2023-02-01,台南市,七股區,1,23,0.14
3764,2023-01-19,台南市,七股區,1,22,0.14
4411,2023-01-06,台南市,七股區,1,21,0.14
5009,2022-12-24,台南市,七股區,1,20,0.29
5235,2022-12-18,台南市,七股區,1,19,0.14
5653,2022-12-07,台南市,七股區,1,18,0.29
5882,2022-12-01,台南市,七股區,1,17,0.14
6401,2022-11-19,台南市,七股區,1,16,0.29
6499,2022-11-17,台南市,七股區,1,15,0.29
6822,2022-11-11,台南市,七股區,1,14,0.29
7173,2022-11-05,台南市,七股區,1,13,0.29
7419,2022-11-01,台南市,七股區,1,12,0.14
8459,2022-10-17,台南市,七股區,1,11,0.14
9545,2022-10-01,台南市,七股區,1,10,0.14
11139,2022-08-31,台南市,七股區,1,9,0.14
12234,2022-08-03,台南市,七股區,1,8,0.29
12540,2022-07-28,台南市,七股區,1,7,0.29
12826,2022-07-23,台南市,七股區,1,6,0.14
15226,2022-06-23,台南市,七股區,1,5,0.14
16180,2022-06-15,台南市,七股區,1,4,0.14
17299,2022-06-06,台南市,七股區,1,3,0.29
17663,2022-06-03,台南市,七股區,1,2,0.29
18153,2022-05-30,台南市,七股區,1,1,0.14
