UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
582,2023-03-21,台南市,下營區,1,6664,3.57
840,2023-03-20,台南市,下營區,3,6663,5.14
1155,2023-03-19,台南市,下營區,4,6660,6.14
1488,2023-03-18,台南市,下營區,2,6656,6.14
1841,2023-03-17,台南市,下營區,7,6654,7.14
2188,2023-03-16,台南市,下營區,4,6647,7.29
2541,2023-03-15,台南市,下營區,4,6643,7.71
2895,2023-03-14,台南市,下營區,12,6639,7.43
3253,2023-03-13,台南市,下營區,10,6627,6.86
3603,2023-03-12,台南市,下營區,4,6617,6.29
3958,2023-03-11,台南市,下營區,9,6613,7.00
4308,2023-03-10,台南市,下營區,8,6604,7.43
4664,2023-03-09,台南市,下營區,7,6596,7.00
5022,2023-03-08,台南市,下營區,2,6589,8.57
5376,2023-03-07,台南市,下營區,8,6587,10.57
5740,2023-03-06,台南市,下營區,6,6579,11.00
6091,2023-03-05,台南市,下營區,9,6573,12.86
6438,2023-03-04,台南市,下營區,12,6564,13.00
6794,2023-03-03,台南市,下營區,5,6552,12.29
7156,2023-03-02,台南市,下營區,18,6547,13.00
7521,2023-03-01,台南市,下營區,16,6529,12.00
7891,2023-02-28,台南市,下營區,11,6513,11.43
8252,2023-02-27,台南市,下營區,19,6502,11.29
8598,2023-02-26,台南市,下營區,10,6483,11.00
8961,2023-02-25,台南市,下營區,7,6473,11.71
9325,2023-02-24,台南市,下營區,10,6466,11.43
9691,2023-02-23,台南市,下營區,11,6456,13.00
10063,2023-02-22,台南市,下營區,12,6445,13.57
10436,2023-02-21,台南市,下營區,10,6433,15.71
10809,2023-02-20,台南市,下營區,17,6423,17.00
11174,2023-02-19,台南市,下營區,15,6406,17.14
11541,2023-02-18,台南市,下營區,5,6391,17.57
11911,2023-02-17,台南市,下營區,21,6386,19.71
12284,2023-02-16,台南市,下營區,15,6365,18.86
12659,2023-02-15,台南市,下營區,27,6350,17.71
13034,2023-02-14,台南市,下營區,19,6323,15.43
13406,2023-02-13,台南市,下營區,18,6304,15.43
13777,2023-02-12,台南市,下營區,18,6286,16.14
14142,2023-02-11,台南市,下營區,20,6268,15.00
14511,2023-02-10,台南市,下營區,15,6248,14.29
14883,2023-02-09,台南市,下營區,7,6233,14.43
15265,2023-02-08,台南市,下營區,11,6226,17.00
15644,2023-02-07,台南市,下營區,19,6215,19.71
16024,2023-02-06,台南市,下營區,23,6196,19.43
16398,2023-02-05,台南市,下營區,10,6173,19.71
16772,2023-02-04,台南市,下營區,15,6163,20.57
17152,2023-02-03,台南市,下營區,16,6148,21.43
17539,2023-02-02,台南市,下營區,25,6132,22.57
17919,2023-02-01,台南市,下營區,30,6107,21.71
18301,2023-01-31,台南市,下營區,17,6077,20.57
18686,2023-01-30,台南市,下營區,25,6060,19.57
19071,2023-01-29,台南市,下營區,16,6035,17.71
19449,2023-01-28,台南市,下營區,21,6019,16.57
19825,2023-01-27,台南市,下營區,24,5998,16.14
20203,2023-01-26,台南市,下營區,19,5974,14.71
20574,2023-01-25,台南市,下營區,22,5955,14.57
20944,2023-01-24,台南市,下營區,10,5933,12.57
21312,2023-01-23,台南市,下營區,12,5923,13.71
21682,2023-01-22,台南市,下營區,8,5911,12.86
22050,2023-01-21,台南市,下營區,18,5903,13.57
22419,2023-01-20,台南市,下營區,14,5885,13.86
22787,2023-01-19,台南市,下營區,18,5871,13.71
23159,2023-01-18,台南市,下營區,8,5853,12.57
23525,2023-01-17,台南市,下營區,18,5845,12.71
23895,2023-01-16,台南市,下營區,6,5827,13.14
24269,2023-01-15,台南市,下營區,13,5821,15.57
24635,2023-01-14,台南市,下營區,20,5808,16.14
25003,2023-01-13,台南市,下營區,13,5788,15.43
25377,2023-01-12,台南市,下營區,10,5775,16.86
25748,2023-01-11,台南市,下營區,9,5765,16.71
26125,2023-01-10,台南市,下營區,21,5756,17.43
26500,2023-01-09,台南市,下營區,23,5735,17.29
26868,2023-01-08,台南市,下營區,17,5712,16.14
27231,2023-01-07,台南市,下營區,15,5695,14.43
27604,2023-01-06,台南市,下營區,23,5680,13.86
27984,2023-01-05,台南市,下營區,9,5657,12.29
28364,2023-01-04,台南市,下營區,14,5648,13.00
28745,2023-01-03,台南市,下營區,20,5634,15.57
29123,2023-01-02,台南市,下營區,15,5614,16.43
29491,2023-01-01,台南市,下營區,5,5599,15.57
29854,2022-12-31,台南市,下營區,11,5594,16.00
30220,2022-12-30,台南市,下營區,12,5583,15.57
30594,2022-12-29,台南市,下營區,14,5571,15.29
30967,2022-12-28,台南市,下營區,32,5557,15.57
31341,2022-12-27,台南市,下營區,26,5525,12.71
31714,2022-12-26,台南市,下營區,9,5499,10.86
32075,2022-12-25,台南市,下營區,8,5490,11.71
32435,2022-12-24,台南市,下營區,8,5482,11.43
32794,2022-12-23,台南市,下營區,10,5474,11.14
33161,2022-12-22,台南市,下營區,16,5464,10.57
33529,2022-12-21,台南市,下營區,12,5448,8.86
33896,2022-12-20,台南市,下營區,13,5436,8.00
34262,2022-12-19,台南市,下營區,15,5423,6.71
34619,2022-12-18,台南市,下營區,6,5408,6.14
34977,2022-12-17,台南市,下營區,6,5402,5.71
35343,2022-12-16,台南市,下營區,6,5396,5.57
35706,2022-12-15,台南市,下營區,4,5390,5.43
36070,2022-12-14,台南市,下營區,6,5386,5.86
36436,2022-12-13,台南市,下營區,4,5380,6.43
36814,2022-12-12,台南市,下營區,11,5376,6.86
37169,2022-12-11,台南市,下營區,3,5365,6.57
37533,2022-12-10,台南市,下營區,5,5362,7.14
37900,2022-12-09,台南市,下營區,5,5357,7.43
38271,2022-12-08,台南市,下營區,7,5352,7.86
38646,2022-12-07,台南市,下營區,10,5345,8.14
39011,2022-12-06,台南市,下營區,7,5335,7.57
39387,2022-12-05,台南市,下營區,9,5328,8.57
39759,2022-12-04,台南市,下營區,7,5319,10.14
40127,2022-12-03,台南市,下營區,7,5312,10.57
40495,2022-12-02,台南市,下營區,8,5305,11.00
40864,2022-12-01,台南市,下營區,9,5297,11.29
41238,2022-11-30,台南市,下營區,6,5288,11.00
41612,2022-11-29,台南市,下營區,14,5282,11.14
41991,2022-11-28,台南市,下營區,20,5268,12.14
42363,2022-11-27,台南市,下營區,10,5248,12.14
42718,2022-11-26,台南市,下營區,10,5238,13.00
43083,2022-11-25,台南市,下營區,10,5228,13.29
43453,2022-11-24,台南市,下營區,7,5218,14.86
43820,2022-11-23,台南市,下營區,7,5211,16.00
44195,2022-11-22,台南市,下營區,21,5204,18.29
44573,2022-11-21,台南市,下營區,20,5183,18.57
44947,2022-11-20,台南市,下營區,16,5163,17.57
45315,2022-11-19,台南市,下營區,12,5147,17.57
45686,2022-11-18,台南市,下營區,21,5135,17.86
46059,2022-11-17,台南市,下營區,15,5114,17.29
46435,2022-11-16,台南市,下營區,23,5099,17.29
46817,2022-11-15,台南市,下營區,23,5076,18.43
47196,2022-11-14,台南市,下營區,13,5053,18.00
47572,2022-11-13,台南市,下營區,16,5040,20.29
47944,2022-11-12,台南市,下營區,14,5024,19.71
48323,2022-11-11,台南市,下營區,17,5010,19.86
48704,2022-11-10,台南市,下營區,15,4993,20.14
49087,2022-11-09,台南市,下營區,31,4978,20.86
49473,2022-11-08,台南市,下營區,20,4947,19.57
49857,2022-11-07,台南市,下營區,29,4927,20.43
50233,2022-11-06,台南市,下營區,12,4898,19.29
50605,2022-11-05,台南市,下營區,15,4886,21.29
50990,2022-11-04,台南市,下營區,19,4871,21.43
51372,2022-11-03,台南市,下營區,20,4852,20.57
51752,2022-11-02,台南市,下營區,22,4832,21.29
52140,2022-11-01,台南市,下營區,26,4810,22.29
52522,2022-10-31,台南市,下營區,21,4784,22.29
52904,2022-10-30,台南市,下營區,26,4763,24.29
53283,2022-10-29,台南市,下營區,16,4737,25.00
53666,2022-10-28,台南市,下營區,13,4721,25.29
54052,2022-10-27,台南市,下營區,25,4708,27.29
54437,2022-10-26,台南市,下營區,29,4683,27.71
54824,2022-10-25,台南市,下營區,26,4654,28.86
55215,2022-10-24,台南市,下營區,35,4628,28.57
55598,2022-10-23,台南市,下營區,31,4593,28.29
55981,2022-10-22,台南市,下營區,18,4562,27.14
56367,2022-10-21,台南市,下營區,27,4544,27.43
56753,2022-10-20,台南市,下營區,28,4517,28.00
57140,2022-10-19,台南市,下營區,37,4489,30.71
