UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
270,2023-03-28,台南市,中西區,1,57,0.29
291,2023-03-27,台南市,中西區,1,56,0.14
806,2023-03-12,台南市,中西區,1,55,0.14
1533,2023-02-26,台南市,中西區,1,54,0.14
2174,2023-02-15,台南市,中西區,1,53,0.14
2771,2023-02-06,台南市,中西區,1,52,0.29
2942,2023-02-03,台南市,中西區,1,51,0.14
3622,2023-01-22,台南市,中西區,1,50,0.29
3902,2023-01-16,台南市,中西區,1,49,0.29
3957,2023-01-15,台南市,中西區,1,48,0.14
4504,2023-01-04,台南市,中西區,1,47,0.57
4560,2023-01-03,台南市,中西區,1,46,0.43
4621,2023-01-02,台南市,中西區,1,45,0.29
4723,2022-12-31,台南市,中西區,1,44,0.14
5387,2022-12-14,台南市,中西區,1,43,0.29
5609,2022-12-08,台南市,中西區,1,42,0.14
6538,2022-11-16,台南市,中西區,1,41,0.14
7663,2022-10-28,台南市,中西區,1,40,0.29
8022,2022-10-23,台南市,中西區,1,39,0.14
8519,2022-10-16,台南市,中西區,1,38,0.29
8938,2022-10-10,台南市,中西區,1,37,0.29
9257,2022-10-05,台南市,中西區,1,36,0.29
9410,2022-10-03,台南市,中西區,1,35,0.43
9719,2022-09-28,台南市,中西區,2,34,0.43
9947,2022-09-24,台南市,中西區,1,32,0.14
10617,2022-09-12,台南市,中西區,1,31,0.14
11747,2022-08-15,台南市,中西區,1,30,0.14
12021,2022-08-08,台南市,中西區,1,29,0.43
12105,2022-08-06,台南市,中西區,1,28,0.29
12179,2022-08-04,台南市,中西區,1,27,0.14
12880,2022-07-22,台南市,中西區,1,26,0.43
13182,2022-07-17,台南市,中西區,1,25,0.71
13251,2022-07-16,台南市,中西區,1,24,0.57
13390,2022-07-14,台南市,中西區,3,23,0.57
13817,2022-07-08,台南市,中西區,1,20,0.29
14249,2022-07-03,台南市,中西區,1,19,0.86
14427,2022-07-01,台南市,中西區,1,18,0.86
14514,2022-06-30,台南市,中西區,1,17,0.86
14716,2022-06-28,台南市,中西區,1,16,0.86
14817,2022-06-27,台南市,中西區,2,15,0.71
15012,2022-06-25,台南市,中西區,1,13,0.43
15105,2022-06-24,台南市,中西區,1,12,0.43
15214,2022-06-23,台南市,中西區,1,11,0.43
15778,2022-06-18,台南市,中西區,1,10,0.57
15917,2022-06-17,台南市,中西區,1,9,0.43
16037,2022-06-16,台南市,中西區,2,8,0.29
16905,2022-06-09,台南市,中西區,1,6,0.71
17031,2022-06-08,台南市,中西區,2,5,0.57
17154,2022-06-07,台南市,中西區,1,3,0.29
17287,2022-06-06,台南市,中西區,1,2,0.14
18842,2022-05-23,台南市,中西區,1,1,0.14
