UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
211,2023-06-14,台南市,中西區,1,26740,0.14
318,2023-05-08,台南市,中西區,1,26739,0.14
562,2023-03-21,台南市,中西區,1,26738,16.71
793,2023-03-20,台南市,中西區,10,26737,20.43
1095,2023-03-19,台南市,中西區,16,26727,22.86
1428,2023-03-18,台南市,中西區,28,26711,24.00
1774,2023-03-17,台南市,中西區,14,26683,22.86
2126,2023-03-16,台南市,中西區,20,26669,24.14
2479,2023-03-15,台南市,中西區,28,26649,24.29
2829,2023-03-14,台南市,中西區,27,26621,24.71
3187,2023-03-13,台南市,中西區,27,26594,25.57
3541,2023-03-12,台南市,中西區,24,26567,25.57
3891,2023-03-11,台南市,中西區,20,26543,23.57
4241,2023-03-10,台南市,中西區,23,26523,24.71
4598,2023-03-09,台南市,中西區,21,26500,27.71
4954,2023-03-08,台南市,中西區,31,26479,31.86
5311,2023-03-07,台南市,中西區,33,26448,34.29
5673,2023-03-06,台南市,中西區,27,26415,33.86
6032,2023-03-05,台南市,中西區,10,26388,34.86
6373,2023-03-04,台南市,中西區,28,26378,35.57
6727,2023-03-03,台南市,中西區,44,26350,36.29
7088,2023-03-02,台南市,中西區,50,26306,34.57
7450,2023-03-01,台南市,中西區,48,26256,32.43
7822,2023-02-28,台南市,中西區,30,26208,33.14
8188,2023-02-27,台南市,中西區,34,26178,34.57
8539,2023-02-26,台南市,中西區,15,26144,37.71
8891,2023-02-25,台南市,中西區,33,26129,41.71
9260,2023-02-24,台南市,中西區,32,26096,43.29
9623,2023-02-23,台南市,中西區,35,26064,46.29
9993,2023-02-22,台南市,中西區,53,26029,49.86
10366,2023-02-21,台南市,中西區,40,25976,48.57
10738,2023-02-20,台南市,中西區,56,25936,50.14
11112,2023-02-19,台南市,中西區,43,25880,50.43
11474,2023-02-18,台南市,中西區,44,25837,48.71
11839,2023-02-17,台南市,中西區,53,25793,51.29
12215,2023-02-16,台南市,中西區,60,25740,50.00
