UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3402,2023-06-14,台南市,仁德區,10-14,1855
3403,2023-06-08,台南市,仁德區,70+,2175
3404,2023-05-04,台南市,仁德區,45-49,2614
3405,2023-03-22,台南市,仁德區,55-59,1830
3406,2023-03-22,台南市,仁德區,25-29,3090
3407,2023-03-21,台南市,仁德區,65-69,1451
3408,2023-03-20,台南市,仁德區,35-39,3398
3409,2023-03-20,台南市,仁德區,40-44,3570
3410,2023-03-20,台南市,仁德區,0,229
3411,2023-03-20,台南市,仁德區,30-34,3133
3412,2023-03-19,台南市,仁德區,15-19,1950
3413,2023-03-19,台南市,仁德區,60-64,1770
3414,2023-03-18,台南市,仁德區,1,300
3415,2023-03-18,台南市,仁德區,20-24,3266
3416,2023-03-18,台南市,仁德區,50-54,1991
3417,2023-03-18,台南市,仁德區,3,342
3418,2023-03-18,台南市,仁德區,5-9,2000
3419,2023-03-15,台南市,仁德區,2,348
3420,2023-03-11,台南市,仁德區,4,358
