UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
945,2023-03-09,台南市,仁德區,1,41,0.29
1147,2023-03-05,台南市,仁德區,1,40,0.14
1646,2023-02-24,台南市,仁德區,1,39,0.14
2172,2023-02-15,台南市,仁德區,1,38,0.14
2702,2023-02-07,台南市,仁德區,1,37,0.14
3405,2023-01-26,台南市,仁德區,1,36,0.14
4841,2022-12-28,台南市,仁德區,1,35,0.14
5231,2022-12-18,台南市,仁德區,1,34,0.14
5788,2022-12-03,台南市,仁德區,1,33,0.29
5990,2022-11-28,台南市,仁德區,1,32,0.29
6059,2022-11-26,台南市,仁德區,1,31,0.14
6580,2022-11-15,台南市,仁德區,1,30,0.57
6754,2022-11-12,台南市,仁德區,1,29,0.57
6810,2022-11-11,台南市,仁德區,1,28,0.43
6875,2022-11-10,台南市,仁德區,1,27,0.29
7053,2022-11-07,台南市,仁德區,1,26,0.14
7597,2022-10-29,台南市,仁德區,1,25,0.29
7738,2022-10-27,台南市,仁德區,1,24,0.14
8803,2022-10-12,台南市,仁德區,2,23,0.29
10181,2022-09-20,台南市,仁德區,1,21,0.14
12991,2022-07-20,台南市,仁德區,1,20,0.14
13675,2022-07-10,台南市,仁德區,1,19,0.29
14154,2022-07-04,台南市,仁德區,1,18,0.43
14422,2022-07-01,台南市,仁德區,1,17,0.43
14616,2022-06-29,台南市,仁德區,1,16,0.29
15009,2022-06-25,台南市,仁德區,1,15,0.43
15436,2022-06-21,台南市,仁德區,1,14,0.43
15658,2022-06-19,台南市,仁德區,1,13,0.43
16161,2022-06-15,台南市,仁德區,1,12,0.43
16420,2022-06-13,台南市,仁德區,1,11,0.57
16790,2022-06-10,台南市,仁德區,1,10,0.57
17026,2022-06-08,台南市,仁德區,1,9,0.57
17149,2022-06-07,台南市,仁德區,1,8,0.43
17285,2022-06-06,台南市,仁德區,1,7,0.29
17648,2022-06-03,台南市,仁德區,1,6,0.43
18255,2022-05-29,台南市,仁德區,2,5,0.57
18452,2022-05-27,台南市,仁德區,1,3,0.43
18647,2022-05-25,台南市,仁德區,1,2,0.29
18929,2022-05-22,台南市,仁德區,1,1,0.14
