UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3763,2023-03-20,台南市,佳里區,40-44,1956
3764,2023-03-20,台南市,佳里區,60-64,1144
3765,2023-03-19,台南市,佳里區,5-9,1184
3766,2023-03-19,台南市,佳里區,4,199
3767,2023-03-19,台南市,佳里區,20-24,1145
3768,2023-03-19,台南市,佳里區,70+,1629
3769,2023-03-19,台南市,佳里區,10-14,1162
3770,2023-03-18,台南市,佳里區,25-29,1494
3771,2023-03-18,台南市,佳里區,45-49,1447
3772,2023-03-18,台南市,佳里區,30-34,1674
3773,2023-03-17,台南市,佳里區,35-39,1872
3774,2023-03-17,台南市,佳里區,50-54,1099
3775,2023-03-17,台南市,佳里區,55-59,1142
3776,2023-03-17,台南市,佳里區,3,215
3777,2023-03-16,台南市,佳里區,65-69,968
3778,2023-03-14,台南市,佳里區,15-19,1129
3779,2023-03-14,台南市,佳里區,1,184
3780,2023-03-13,台南市,佳里區,2,217
3781,2023-03-10,台南市,佳里區,0,150
