UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
696,2023-03-20,台南市,佳里區,2,20010,12.00
987,2023-03-19,台南市,佳里區,7,20008,14.29
1316,2023-03-18,台南市,佳里區,13,20001,16.57
1655,2023-03-17,台南市,佳里區,12,19988,18.14
2008,2023-03-16,台南市,佳里區,12,19976,18.43
2360,2023-03-15,台南市,佳里區,15,19964,19.14
2711,2023-03-14,台南市,佳里區,23,19949,20.00
3069,2023-03-13,台南市,佳里區,18,19926,19.29
3427,2023-03-12,台南市,佳里區,23,19908,20.57
3773,2023-03-11,台南市,佳里區,24,19885,19.29
4125,2023-03-10,台南市,佳里區,14,19861,19.57
4481,2023-03-09,台南市,佳里區,17,19847,21.71
4840,2023-03-08,台南市,佳里區,21,19830,25.00
5193,2023-03-07,台南市,佳里區,18,19809,26.71
5553,2023-03-06,台南市,佳里區,27,19791,27.71
5917,2023-03-05,台南市,佳里區,14,19764,26.00
6256,2023-03-04,台南市,佳里區,26,19750,27.86
6609,2023-03-03,台南市,佳里區,29,19724,28.57
6968,2023-03-02,台南市,佳里區,40,19695,28.43
7332,2023-03-01,台南市,佳里區,33,19655,27.00
7703,2023-02-28,台南市,佳里區,25,19622,26.86
8066,2023-02-27,台南市,佳里區,15,19597,29.43
8425,2023-02-26,台南市,佳里區,27,19582,32.71
8769,2023-02-25,台南市,佳里區,31,19555,33.71
9139,2023-02-24,台南市,佳里區,28,19524,35.86
9500,2023-02-23,台南市,佳里區,30,19496,38.29
9871,2023-02-22,台南市,佳里區,32,19466,39.00
10245,2023-02-21,台南市,佳里區,43,19434,40.00
10615,2023-02-20,台南市,佳里區,38,19391,39.00
10994,2023-02-19,台南市,佳里區,34,19353,39.86
11353,2023-02-18,台南市,佳里區,46,19319,37.57
11719,2023-02-17,台南市,佳里區,45,19273,37.57
12092,2023-02-16,台南市,佳里區,35,19228,37.57
12467,2023-02-15,台南市,佳里區,39,19193,37.00
12840,2023-02-14,台南市,佳里區,36,19154,37.86
13212,2023-02-13,台南市,佳里區,44,19118,36.86
13590,2023-02-12,台南市,佳里區,18,19074,37.57
13948,2023-02-11,台南市,佳里區,46,19056,38.29
14320,2023-02-10,台南市,佳里區,45,19010,39.86
14693,2023-02-09,台南市,佳里區,31,18965,40.71
15070,2023-02-08,台南市,佳里區,45,18934,43.43
15449,2023-02-07,台南市,佳里區,29,18889,46.14
15828,2023-02-06,台南市,佳里區,49,18860,50.43
16209,2023-02-05,台南市,佳里區,23,18811,55.14
16578,2023-02-04,台南市,佳里區,57,18788,57.14
16957,2023-02-03,台南市,佳里區,51,18731,56.57
17343,2023-02-02,台南市,佳里區,50,18680,56.86
17726,2023-02-01,台南市,佳里區,64,18630,60.86
18103,2023-01-31,台南市,佳里區,59,18566,54.71
18488,2023-01-30,台南市,佳里區,82,18507,51.57
18877,2023-01-29,台南市,佳里區,37,18425,43.43
19253,2023-01-28,台南市,佳里區,53,18388,40.00
19632,2023-01-27,台南市,佳里區,53,18335,36.86
20010,2023-01-26,台南市,佳里區,78,18282,35.00
20387,2023-01-25,台南市,佳里區,21,18204,28.57
20752,2023-01-24,台南市,佳里區,37,18183,30.71
21127,2023-01-23,台南市,佳里區,25,18146,31.29
21494,2023-01-22,台南市,佳里區,13,18121,32.71
21858,2023-01-21,台南市,佳里區,31,18108,35.29
22230,2023-01-20,台南市,佳里區,40,18077,36.29
22597,2023-01-19,台南市,佳里區,33,18037,37.57
22968,2023-01-18,台南市,佳里區,36,18004,38.14
23339,2023-01-17,台南市,佳里區,41,17968,38.57
