UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
66,2023-04-21,台南市,全區,1,1349,0.14
117,2023-04-09,台南市,全區,1,1348,0.43
131,2023-04-07,台南市,全區,1,1347,0.43
144,2023-04-06,台南市,全區,1,1346,0.43
205,2023-04-01,台南市,全區,1,1345,1.29
223,2023-03-31,台南市,全區,1,1344,1.29
250,2023-03-29,台南市,全區,2,1343,1.43
268,2023-03-28,台南市,全區,1,1341,1.14
286,2023-03-27,台南市,全區,3,1340,1.86
302,2023-03-26,台南市,全區,1,1337,1.86
321,2023-03-25,台南市,全區,1,1336,1.86
344,2023-03-24,台南市,全區,2,1335,2.00
433,2023-03-21,台南市,全區,6,1333,2.43
465,2023-03-20,台南市,全區,3,1327,2.00
503,2023-03-19,台南市,全區,1,1324,2.29
541,2023-03-18,台南市,全區,2,1323,3.00
584,2023-03-17,台南市,全區,2,1321,3.00
626,2023-03-16,台南市,全區,2,1319,3.00
668,2023-03-15,台南市,全區,1,1317,3.14
705,2023-03-14,台南市,全區,3,1316,3.43
751,2023-03-13,台南市,全區,5,1313,3.14
790,2023-03-12,台南市,全區,6,1308,2.57
838,2023-03-11,台南市,全區,2,1302,2.14
883,2023-03-10,台南市,全區,2,1300,2.86
930,2023-03-09,台南市,全區,3,1298,2.71
982,2023-03-08,台南市,全區,3,1295,3.14
1030,2023-03-07,台南市,全區,1,1292,3.14
1070,2023-03-06,台南市,全區,1,1291,3.71
1129,2023-03-05,台南市,全區,3,1290,4.29
1180,2023-03-04,台南市,全區,7,1287,4.71
1237,2023-03-03,台南市,全區,1,1280,3.86
1291,2023-03-02,台南市,全區,6,1279,4.43
1342,2023-03-01,台南市,全區,3,1273,4.43
1393,2023-02-28,台南市,全區,5,1270,4.71
1447,2023-02-27,台南市,全區,5,1265,4.57
1512,2023-02-26,台南市,全區,6,1260,4.43
1570,2023-02-25,台南市,全區,1,1254,3.86
1626,2023-02-24,台南市,全區,5,1253,4.00
1681,2023-02-23,台南市,全區,6,1248,3.86
1749,2023-02-22,台南市,全區,5,1242,3.57
1807,2023-02-21,台南市,全區,4,1237,3.57
1863,2023-02-20,台南市,全區,4,1233,3.71
1917,2023-02-19,台南市,全區,2,1229,4.29
1974,2023-02-18,台南市,全區,2,1227,4.43
2028,2023-02-17,台南市,全區,4,1225,4.57
2085,2023-02-16,台南市,全區,4,1221,4.57
2150,2023-02-15,台南市,全區,5,1217,4.14
2214,2023-02-14,台南市,全區,5,1212,4.14
2284,2023-02-13,台南市,全區,8,1207,4.43
2343,2023-02-12,台南市,全區,3,1199,4.00
2409,2023-02-11,台南市,全區,3,1196,4.00
2473,2023-02-10,台南市,全區,4,1193,3.57
2539,2023-02-09,台南市,全區,1,1189,3.29
2605,2023-02-08,台南市,全區,5,1188,3.71
2684,2023-02-07,台南市,全區,7,1183,3.43
2745,2023-02-06,台南市,全區,5,1176,2.57
2811,2023-02-05,台南市,全區,3,1171,2.57
2921,2023-02-03,台南市,全區,2,1168,2.57
2984,2023-02-02,台南市,全區,4,1166,2.29
3057,2023-02-01,台南市,全區,3,1162,2.14
