UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
48,2023-06-27,台南市,全區,1,734212,0.14
77,2023-06-14,台南市,全區,18,734211,2.71
266,2023-06-08,台南市,全區,1,734193,0.29
269,2023-06-07,台南市,全區,1,734192,0.14
315,2023-05-08,台南市,全區,10,734191,1.71
324,2023-05-04,台南市,全區,1,734181,0.29
327,2023-05-03,台南市,全區,1,734180,0.14
362,2023-03-24,台南市,全區,1,734179,194.00
379,2023-03-23,台南市,全區,1,734178,286.29
411,2023-03-22,台南市,全區,2,734177,380.00
467,2023-03-21,台南市,全區,21,734175,491.71
605,2023-03-20,台南市,全區,224,734154,601.57
889,2023-03-19,台南市,全區,406,733930,690.86
1217,2023-03-18,台南市,全區,703,733524,701.14
1557,2023-03-17,台南市,全區,647,732821,704.86
1909,2023-03-16,台南市,全區,657,732174,724.71
2262,2023-03-15,台南市,全區,784,731517,744.71
2613,2023-03-14,台南市,全區,790,730733,756.14
2970,2023-03-13,台南市,全區,849,729943,785.57
3329,2023-03-12,台南市,全區,478,729094,816.57
3674,2023-03-11,台南市,全區,729,728616,829.43
4027,2023-03-10,台南市,全區,786,727887,853.43
4382,2023-03-09,台南市,全區,797,727101,888.00
4741,2023-03-08,台南市,全區,864,726304,940.00
5095,2023-03-07,台南市,全區,996,725440,988.14
5454,2023-03-06,台南市,全區,1066,724444,996.43
5819,2023-03-05,台南市,全區,568,723378,976.71
6158,2023-03-04,台南市,全區,897,722810,984.71
6510,2023-03-03,台南市,全區,1028,721913,1017.00
6869,2023-03-02,台南市,全區,1161,720885,1024.86
7233,2023-03-01,台南市,全區,1201,719724,1021.00
7604,2023-02-28,台南市,全區,1054,718523,1027.43
7967,2023-02-27,台南市,全區,928,717469,1075.14
8326,2023-02-26,台南市,全區,624,716541,1182.14
8671,2023-02-25,台南市,全區,1123,715917,1238.71
9041,2023-02-24,台南市,全區,1083,714794,1277.29
9402,2023-02-23,台南市,全區,1134,713711,1313.71
9772,2023-02-22,台南市,全區,1246,712577,1333.29
10147,2023-02-21,台南市,全區,1388,711331,1354.00
10516,2023-02-20,台南市,全區,1677,709943,1380.43
10896,2023-02-19,台南市,全區,1020,708266,1393.71
11254,2023-02-18,台南市,全區,1393,707246,1391.29
11621,2023-02-17,台南市,全區,1338,705853,1407.57
11993,2023-02-16,台南市,全區,1271,704515,1422.00
12368,2023-02-15,台南市,全區,1391,703244,1465.71
12741,2023-02-14,台南市,全區,1573,701853,1513.86
13113,2023-02-13,台南市,全區,1770,700280,1554.43
13492,2023-02-12,台南市,全區,1003,698510,1582.86
13849,2023-02-11,台南市,全區,1507,697507,1614.29
14221,2023-02-10,台南市,全區,1439,696000,1648.00
14595,2023-02-09,台南市,全區,1577,694561,1705.43
14971,2023-02-08,台南市,全區,1728,692984,1775.29
15350,2023-02-07,台南市,全區,1857,691256,1843.71
15729,2023-02-06,台南市,全區,1969,689399,1931.86
16111,2023-02-05,台南市,全區,1223,687430,2066.71
16479,2023-02-04,台南市,全區,1743,686207,2118.57
16858,2023-02-03,台南市,全區,1841,684464,2181.71
17244,2023-02-02,台南市,全區,2066,682623,2216.00
17627,2023-02-01,台南市,全區,2207,680557,2194.86
18004,2023-01-31,台南市,全區,2474,678350,2105.29
18389,2023-01-30,台南市,全區,2913,675876,1940.86
18778,2023-01-29,台南市,全區,1586,672963,1696.86
19154,2023-01-28,台南市,全區,2185,671377,1591.14
19533,2023-01-27,台南市,全區,2081,669192,1497.86
19911,2023-01-26,台南市,全區,1918,667111,1442.57
20288,2023-01-25,台南市,全區,1580,665193,1386.29
20653,2023-01-24,台南市,全區,1323,663613,1374.14
21028,2023-01-23,台南市,全區,1205,662290,1430.00
21395,2023-01-22,台南市,全區,846,661085,1495.29
21759,2023-01-21,台南市,全區,1532,660239,1551.14
22131,2023-01-20,台南市,全區,1694,658707,1564.29
22498,2023-01-19,台南市,全區,1524,657013,1549.71
22869,2023-01-18,台南市,全區,1495,655489,1558.57
23241,2023-01-17,台南市,全區,1714,653994,1597.00
23605,2023-01-16,台南市,全區,1662,652280,1633.71
23981,2023-01-15,台南市,全區,1237,650618,1674.43
24348,2023-01-14,台南市,全區,1624,649381,1684.71
24716,2023-01-13,台南市,全區,1592,647757,1737.86
25084,2023-01-12,台南市,全區,1586,646165,1786.14
25459,2023-01-11,台南市,全區,1764,644579,1869.29
25835,2023-01-10,台南市,全區,1971,642815,1985.71
26207,2023-01-09,台南市,全區,1947,640844,2107.00
26586,2023-01-08,台南市,全區,1309,638897,2130.00
26943,2023-01-07,台南市,全區,1996,637588,2131.43
27314,2023-01-06,台南市,全區,1930,635592,2131.57
27690,2023-01-05,台南市,全區,2168,633662,2139.86
28070,2023-01-04,台南市,全區,2579,631494,2135.86
28451,2023-01-03,台南市,全區,2820,628915,2072.43
28833,2023-01-02,台南市,全區,2108,626095,1993.29
29204,2023-01-01,台南市,全區,1319,623987,1989.71
29566,2022-12-31,台南市,全區,1997,622668,1960.71
29932,2022-12-30,台南市,全區,1988,620671,1871.57
30304,2022-12-29,台南市,全區,2140,618683,1787.86
30677,2022-12-28,台南市,全區,2135,616543,1702.57
31047,2022-12-27,台南市,全區,2266,614408,1619.57
31424,2022-12-26,台南市,全區,2083,612142,1486.29
31796,2022-12-25,台南市,全區,1116,610059,1379.71
32150,2022-12-24,台南市,全區,1373,608943,1325.71
32510,2022-12-23,台南市,全區,1402,607570,1289.57
32874,2022-12-22,台南市,全區,1543,606168,1258.57
33241,2022-12-21,台南市,全區,1554,604625,1204.71
33611,2022-12-20,台南市,全區,1333,603071,1158.43
33974,2022-12-19,台南市,全區,1337,601738,1157.00
34345,2022-12-18,台南市,全區,738,600401,1183.00
34693,2022-12-17,台南市,全區,1120,599663,1199.14
35053,2022-12-16,台南市,全區,1185,598543,1188.14
35418,2022-12-15,台南市,全區,1166,597358,1166.71
35789,2022-12-14,台南市,全區,1230,596192,1156.86
36148,2022-12-13,台南市,全區,1323,594962,1142.14
36522,2022-12-12,台南市,全區,1519,593639,1120.14
36894,2022-12-11,台南市,全區,851,592120,1083.00
37245,2022-12-10,台南市,全區,1043,591269,1062.14
37614,2022-12-09,台南市,全區,1035,590226,1059.71
37979,2022-12-08,台南市,全區,1097,589191,1051.00
38352,2022-12-07,台南市,全區,1127,588094,1044.43
38724,2022-12-06,台南市,全區,1169,586967,1058.00
39095,2022-12-05,台南市,全區,1259,585798,1089.29
39473,2022-12-04,台南市,全區,705,584539,1124.29
39839,2022-12-03,台南市,全區,1026,583834,1146.14
40208,2022-12-02,台南市,全區,974,582808,1162.71
40578,2022-12-01,台南市,全區,1051,581834,1197.71
40947,2022-11-30,台南市,全區,1222,580783,1224.71
41318,2022-11-29,台南市,全區,1388,579561,1250.43
41698,2022-11-28,台南市,全區,1504,578173,1281.43
42076,2022-11-27,台南市,全區,858,576669,1310.43
42437,2022-11-26,台南市,全區,1142,575811,1345.43
42793,2022-11-25,台南市,全區,1219,574669,1400.86
43164,2022-11-24,台南市,全區,1240,573450,1453.00
43534,2022-11-23,台南市,全區,1402,572210,1516.71
43906,2022-11-22,台南市,全區,1605,570808,1584.86
44279,2022-11-21,台南市,全區,1707,569203,1644.71
44662,2022-11-20,台南市,全區,1103,567496,1668.29
45025,2022-11-19,台南市,全區,1530,566393,1740.14
45399,2022-11-18,台南市,全區,1584,564863,1775.14
45771,2022-11-17,台南市,全區,1686,563279,1822.43
46144,2022-11-16,台南市,全區,1879,561593,1860.00
46524,2022-11-15,台南市,全區,2024,559714,1905.57
46905,2022-11-14,台南市,全區,1872,557690,1958.00
47286,2022-11-13,台南市,全區,1606,555818,2045.29
47656,2022-11-12,台南市,全區,1775,554212,2027.71
48033,2022-11-11,台南市,全區,1915,552437,2104.00
48412,2022-11-10,台南市,全區,1949,550522,2170.29
48795,2022-11-09,台南市,全區,2198,548573,2237.00
49178,2022-11-08,台南市,全區,2391,546375,2306.71
