UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3744,2023-03-20,台南市,六甲區,55-59,492
3745,2023-03-20,台南市,六甲區,10-14,387
3746,2023-03-19,台南市,六甲區,25-29,610
3747,2023-03-18,台南市,六甲區,5-9,384
3748,2023-03-17,台南市,六甲區,40-44,690
3749,2023-03-17,台南市,六甲區,15-19,430
3750,2023-03-16,台南市,六甲區,30-34,594
3751,2023-03-16,台南市,六甲區,70+,810
3752,2023-03-16,台南市,六甲區,35-39,606
3753,2023-03-15,台南市,六甲區,0,36
3754,2023-03-15,台南市,六甲區,20-24,510
3755,2023-03-15,台南市,六甲區,50-54,444
3756,2023-03-15,台南市,六甲區,60-64,461
3757,2023-03-13,台南市,六甲區,45-49,523
3758,2023-03-11,台南市,六甲區,65-69,396
3759,2023-03-04,台南市,六甲區,2,57
3760,2023-03-03,台南市,六甲區,3,57
3761,2023-02-23,台南市,六甲區,1,52
3762,2023-02-18,台南市,六甲區,4,64
