UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1535,2023-02-26,台南市,六甲區,1,17,0.14
2834,2023-02-05,台南市,六甲區,1,16,0.29
3018,2023-02-02,台南市,六甲區,1,15,0.14
4073,2023-01-13,台南市,六甲區,1,14,0.14
7601,2022-10-29,台南市,六甲區,1,13,0.14
8665,2022-10-14,台南市,六甲區,1,12,0.14
9600,2022-09-30,台南市,六甲區,1,11,0.14
14339,2022-07-02,台南市,六甲區,1,10,0.71
14436,2022-07-01,台南市,六甲區,1,9,0.71
14530,2022-06-30,台南市,六甲區,1,8,0.57
14632,2022-06-29,台南市,六甲區,1,7,0.43
14827,2022-06-27,台南市,六甲區,1,6,0.43
15023,2022-06-25,台南市,六甲區,1,5,0.29
15450,2022-06-21,台南市,六甲區,1,4,0.14
17530,2022-06-04,台南市,六甲區,1,3,0.29
17661,2022-06-03,台南市,六甲區,1,2,0.29
18370,2022-05-28,台南市,六甲區,1,1,0.14
