UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
164,2023-06-14,台南市,北區,2,53734,0.29
721,2023-03-20,台南市,北區,25,53732,50.86
1014,2023-03-19,台南市,北區,30,53707,58.57
1344,2023-03-18,台南市,北區,49,53677,60.14
1683,2023-03-17,台南市,北區,68,53628,61.14
2036,2023-03-16,台南市,北區,56,53560,60.00
2388,2023-03-15,台南市,北區,64,53504,60.86
2738,2023-03-14,台南市,北區,64,53440,60.43
3096,2023-03-13,台南市,北區,79,53376,63.43
3454,2023-03-12,台南市,北區,41,53297,63.00
3801,2023-03-11,台南市,北區,56,53256,64.14
4152,2023-03-10,台南市,北區,60,53200,63.14
4509,2023-03-09,台南市,北區,62,53140,67.29
4867,2023-03-08,台南市,北區,61,53078,70.29
5221,2023-03-07,台南市,北區,85,53017,76.14
5581,2023-03-06,台南市,北區,76,52932,77.00
5945,2023-03-05,台南市,北區,49,52856,75.00
6283,2023-03-04,台南市,北區,49,52807,75.71
6637,2023-03-03,台南市,北區,89,52758,80.29
6996,2023-03-02,台南市,北區,83,52669,77.57
7360,2023-03-01,台南市,北區,102,52586,79.14
7731,2023-02-28,台南市,北區,91,52484,77.86
8094,2023-02-27,台南市,北區,62,52393,79.14
8453,2023-02-26,台南市,北區,54,52331,85.00
8797,2023-02-25,台南市,北區,81,52277,88.86
9167,2023-02-24,台南市,北區,70,52196,91.14
9528,2023-02-23,台南市,北區,94,52126,97.43
9899,2023-02-22,台南市,北區,93,52032,94.00
10273,2023-02-21,台南市,北區,100,51939,96.43
10643,2023-02-20,台南市,北區,103,51839,99.57
11022,2023-02-19,台南市,北區,81,51736,101.71
11381,2023-02-18,台南市,北區,97,51655,97.86
11747,2023-02-17,台南市,北區,114,51558,96.57
12120,2023-02-16,台南市,北區,70,51444,90.57
12495,2023-02-15,台南市,北區,110,51374,98.14
12868,2023-02-14,台南市,北區,122,51264,98.57
13240,2023-02-13,台南市,北區,118,51142,99.86
13618,2023-02-12,台南市,北區,54,51024,101.14
13976,2023-02-11,台南市,北區,88,50970,106.57
14348,2023-02-10,台南市,北區,72,50882,112.71
14721,2023-02-09,台南市,北區,123,50810,125.43
15098,2023-02-08,台南市,北區,113,50687,132.57
15477,2023-02-07,台南市,北區,131,50574,141.00
15856,2023-02-06,台南市,北區,127,50443,145.14
16237,2023-02-05,台南市,北區,92,50316,157.00
16606,2023-02-04,台南市,北區,131,50224,156.43
16985,2023-02-03,台南市,北區,161,50093,163.00
17371,2023-02-02,台南市,北區,173,49932,163.71
17754,2023-02-01,台南市,北區,172,49759,163.71
18131,2023-01-31,台南市,北區,160,49587,159.71
18516,2023-01-30,台南市,北區,210,49427,154.14
18905,2023-01-29,台南市,北區,88,49217,136.29
19281,2023-01-28,台南市,北區,177,49129,134.14
19660,2023-01-27,台南市,北區,166,48952,125.71
20038,2023-01-26,台南市,北區,173,48786,121.57
20415,2023-01-25,台南市,北區,144,48613,112.86
