UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1195,2023-03-19,台南市,南化區,3,1495,2.00
1533,2023-03-18,台南市,南化區,2,1492,1.57
1884,2023-03-17,台南市,南化區,1,1490,1.43
2235,2023-03-16,台南市,南化區,1,1489,1.71
2587,2023-03-15,台南市,南化區,1,1488,2.00
2945,2023-03-14,台南市,南化區,4,1487,2.00
3303,2023-03-13,台南市,南化區,2,1483,1.57
4002,2023-03-11,台南市,南化區,1,1481,1.57
4354,2023-03-10,台南市,南化區,3,1480,1.57
4714,2023-03-09,台南市,南化區,3,1477,1.43
5068,2023-03-08,台南市,南化區,1,1474,1.14
5428,2023-03-07,台南市,南化區,1,1473,1.14
5792,2023-03-06,台南市,南化區,1,1472,1.00
6132,2023-03-05,台南市,南化區,1,1471,1.00
6485,2023-03-04,台南市,南化區,1,1470,0.86
6843,2023-03-03,台南市,南化區,2,1469,0.86
7205,2023-03-02,台南市,南化區,1,1467,1.00
7576,2023-03-01,台南市,南化區,1,1466,1.71
8301,2023-02-27,台南市,南化區,1,1465,2.86
9015,2023-02-25,台南市,南化區,1,1464,3.00
9376,2023-02-24,台南市,南化區,3,1463,3.14
9744,2023-02-23,台南市,南化區,6,1460,3.29
10119,2023-02-22,台南市,南化區,6,1454,3.14
10492,2023-02-21,台南市,南化區,3,1448,3.43
11226,2023-02-19,台南市,南化區,2,1445,4.00
11592,2023-02-18,台南市,南化區,2,1443,3.71
11966,2023-02-17,台南市,南化區,4,1441,4.00
12341,2023-02-16,台南市,南化區,5,1437,3.57
12712,2023-02-15,台南市,南化區,8,1432,3.14
13088,2023-02-14,台南市,南化區,7,1424,2.14
14197,2023-02-11,台南市,南化區,4,1417,2.43
14567,2023-02-10,台南市,南化區,1,1413,2.71
14942,2023-02-09,台南市,南化區,2,1412,2.86
15320,2023-02-08,台南市,南化區,1,1410,3.29
15700,2023-02-07,台南市,南化區,3,1409,3.57
16083,2023-02-06,台南市,南化區,5,1406,3.86
16451,2023-02-05,台南市,南化區,1,1401,3.43
16830,2023-02-04,台南市,南化區,6,1400,3.29
17215,2023-02-03,台南市,南化區,2,1394,2.57
17597,2023-02-02,台南市,南化區,5,1392,2.71
17975,2023-02-01,台南市,南化區,3,1387,2.57
18360,2023-01-31,台南市,南化區,5,1384,2.14
18748,2023-01-30,台南市,南化區,2,1379,1.57
19505,2023-01-28,台南市,南化區,1,1377,1.86
19884,2023-01-27,台南市,南化區,3,1376,2.43
20261,2023-01-26,台南市,南化區,4,1373,2.29
21000,2023-01-24,台南市,南化區,1,1369,2.14
21366,2023-01-23,台南市,南化區,2,1368,2.43
21734,2023-01-22,台南市,南化區,2,1366,2.43
22107,2023-01-21,台南市,南化區,5,1364,2.29
22471,2023-01-20,台南市,南化區,2,1359,2.43
22843,2023-01-19,台南市,南化區,1,1357,2.29
23213,2023-01-18,台南市,南化區,2,1356,2.14
23579,2023-01-17,台南市,南化區,3,1354,2.00
23954,2023-01-16,台南市,南化區,2,1351,2.14
24322,2023-01-15,台南市,南化區,1,1349,2.14
24687,2023-01-14,台南市,南化區,6,1348,2.57
25056,2023-01-13,台南市,南化區,1,1342,1.86
25807,2023-01-11,台南市,南化區,1,1341,2.14
26180,2023-01-10,台南市,南化區,4,1340,2.14
26557,2023-01-09,台南市,南化區,2,1336,2.29
26919,2023-01-08,台南市,南化區,4,1334,2.14
27289,2023-01-07,台南市,南化區,1,1330,1.71
27661,2023-01-06,台南市,南化區,1,1329,1.57
28042,2023-01-05,台南市,南化區,2,1328,1.86
28422,2023-01-04,台南市,南化區,1,1326,1.71
28804,2023-01-03,台南市,南化區,5,1325,2.14
29176,2023-01-02,台南市,南化區,1,1320,1.57
29541,2023-01-01,台南市,南化區,1,1319,1.71
30279,2022-12-30,台南市,南化區,3,1318,1.86
30649,2022-12-29,台南市,南化區,1,1315,2.00
31021,2022-12-28,台南市,南化區,4,1314,2.00
31396,2022-12-27,台南市,南化區,1,1310,1.43
31769,2022-12-26,台南市,南化區,2,1309,1.86
32124,2022-12-25,台南市,南化區,1,1307,2.00
32484,2022-12-24,台南市,南化區,1,1306,2.00
32846,2022-12-23,台南市,南化區,4,1305,2.00
33213,2022-12-22,台南市,南化區,1,1301,1.43
33947,2022-12-20,台南市,南化區,4,1300,2.43
34320,2022-12-19,台南市,南化區,3,1296,2.14
34669,2022-12-18,台南市,南化區,1,1293,2.00
35028,2022-12-17,台南市,南化區,1,1292,1.86
35764,2022-12-15,台南市,南化區,6,1291,2.43
36121,2022-12-14,台南市,南化區,2,1285,1.86
36494,2022-12-13,台南市,南化區,2,1283,1.86
36869,2022-12-12,台南市,南化區,2,1281,2.00
37588,2022-12-10,台南市,南化區,1,1279,2.29
37952,2022-12-09,台南市,南化區,4,1278,2.57
38326,2022-12-08,台南市,南化區,2,1274,2.43
38698,2022-12-07,台南市,南化區,2,1272,2.29
39067,2022-12-06,台南市,南化區,3,1270,2.29
39445,2022-12-05,台南市,南化區,2,1267,3.14
39811,2022-12-04,台南市,南化區,2,1265,3.14
40183,2022-12-03,台南市,南化區,3,1263,2.86
40553,2022-12-02,台南市,南化區,3,1260,2.57
40919,2022-12-01,台南市,南化區,1,1257,2.14
41293,2022-11-30,台南市,南化區,2,1256,2.14
41671,2022-11-29,台南市,南化區,9,1254,2.71
42048,2022-11-28,台南市,南化區,2,1245,2.14
42766,2022-11-26,台南市,南化區,1,1243,2.43
43508,2022-11-24,台南市,南化區,1,1242,3.86
43878,2022-11-23,台南市,南化區,6,1241,4.43
44251,2022-11-22,台南市,南化區,5,1235,4.43
44633,2022-11-21,台南市,南化區,1,1230,5.14
45000,2022-11-20,台南市,南化區,3,1229,5.86
45372,2022-11-19,台南市,南化區,4,1226,5.43
45742,2022-11-18,台南市,南化區,7,1222,6.71
46116,2022-11-17,台南市,南化區,5,1215,6.71
46496,2022-11-16,台南市,南化區,6,1210,6.43
46876,2022-11-15,台南市,南化區,10,1204,6.14
47256,2022-11-14,台南市,南化區,6,1194,5.43
48003,2022-11-12,台南市,南化區,13,1188,5.57
48384,2022-11-11,台南市,南化區,7,1175,4.00
48766,2022-11-10,台南市,南化區,3,1168,3.57
49148,2022-11-09,台南市,南化區,4,1165,4.14
49534,2022-11-08,台南市,南化區,5,1161,4.00
49919,2022-11-07,台南市,南化區,4,1156,3.43
50290,2022-11-06,台南市,南化區,3,1152,4.14
50663,2022-11-05,台南市,南化區,2,1149,4.14
51049,2022-11-04,台南市,南化區,4,1147,4.14
51432,2022-11-03,台南市,南化區,7,1143,3.86
51814,2022-11-02,台南市,南化區,3,1136,3.43
52201,2022-11-01,台南市,南化區,1,1133,3.57
52583,2022-10-31,台南市,南化區,9,1132,3.86
52962,2022-10-30,台南市,南化區,3,1123,3.29
53341,2022-10-29,台南市,南化區,2,1120,3.14
53729,2022-10-28,台南市,南化區,2,1118,3.43
54114,2022-10-27,台南市,南化區,4,1116,4.29
54498,2022-10-26,台南市,南化區,4,1112,4.43
54887,2022-10-25,台南市,南化區,3,1108,5.14
55277,2022-10-24,台南市,南化區,5,1105,5.00
55655,2022-10-23,台南市,南化區,2,1100,5.43
56042,2022-10-22,台南市,南化區,4,1098,5.71
56430,2022-10-21,台南市,南化區,8,1094,5.29
56816,2022-10-20,台南市,南化區,5,1086,5.00
57202,2022-10-19,台南市,南化區,9,1081,5.29
57591,2022-10-18,台南市,南化區,2,1072,5.29
57981,2022-10-17,台南市,南化區,8,1070,5.86
58366,2022-10-16,台南市,南化區,4,1062,6.29
58753,2022-10-15,台南市,南化區,1,1058,6.14
59140,2022-10-14,台南市,南化區,6,1057,8.71
59530,2022-10-13,台南市,南化區,7,1051,8.71
59920,2022-10-12,台南市,南化區,9,1044,9.14
60310,2022-10-11,台南市,南化區,6,1035,8.86
60697,2022-10-10,台南市,南化區,11,1029,9.14
61082,2022-10-09,台南市,南化區,3,1018,8.14
61471,2022-10-08,台南市,南化區,19,1015,8.57
61860,2022-10-07,台南市,南化區,6,996,6.43
62249,2022-10-06,台南市,南化區,10,990,6.29
62638,2022-10-05,台南市,南化區,7,980,5.57
63024,2022-10-04,台南市,南化區,8,973,5.57
63414,2022-10-03,台南市,南化區,4,965,5.14
63798,2022-10-02,台南市,南化區,6,961,5.71
64185,2022-10-01,台南市,南化區,4,955,5.14
64571,2022-09-30,台南市,南化區,5,951,5.57
64957,2022-09-29,台南市,南化區,5,946,6.43
65344,2022-09-28,台南市,南化區,7,941,6.57
65733,2022-09-27,台南市,南化區,5,934,6.14
66120,2022-09-26,台南市,南化區,8,929,6.29
66504,2022-09-25,台南市,南化區,2,921,6.29
66889,2022-09-24,台南市,南化區,7,919,6.29
67276,2022-09-23,台南市,南化區,11,912,5.71
67664,2022-09-22,台南市,南化區,6,901,4.71
68051,2022-09-21,台南市,南化區,4,895,4.43
68441,2022-09-20,台南市,南化區,6,891,5.14
68832,2022-09-19,台南市,南化區,8,885,5.43
69215,2022-09-18,台南市,南化區,2,877,4.86
69601,2022-09-17,台南市,南化區,3,875,5.00
69988,2022-09-16,台南市,南化區,4,872,5.00
70375,2022-09-15,台南市,南化區,4,868,5.43
70760,2022-09-14,台南市,南化區,9,864,5.29
71148,2022-09-13,台南市,南化區,8,855,4.14
71538,2022-09-12,台南市,南化區,4,847,4.29
71922,2022-09-11,台南市,南化區,3,843,4.57
72303,2022-09-10,台南市,南化區,3,840,4.57
72686,2022-09-09,台南市,南化區,7,837,4.71
73071,2022-09-08,台南市,南化區,3,830,3.86
73458,2022-09-07,台南市,南化區,1,827,4.00
73842,2022-09-06,台南市,南化區,9,826,4.00
74229,2022-09-05,台南市,南化區,6,817,3.14
74612,2022-09-04,台南市,南化區,3,811,3.29
74998,2022-09-03,台南市,南化區,4,808,3.14
75384,2022-09-02,台南市,南化區,1,804,3.29
75772,2022-09-01,台南市,南化區,4,803,3.43
76160,2022-08-31,台南市,南化區,1,799,3.29
76547,2022-08-30,台南市,南化區,3,798,3.71
76937,2022-08-29,台南市,南化區,7,795,3.43
77318,2022-08-28,台南市,南化區,2,788,2.71
77706,2022-08-27,台南市,南化區,5,786,2.57
78092,2022-08-26,台南市,南化區,2,781,2.29
78479,2022-08-25,台南市,南化區,3,779,2.29
78863,2022-08-24,台南市,南化區,4,776,2.14
79247,2022-08-23,台南市,南化區,1,772,2.00
79635,2022-08-22,台南市,南化區,2,771,2.43
80012,2022-08-21,台南市,南化區,1,769,3.29
80396,2022-08-20,台南市,南化區,3,768,3.57
80781,2022-08-19,台南市,南化區,2,765,3.57
81170,2022-08-18,台南市,南化區,2,763,3.86
81556,2022-08-17,台南市,南化區,3,761,3.86
81941,2022-08-16,台南市,南化區,4,758,4.00
82329,2022-08-15,台南市,南化區,8,754,4.57
82706,2022-08-14,台南市,南化區,3,746,4.29
83085,2022-08-13,台南市,南化區,3,743,4.57
83470,2022-08-12,台南市,南化區,4,740,5.29
83856,2022-08-11,台南市,南化區,2,736,5.00
84243,2022-08-10,台南市,南化區,4,734,5.14
84626,2022-08-09,台南市,南化區,8,730,5.43
85009,2022-08-08,台南市,南化區,6,722,5.00
85384,2022-08-07,台南市,南化區,5,716,4.29
85762,2022-08-06,台南市,南化區,8,711,4.00
86147,2022-08-05,台南市,南化區,2,703,3.14
86532,2022-08-04,台南市,南化區,3,701,3.14
86919,2022-08-03,台南市,南化區,6,698,3.00
87301,2022-08-02,台南市,南化區,5,692,2.86
87690,2022-08-01,台南市,南化區,1,687,2.43
88067,2022-07-31,台南市,南化區,3,686,2.29
88445,2022-07-30,台南市,南化區,2,683,2.29
88828,2022-07-29,台南市,南化區,2,681,2.14
89215,2022-07-28,台南市,南化區,2,679,2.00
89604,2022-07-27,台南市,南化區,5,677,1.71
89992,2022-07-26,台南市,南化區,2,672,1.29
90756,2022-07-24,台南市,南化區,3,670,1.57
91137,2022-07-23,台南市,南化區,1,667,1.14
91525,2022-07-22,台南市,南化區,1,666,1.57
92295,2022-07-20,台南市,南化區,2,665,1.57
92682,2022-07-19,台南市,南化區,4,663,2.14
93837,2022-07-16,台南市,南化區,4,659,3.00
94225,2022-07-15,台南市,南化區,1,655,3.00
95001,2022-07-13,台南市,南化區,6,654,4.00
95388,2022-07-12,台南市,南化區,6,648,4.29
95778,2022-07-11,台南市,南化區,3,642,4.57
96161,2022-07-10,台南市,南化區,1,639,5.43
96549,2022-07-09,台南市,南化區,4,638,6.14
96937,2022-07-08,台南市,南化區,4,634,6.29
97328,2022-07-07,台南市,南化區,4,630,7.43
97718,2022-07-06,台南市,南化區,8,626,8.00
98107,2022-07-05,台南市,南化區,8,618,8.14
98495,2022-07-04,台南市,南化區,9,610,8.86
98882,2022-07-03,台南市,南化區,6,601,10.71
99268,2022-07-02,台南市,南化區,5,595,11.43
99660,2022-07-01,台南市,南化區,12,590,12.29
100052,2022-06-30,台南市,南化區,8,578,13.00
100441,2022-06-29,台南市,南化區,9,570,15.14
100832,2022-06-28,台南市,南化區,13,561,15.29
101222,2022-06-27,台南市,南化區,22,548,16.57
101607,2022-06-26,台南市,南化區,11,526,16.57
101996,2022-06-25,台南市,南化區,11,515,16.29
102386,2022-06-24,台南市,南化區,17,504,17.57
102778,2022-06-23,台南市,南化區,23,487,16.29
103169,2022-06-22,台南市,南化區,10,464,14.71
103560,2022-06-21,台南市,南化區,22,454,15.29
103952,2022-06-20,台南市,南化區,22,432,15.29
104341,2022-06-19,台南市,南化區,9,410,15.14
104733,2022-06-18,台南市,南化區,20,401,14.14
105124,2022-06-17,台南市,南化區,8,381,14.57
105514,2022-06-16,台南市,南化區,12,373,15.14
105904,2022-06-15,台南市,南化區,14,361,15.71
106294,2022-06-14,台南市,南化區,22,347,16.14
106686,2022-06-13,台南市,南化區,21,325,15.71
107074,2022-06-12,台南市,南化區,2,304,15.00
107463,2022-06-11,台南市,南化區,23,302,16.14
107854,2022-06-10,台南市,南化區,12,279,15.00
108243,2022-06-09,台南市,南化區,16,267,14.29
108632,2022-06-08,台南市,南化區,17,251,13.86
109023,2022-06-07,台南市,南化區,19,234,12.29
109414,2022-06-06,台南市,南化區,16,215,11.29
109804,2022-06-05,台南市,南化區,10,199,10.57
110192,2022-06-04,台南市,南化區,15,189,9.71
110584,2022-06-03,台南市,南化區,7,174,8.57
110975,2022-06-02,台南市,南化區,13,167,8.14
111365,2022-06-01,台南市,南化區,6,154,8.29
111757,2022-05-31,台南市,南化區,12,148,8.57
112147,2022-05-30,台南市,南化區,11,136,7.29
112539,2022-05-29,台南市,南化區,4,125,7.00
112928,2022-05-28,台南市,南化區,7,121,8.29
113320,2022-05-27,台南市,南化區,4,114,9.43
113710,2022-05-26,台南市,南化區,14,110,10.00
114100,2022-05-25,台南市,南化區,8,96,9.71
114491,2022-05-24,台南市,南化區,3,88,9.57
114883,2022-05-23,台南市,南化區,9,85,9.86
115273,2022-05-22,台南市,南化區,13,76,8.71
115661,2022-05-21,台南市,南化區,15,63,7.57
116048,2022-05-20,台南市,南化區,8,48,5.57
116436,2022-05-19,台南市,南化區,12,40,4.43
116826,2022-05-18,台南市,南化區,7,28,3.29
117216,2022-05-17,台南市,南化區,5,21,2.43
117603,2022-05-16,台南市,南化區,1,16,1.71
117990,2022-05-15,台南市,南化區,5,15,1.71
118374,2022-05-14,台南市,南化區,1,10,1.29
119145,2022-05-12,台南市,南化區,4,9,1.14
119529,2022-05-11,台南市,南化區,1,5,0.57
120297,2022-05-09,台南市,南化區,1,4,0.43
120677,2022-05-08,台南市,南化區,2,3,0.29
123221,2022-05-01,台南市,南化區,1,1,0.14
