UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
713,2023-03-14,台南市,南區,1,106,0.29
798,2023-03-12,台南市,南區,1,105,0.14
1190,2023-03-04,台南市,南區,1,104,0.14
1689,2023-02-23,台南市,南區,1,103,0.14
2293,2023-02-13,台南市,南區,1,102,0.29
2356,2023-02-12,台南市,南區,1,101,0.14
3456,2023-01-25,台南市,南區,1,100,0.29
3562,2023-01-23,台南市,南區,1,99,0.14
3950,2023-01-15,台南市,南區,1,98,0.29
4062,2023-01-13,台南市,南區,1,97,0.14
4398,2023-01-06,台南市,南區,1,96,0.29
4444,2023-01-05,台南市,南區,1,95,0.29
4766,2022-12-30,台南市,南區,1,94,0.29
4802,2022-12-29,台南市,南區,1,93,0.14
5225,2022-12-18,台南市,南區,1,92,0.14
5513,2022-12-10,台南市,南區,1,91,0.29
5558,2022-12-09,台南市,南區,1,90,0.14
5869,2022-12-01,台南市,南區,1,89,0.43
5982,2022-11-28,台南市,南區,1,88,0.29
6015,2022-11-27,台南市,南區,1,87,0.14
6433,2022-11-18,台南市,南區,1,86,0.43
6481,2022-11-17,台南市,南區,1,85,0.29
6529,2022-11-16,台南市,南區,1,84,0.14
6927,2022-11-09,台南市,南區,1,83,0.14
8148,2022-10-21,台南市,南區,1,82,0.14
8861,2022-10-11,台南市,南區,2,81,0.29
9329,2022-10-04,台南市,南區,1,79,0.14
10884,2022-09-06,台南市,南區,1,78,0.14
11379,2022-08-25,台南市,南區,1,77,0.14
12218,2022-08-03,台南市,南區,1,76,0.43
12373,2022-07-31,台南市,南區,1,75,0.29
12528,2022-07-28,台南市,南區,1,74,0.43
12751,2022-07-24,台南市,南區,1,73,0.57
12866,2022-07-22,台南市,南區,1,72,0.57
12916,2022-07-21,台南市,南區,1,71,0.71
13108,2022-07-18,台南市,南區,1,70,1.14
13165,2022-07-17,台南市,南區,1,69,1.14
13304,2022-07-15,台南市,南區,2,68,1.43
13377,2022-07-14,台南市,南區,2,66,1.29
13516,2022-07-12,台南市,南區,2,64,1.57
13594,2022-07-11,台南市,南區,1,62,1.43
13660,2022-07-10,台南市,南區,1,61,1.57
13735,2022-07-09,台南市,南區,2,60,1.57
13796,2022-07-08,台南市,南區,1,58,1.57
13866,2022-07-07,台南市,南區,2,57,1.57
13953,2022-07-06,台南市,南區,2,55,1.43
14038,2022-07-05,台南市,南區,1,53,1.29
14128,2022-07-04,台南市,南區,2,52,1.29
14230,2022-07-03,台南市,南區,1,50,1.14
14309,2022-07-02,台南市,南區,2,49,1.00
14403,2022-07-01,台南市,南區,1,47,0.86
14492,2022-06-30,台南市,南區,1,46,0.86
14600,2022-06-29,台南市,南區,1,45,0.71
14693,2022-06-28,台南市,南區,1,44,0.71
14787,2022-06-27,台南市,南區,1,43,0.71
14991,2022-06-25,台南市,南區,1,42,1.00
15084,2022-06-24,台南市,南區,1,41,1.14
15304,2022-06-22,台南市,南區,1,40,1.29
15412,2022-06-21,台南市,南區,1,39,1.29
15530,2022-06-20,台南市,南區,2,38,1.29
15630,2022-06-19,台南市,南區,1,36,1.43
15751,2022-06-18,台南市,南區,2,35,1.29
15881,2022-06-17,台南市,南區,2,33,1.29
16136,2022-06-15,台南市,南區,1,31,1.43
16268,2022-06-14,台南市,南區,1,30,1.43
16391,2022-06-13,台南市,南區,3,29,1.43
16638,2022-06-11,台南市,南區,2,26,1.86
16766,2022-06-10,台南市,南區,2,24,2.00
16876,2022-06-09,台南市,南區,1,22,1.86
17002,2022-06-08,台南市,南區,1,21,1.86
17131,2022-06-07,台南市,南區,1,20,1.86
17262,2022-06-06,台南市,南區,4,19,2.00
17376,2022-06-05,台南市,南區,2,15,1.43
17489,2022-06-04,台南市,南區,3,13,1.14
17617,2022-06-03,台南市,南區,1,10,0.71
17734,2022-06-02,台南市,南區,1,9,0.57
17849,2022-06-01,台南市,南區,1,8,0.57
17981,2022-05-31,台南市,南區,2,7,0.43
18532,2022-05-26,台南市,南區,1,5,0.43
18721,2022-05-24,台南市,南區,1,4,0.43
18908,2022-05-22,台南市,南區,1,3,0.29
19145,2022-05-19,台南市,南區,1,2,0.29
19509,2022-05-13,台南市,南區,1,1,0.14
