UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3345,2023-06-14,台南市,善化區,40-44,2659
3346,2023-05-08,台南市,善化區,30-34,2968
3347,2023-05-08,台南市,善化區,25-29,3154
3348,2023-05-08,台南市,善化區,10-14,1236
3349,2023-03-20,台南市,善化區,5-9,1573
3350,2023-03-20,台南市,善化區,70+,1252
3351,2023-03-19,台南市,善化區,15-19,1041
3352,2023-03-19,台南市,善化區,20-24,1416
3353,2023-03-19,台南市,善化區,45-49,1596
3354,2023-03-19,台南市,善化區,65-69,698
3355,2023-03-19,台南市,善化區,50-54,1093
3356,2023-03-19,台南市,善化區,55-59,896
3357,2023-03-18,台南市,善化區,2,262
3358,2023-03-18,台南市,善化區,1,279
3359,2023-03-18,台南市,善化區,0,152
3360,2023-03-18,台南市,善化區,60-64,906
3361,2023-03-18,台南市,善化區,35-39,2819
3362,2023-03-18,台南市,善化區,3,251
3363,2023-03-07,台南市,善化區,4,299
