UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
509,2023-03-19,台南市,善化區,1,32,0.14
1870,2023-02-20,台南市,善化區,1,31,0.14
2614,2023-02-08,台南市,善化區,1,30,0.43
2757,2023-02-06,台南市,善化區,1,29,0.29
2818,2023-02-05,台南市,善化區,1,28,0.14
3455,2023-01-25,台南市,善化區,1,27,0.14
4258,2023-01-09,台南市,善化區,1,26,0.14
4607,2023-01-02,台南市,善化區,1,25,0.14
6623,2022-11-14,台南市,善化區,2,24,0.29
7098,2022-11-06,台南市,善化區,1,22,0.14
7722,2022-10-27,台南市,善化區,1,21,0.43
7866,2022-10-25,台南市,善化區,1,20,0.29
8147,2022-10-21,台南市,善化區,1,19,0.29
8362,2022-10-18,台南市,善化區,1,18,0.43
8647,2022-10-14,台南市,善化區,1,17,0.29
8789,2022-10-12,台南市,善化區,1,16,0.14
9647,2022-09-29,台南市,善化區,1,15,0.29
9826,2022-09-26,台南市,善化區,1,14,0.14
11635,2022-08-18,台南市,善化區,1,13,0.14
13044,2022-07-19,台南市,善化區,1,12,0.29
13376,2022-07-14,台南市,善化區,1,11,0.14
13865,2022-07-07,台南市,善化區,1,10,0.14
14491,2022-06-30,台南市,善化區,1,9,0.14
15880,2022-06-17,台南市,善化區,1,8,0.57
16267,2022-06-14,台南市,善化區,1,7,0.43
16516,2022-06-12,台南市,善化區,2,6,0.29
17616,2022-06-03,台南市,善化區,2,4,0.29
18907,2022-05-22,台南市,善化區,1,2,0.14
19508,2022-05-13,台南市,善化區,1,1,0.14
