UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
212,2023-06-14,台南市,善化區,1,24550,0.14
319,2023-05-08,台南市,善化區,3,24549,0.43
563,2023-03-21,台南市,善化區,1,24546,20.00
794,2023-03-20,台南市,善化區,5,24545,22.71
1096,2023-03-19,台南市,善化區,22,24540,25.43
1429,2023-03-18,台南市,善化區,35,24518,24.57
1775,2023-03-17,台南市,善化區,23,24483,22.14
2127,2023-03-16,台南市,善化區,29,24460,20.14
2480,2023-03-15,台南市,善化區,25,24431,20.43
2830,2023-03-14,台南市,善化區,20,24406,21.00
3188,2023-03-13,台南市,善化區,24,24386,23.00
3542,2023-03-12,台南市,善化區,16,24362,25.00
3892,2023-03-11,台南市,善化區,18,24346,26.43
4242,2023-03-10,台南市,善化區,9,24328,28.71
4599,2023-03-09,台南市,善化區,31,24319,31.57
4955,2023-03-08,台南市,善化區,29,24288,33.43
5312,2023-03-07,台南市,善化區,34,24259,34.29
5674,2023-03-06,台南市,善化區,38,24225,33.71
6033,2023-03-05,台南市,善化區,26,24187,34.86
6374,2023-03-04,台南市,善化區,34,24161,34.57
6728,2023-03-03,台南市,善化區,29,24127,35.00
7089,2023-03-02,台南市,善化區,44,24098,35.43
7451,2023-03-01,台南市,善化區,35,24054,33.43
7823,2023-02-28,台南市,善化區,30,24019,33.57
8189,2023-02-27,台南市,善化區,46,23989,36.57
8540,2023-02-26,台南市,善化區,24,23943,38.29
8892,2023-02-25,台南市,善化區,37,23919,41.29
9261,2023-02-24,台南市,善化區,32,23882,41.43
9624,2023-02-23,台南市,善化區,30,23850,43.57
9994,2023-02-22,台南市,善化區,36,23820,47.14
10367,2023-02-21,台南市,善化區,51,23784,50.57
10739,2023-02-20,台南市,善化區,58,23733,51.14
11113,2023-02-19,台南市,善化區,45,23675,50.57
11475,2023-02-18,台南市,善化區,38,23630,51.71
11840,2023-02-17,台南市,善化區,47,23592,52.00
12216,2023-02-16,台南市,善化區,55,23545,53.43
12589,2023-02-15,台南市,善化區,60,23490,53.43
12964,2023-02-14,台南市,善化區,55,23430,50.57
13335,2023-02-13,台南市,善化區,54,23375,49.14
13712,2023-02-12,台南市,善化區,53,23321,52.29
14072,2023-02-11,台南市,善化區,40,23268,52.29
14441,2023-02-10,台南市,善化區,57,23228,54.14
14815,2023-02-09,台南市,善化區,55,23171,53.57
15195,2023-02-08,台南市,善化區,40,23116,55.14
15572,2023-02-07,台南市,善化區,45,23076,60.00
15952,2023-02-06,台南市,善化區,76,23031,64.71
16328,2023-02-05,台南市,善化區,53,22955,67.43
16702,2023-02-04,台南市,善化區,53,22902,68.57
17081,2023-02-03,台南市,善化區,53,22849,72.71
17467,2023-02-02,台南市,善化區,66,22796,72.71
17848,2023-02-01,台南市,善化區,74,22730,72.14
18228,2023-01-31,台南市,善化區,78,22656,66.71
18613,2023-01-30,台南市,善化區,95,22578,63.00
18999,2023-01-29,台南市,善化區,61,22483,53.71
19377,2023-01-28,台南市,善化區,82,22422,49.86
19753,2023-01-27,台南市,善化區,53,22340,46.57
20134,2023-01-26,台南市,善化區,62,22287,47.14
20505,2023-01-25,台南市,善化區,36,22225,46.43
20874,2023-01-24,台南市,善化區,52,22189,47.57
21246,2023-01-23,台南市,善化區,30,22137,50.00
21615,2023-01-22,台南市,善化區,34,22107,56.29
21982,2023-01-21,台南市,善化區,59,22073,58.43
22355,2023-01-20,台南市,善化區,57,22014,61.00
22720,2023-01-19,台南市,善化區,57,21957,61.86
23093,2023-01-18,台南市,善化區,44,21900,62.43
23459,2023-01-17,台南市,善化區,69,21856,65.57
23826,2023-01-16,台南市,善化區,74,21787,66.57
24204,2023-01-15,台南市,善化區,49,21713,65.57
24567,2023-01-14,台南市,善化區,77,21664,66.43
24934,2023-01-13,台南市,善化區,63,21587,63.00
25305,2023-01-12,台南市,善化區,61,21524,63.29
25679,2023-01-11,台南市,善化區,66,21463,66.43
26055,2023-01-10,台南市,善化區,76,21397,71.29
26428,2023-01-09,台南市,善化區,67,21321,81.14
26802,2023-01-08,台南市,善化區,55,21254,84.86
27163,2023-01-07,台南市,善化區,53,21199,84.86
27536,2023-01-06,台南市,善化區,65,21146,86.43
27913,2023-01-05,台南市,善化區,83,21081,87.00
28291,2023-01-04,台南市,善化區,100,20998,88.86
28673,2023-01-03,台南市,善化區,145,20898,87.29
29053,2023-01-02,台南市,善化區,93,20753,80.71
29425,2023-01-01,台南市,善化區,55,20660,81.29
29786,2022-12-31,台南市,善化區,64,20605,81.86
30153,2022-12-30,台南市,善化區,69,20541,79.00
30527,2022-12-29,台南市,善化區,96,20472,77.14
30899,2022-12-28,台南市,善化區,89,20376,72.00
