UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1403,2023-03-18,台南市,大內區,3,2180,2.14
1747,2023-03-17,台南市,大內區,3,2177,2.43
2101,2023-03-16,台南市,大內區,2,2174,2.57
2802,2023-03-14,台南市,大內區,2,2172,2.71
3160,2023-03-13,台南市,大內區,4,2170,2.57
3515,2023-03-12,台南市,大內區,1,2166,2.29
3865,2023-03-11,台南市,大內區,5,2165,2.29
4215,2023-03-10,台南市,大內區,4,2160,1.86
4573,2023-03-09,台南市,大內區,1,2156,1.29
4929,2023-03-08,台南市,大內區,2,2155,1.29
5285,2023-03-07,台南市,大內區,1,2153,1.00
5648,2023-03-06,台南市,大內區,2,2152,1.29
6006,2023-03-05,台南市,大內區,1,2150,1.29
6347,2023-03-04,台南市,大內區,2,2149,1.57
7061,2023-03-02,台南市,大內區,1,2147,3.00
7796,2023-02-28,台南市,大內區,3,2146,3.43
8162,2023-02-27,台南市,大內區,2,2143,3.29
8513,2023-02-26,台南市,大內區,3,2141,3.43
8864,2023-02-25,台南市,大內區,6,2138,3.43
9232,2023-02-24,台南市,大內區,6,2132,2.57
9595,2023-02-23,台南市,大內區,3,2126,1.71
9966,2023-02-22,台南市,大內區,1,2123,1.43
10340,2023-02-21,台南市,大內區,2,2122,1.86
10710,2023-02-20,台南市,大內區,3,2120,2.29
11086,2023-02-19,台南市,大內區,3,2117,3.14
12188,2023-02-16,台南市,大內區,1,2114,4.71
12562,2023-02-15,台南市,大內區,4,2113,5.57
12935,2023-02-14,台南市,大內區,5,2109,5.71
13307,2023-02-13,台南市,大內區,9,2104,5.86
13685,2023-02-12,台南市,大內區,6,2095,5.00
14043,2023-02-11,台南市,大內區,5,2089,4.86
14413,2023-02-10,台南市,大內區,3,2084,4.71
14788,2023-02-09,台南市,大內區,7,2081,5.00
15166,2023-02-08,台南市,大內區,5,2074,4.71
15544,2023-02-07,台南市,大內區,6,2069,4.71
15923,2023-02-06,台南市,大內區,3,2063,4.86
16301,2023-02-05,台南市,大內區,5,2060,5.86
16673,2023-02-04,台南市,大內區,4,2055,5.29
17053,2023-02-03,台南市,大內區,5,2051,6.86
17438,2023-02-02,台南市,大內區,5,2046,6.57
17820,2023-02-01,台南市,大內區,5,2041,7.43
18199,2023-01-31,台南市,大內區,7,2036,7.00
18584,2023-01-30,台南市,大內區,10,2029,6.57
18970,2023-01-29,台南市,大內區,1,2019,6.14
19348,2023-01-28,台南市,大內區,15,2018,6.29
19724,2023-01-27,台南市,大內區,3,2003,5.29
20105,2023-01-26,台南市,大內區,11,2000,6.00
20478,2023-01-25,台南市,大內區,2,1989,4.86
20846,2023-01-24,台南市,大內區,4,1987,5.14
21219,2023-01-23,台南市,大內區,7,1983,4.86
21587,2023-01-22,台南市,大內區,2,1976,4.43
21953,2023-01-21,台南市,大內區,8,1974,4.43
