UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
295,2023-03-27,台南市,學甲區,1,23,0.14
1711,2023-02-23,台南市,學甲區,1,22,0.14
3811,2023-01-18,台南市,學甲區,1,21,0.14
4455,2023-01-05,台南市,學甲區,1,20,0.29
4566,2023-01-03,台南市,學甲區,1,19,0.14
5308,2022-12-16,台南市,學甲區,1,18,0.14
5756,2022-12-04,台南市,學甲區,1,17,0.14
6107,2022-11-25,台南市,學甲區,1,16,0.14
7670,2022-10-28,台南市,學甲區,1,15,0.14
9605,2022-09-30,台南市,學甲區,1,14,0.14
10935,2022-09-05,台南市,學甲區,1,13,0.29
11186,2022-08-30,台南市,學甲區,1,12,0.14
12144,2022-08-05,台南市,學甲區,1,11,0.14
12773,2022-07-24,台南市,學甲區,1,10,0.29
12940,2022-07-21,台南市,學甲區,1,9,0.14
13751,2022-07-09,台南市,學甲區,1,8,0.14
14536,2022-06-30,台南市,學甲區,1,7,0.29
14837,2022-06-27,台南市,學甲區,1,6,0.29
15457,2022-06-21,台南市,學甲區,1,5,0.43
15567,2022-06-20,台南市,學甲區,1,4,0.29
16184,2022-06-15,台南市,學甲區,1,3,0.14
17173,2022-06-07,台南市,學甲區,1,2,0.29
17774,2022-06-02,台南市,學甲區,1,1,0.14
