UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
826,2023-03-20,台南市,安定區,1,11590,6.86
1137,2023-03-19,台南市,安定區,4,11589,8.29
1469,2023-03-18,台南市,安定區,13,11585,9.43
1820,2023-03-17,台南市,安定區,4,11572,9.57
2169,2023-03-16,台南市,安定區,7,11568,10.86
2523,2023-03-15,台南市,安定區,11,11561,11.00
2874,2023-03-14,台南市,安定區,8,11550,10.86
3231,2023-03-13,台南市,安定區,11,11542,12.29
3583,2023-03-12,台南市,安定區,12,11531,13.57
3936,2023-03-11,台南市,安定區,14,11519,13.71
4288,2023-03-10,台南市,安定區,13,11505,14.14
4644,2023-03-09,台南市,安定區,8,11492,15.86
5000,2023-03-08,台南市,安定區,10,11484,16.14
5354,2023-03-07,台南市,安定區,18,11474,16.57
5720,2023-03-06,台南市,安定區,20,11456,16.43
6074,2023-03-05,台南市,安定區,13,11436,16.71
6417,2023-03-04,台南市,安定區,17,11423,16.57
6772,2023-03-03,台南市,安定區,25,11406,17.71
7134,2023-03-02,台南市,安定區,10,11381,17.57
7499,2023-03-01,台南市,安定區,13,11371,19.86
7870,2023-02-28,台南市,安定區,17,11358,22.43
8232,2023-02-27,台南市,安定區,22,11341,22.71
8578,2023-02-26,台南市,安定區,12,11319,23.43
8938,2023-02-25,台南市,安定區,25,11307,26.00
9305,2023-02-24,台南市,安定區,24,11282,27.14
9670,2023-02-23,台南市,安定區,26,11258,27.86
10041,2023-02-22,台南市,安定區,31,11232,25.14
10414,2023-02-21,台南市,安定區,19,11201,23.71
10786,2023-02-20,台南市,安定區,27,11182,23.29
11156,2023-02-19,台南市,安定區,30,11155,22.43
11520,2023-02-18,台南市,安定區,33,11125,20.00
11888,2023-02-17,台南市,安定區,29,11092,16.57
12261,2023-02-16,台南市,安定區,7,11063,14.86
12637,2023-02-15,台南市,安定區,21,11056,16.43
13012,2023-02-14,台南市,安定區,16,11035,16.29
13383,2023-02-13,台南市,安定區,21,11019,18.43
13757,2023-02-12,台南市,安定區,13,10998,19.71
14119,2023-02-11,台南市,安定區,9,10985,21.00
14489,2023-02-10,台南市,安定區,17,10976,22.29
14862,2023-02-09,台南市,安定區,18,10959,23.57
15243,2023-02-08,台南市,安定區,20,10941,24.29
15621,2023-02-07,台南市,安定區,31,10921,25.00
16001,2023-02-06,台南市,安定區,30,10890,26.71
16376,2023-02-05,台南市,安定區,22,10860,28.43
16750,2023-02-04,台南市,安定區,18,10838,28.43
17129,2023-02-03,台南市,安定區,26,10820,29.00
17516,2023-02-02,台南市,安定區,23,10794,29.57
17896,2023-02-01,台南市,安定區,25,10771,30.00
18278,2023-01-31,台南市,安定區,43,10746,31.00
18663,2023-01-30,台南市,安定區,42,10703,28.71
19048,2023-01-29,台南市,安定區,22,10661,24.43
19426,2023-01-28,台南市,安定區,22,10639,22.86
19802,2023-01-27,台南市,安定區,30,10617,23.43
20181,2023-01-26,台南市,安定區,26,10587,22.43
20552,2023-01-25,台南市,安定區,32,10561,20.71
20922,2023-01-24,台南市,安定區,27,10529,19.14
21290,2023-01-23,台南市,安定區,12,10502,19.29
21662,2023-01-22,台南市,安定區,11,10490,19.00
22029,2023-01-21,台南市,安定區,26,10479,21.14
22399,2023-01-20,台南市,安定區,23,10453,22.00
22767,2023-01-19,台南市,安定區,14,10430,22.86
23138,2023-01-18,台南市,安定區,21,10416,23.29
23505,2023-01-17,台南市,安定區,28,10395,24.00
23873,2023-01-16,台南市,安定區,10,10367,23.71
24247,2023-01-15,台南市,安定區,26,10357,24.71
24614,2023-01-14,台南市,安定區,32,10331,25.43
24982,2023-01-13,台南市,安定區,29,10299,26.86
25354,2023-01-12,台南市,安定區,17,10270,29.86
25725,2023-01-11,台南市,安定區,26,10253,32.00
26103,2023-01-10,台南市,安定區,26,10227,32.00
26477,2023-01-09,台南市,安定區,17,10201,35.86
26846,2023-01-08,台南市,安定區,31,10184,36.14
27208,2023-01-07,台南市,安定區,42,10153,34.86
27582,2023-01-06,台南市,安定區,50,10111,33.57
27961,2023-01-05,台南市,安定區,32,10061,30.43
28341,2023-01-04,台南市,安定區,26,10029,30.86
28723,2023-01-03,台南市,安定區,53,10003,33.86
29102,2023-01-02,台南市,安定區,19,9950,32.43
29472,2023-01-01,台南市,安定區,22,9931,35.43
29832,2022-12-31,台南市,安定區,33,9909,36.29
30199,2022-12-30,台南市,安定區,28,9876,34.71
30573,2022-12-29,台南市,安定區,35,9848,35.86
30945,2022-12-28,台南市,安定區,47,9813,35.14
31318,2022-12-27,台南市,安定區,43,9766,32.14
31692,2022-12-26,台南市,安定區,40,9723,29.71
32055,2022-12-25,台南市,安定區,28,9683,27.86
32416,2022-12-24,台南市,安定區,22,9655,25.86
32774,2022-12-23,台南市,安定區,36,9633,26.00
33140,2022-12-22,台南市,安定區,30,9597,24.29
33506,2022-12-21,台南市,安定區,26,9567,23.43
33874,2022-12-20,台南市,安定區,26,9541,21.29
34240,2022-12-19,台南市,安定區,27,9515,20.29
34602,2022-12-18,台南市,安定區,14,9488,20.57
34955,2022-12-17,台南市,安定區,23,9474,20.14
35323,2022-12-16,台南市,安定區,24,9451,18.71
35684,2022-12-15,台南市,安定區,24,9427,16.86
36048,2022-12-14,台南市,安定區,11,9403,15.71
36414,2022-12-13,台南市,安定區,19,9392,15.86
36792,2022-12-12,台南市,安定區,29,9373,16.29
37151,2022-12-11,台南市,安定區,11,9344,15.86
37513,2022-12-10,台南市,安定區,13,9333,15.29
37878,2022-12-09,台南市,安定區,11,9320,14.57
38249,2022-12-08,台南市,安定區,16,9309,14.29
38623,2022-12-07,台南市,安定區,12,9293,14.43
38988,2022-12-06,台南市,安定區,22,9281,14.29
39365,2022-12-05,台南市,安定區,26,9259,15.29
39740,2022-12-04,台南市,安定區,7,9233,15.14
40106,2022-12-03,台南市,安定區,8,9226,16.14
40473,2022-12-02,台南市,安定區,9,9218,19.43
40842,2022-12-01,台南市,安定區,17,9209,21.86
41215,2022-11-30,台南市,安定區,11,9192,23.43
41590,2022-11-29,台南市,安定區,29,9181,25.29
41968,2022-11-28,台南市,安定區,25,9152,26.29
42341,2022-11-27,台南市,安定區,14,9127,26.43
42696,2022-11-26,台南市,安定區,31,9113,28.57
43061,2022-11-25,台南市,安定區,26,9082,29.57
43431,2022-11-24,台南市,安定區,28,9056,30.00
43799,2022-11-23,台南市,安定區,24,9028,30.57
44172,2022-11-22,台南市,安定區,36,9004,33.14
44551,2022-11-21,台南市,安定區,26,8968,34.43
44927,2022-11-20,台南市,安定區,29,8942,34.86
45294,2022-11-19,台南市,安定區,38,8913,35.00
45664,2022-11-18,台南市,安定區,29,8875,35.29
46037,2022-11-17,台南市,安定區,32,8846,36.43
46413,2022-11-16,台南市,安定區,42,8814,37.71
46795,2022-11-15,台南市,安定區,45,8772,37.57
47173,2022-11-14,台南市,安定區,29,8727,37.14
47550,2022-11-13,台南市,安定區,30,8698,37.86
47923,2022-11-12,台南市,安定區,40,8668,37.57
48301,2022-11-11,台南市,安定區,37,8628,34.14
48681,2022-11-10,台南市,安定區,41,8591,35.43
49064,2022-11-09,台南市,安定區,41,8550,36.29
49451,2022-11-08,台南市,安定區,42,8509,36.71
49836,2022-11-07,台南市,安定區,34,8467,37.14
50213,2022-11-06,台南市,安定區,28,8433,40.29
50583,2022-11-05,台南市,安定區,16,8405,40.57
50967,2022-11-04,台南市,安定區,46,8389,43.57
51350,2022-11-03,台南市,安定區,47,8343,45.00
51730,2022-11-02,台南市,安定區,44,8296,44.57
52117,2022-11-01,台南市,安定區,45,8252,44.43
52500,2022-10-31,台南市,安定區,56,8207,49.00
52881,2022-10-30,台南市,安定區,30,8151,47.43
53260,2022-10-29,台南市,安定區,37,8121,49.29
53644,2022-10-28,台南市,安定區,56,8084,51.43
54030,2022-10-27,台南市,安定區,44,8028,51.57
54415,2022-10-26,台南市,安定區,43,7984,52.71
54801,2022-10-25,台南市,安定區,77,7941,55.57
55192,2022-10-24,台南市,安定區,45,7864,55.43
55577,2022-10-23,台南市,安定區,43,7819,57.86
55958,2022-10-22,台南市,安定區,52,7776,58.86
56344,2022-10-21,台南市,安定區,57,7724,59.14
56730,2022-10-20,台南市,安定區,52,7667,58.29
57117,2022-10-19,台南市,安定區,63,7615,56.43
57505,2022-10-18,台南市,安定區,76,7552,58.86
57895,2022-10-17,台南市,安定區,62,7476,58.86
58283,2022-10-16,台南市,安定區,50,7414,57.43
58669,2022-10-15,台南市,安定區,54,7364,55.14
59055,2022-10-14,台南市,安定區,51,7310,54.14
59444,2022-10-13,台南市,安定區,39,7259,52.43
59835,2022-10-12,台南市,安定區,80,7220,54.43
60225,2022-10-11,台南市,安定區,76,7140,48.14
60615,2022-10-10,台南市,安定區,52,7064,45.57
60998,2022-10-09,台南市,安定區,34,7012,44.00
61387,2022-10-08,台南市,安定區,47,6978,45.14
61776,2022-10-07,台南市,安定區,39,6931,42.29
62163,2022-10-06,台南市,安定區,53,6892,42.14
62554,2022-10-05,台南市,安定區,36,6839,40.71
62941,2022-10-04,台南市,安定區,58,6803,43.00
63330,2022-10-03,台南市,安定區,41,6745,39.86
63720,2022-10-02,台南市,安定區,42,6704,39.43
64101,2022-10-01,台南市,安定區,27,6662,37.71
64487,2022-09-30,台南市,安定區,38,6635,38.29
64872,2022-09-29,台南市,安定區,43,6597,36.86
65261,2022-09-28,台南市,安定區,52,6554,36.29
65648,2022-09-27,台南市,安定區,36,6502,31.71
66034,2022-09-26,台南市,安定區,38,6466,31.14
66421,2022-09-25,台南市,安定區,30,6428,32.00
66805,2022-09-24,台南市,安定區,31,6398,29.43
67191,2022-09-23,台南市,安定區,28,6367,29.71
67578,2022-09-22,台南市,安定區,39,6339,31.00
67967,2022-09-21,台南市,安定區,20,6300,28.71
68356,2022-09-20,台南市,安定區,32,6280,31.14
68746,2022-09-19,台南市,安定區,44,6248,31.57
69136,2022-09-18,台南市,安定區,12,6204,29.86
69519,2022-09-17,台南市,安定區,33,6192,30.43
69906,2022-09-16,台南市,安定區,37,6159,27.71
70291,2022-09-15,台南市,安定區,23,6122,26.29
70678,2022-09-14,台南市,安定區,37,6099,25.29
71064,2022-09-13,台南市,安定區,35,6062,24.29
71453,2022-09-12,台南市,安定區,32,6027,23.14
71840,2022-09-11,台南市,安定區,16,5995,23.14
72222,2022-09-10,台南市,安定區,14,5979,24.43
72604,2022-09-09,台南市,安定區,27,5965,26.00
72988,2022-09-08,台南市,安定區,16,5938,26.14
73375,2022-09-07,台南市,安定區,30,5922,28.71
73759,2022-09-06,台南市,安定區,27,5892,28.86
74145,2022-09-05,台南市,安定區,32,5865,28.29
74529,2022-09-04,台南市,安定區,25,5833,26.00
74913,2022-09-03,台南市,安定區,25,5808,25.86
75301,2022-09-02,台南市,安定區,28,5783,25.71
75687,2022-09-01,台南市,安定區,34,5755,24.14
76076,2022-08-31,台南市,安定區,31,5721,21.86
76463,2022-08-30,台南市,安定區,23,5690,20.00
76851,2022-08-29,台南市,安定區,16,5667,21.14
77238,2022-08-28,台南市,安定區,24,5651,21.00
77623,2022-08-27,台南市,安定區,24,5627,19.71
78009,2022-08-26,台南市,安定區,17,5603,18.57
78393,2022-08-25,台南市,安定區,18,5586,18.57
78778,2022-08-24,台南市,安定區,18,5568,18.14
79165,2022-08-23,台南市,安定區,31,5550,18.43
79550,2022-08-22,台南市,安定區,15,5519,18.43
79934,2022-08-21,台南市,安定區,15,5504,19.57
80314,2022-08-20,台南市,安定區,16,5489,19.29
80698,2022-08-19,台南市,安定區,17,5473,20.43
81084,2022-08-18,台南市,安定區,15,5456,21.57
81473,2022-08-17,台南市,安定區,20,5441,22.43
81858,2022-08-16,台南市,安定區,31,5421,23.29
82245,2022-08-15,台南市,安定區,23,5390,22.14
82628,2022-08-14,台南市,安定區,13,5367,22.57
83005,2022-08-13,台南市,安定區,24,5354,23.57
83387,2022-08-12,台南市,安定區,25,5330,23.14
83771,2022-08-11,台南市,安定區,21,5305,23.14
84158,2022-08-10,台南市,安定區,26,5284,22.71
84541,2022-08-09,台南市,安定區,23,5258,23.29
84927,2022-08-08,台南市,安定區,26,5235,23.71
85306,2022-08-07,台南市,安定區,20,5209,23.86
85681,2022-08-06,台南市,安定區,21,5189,24.43
86065,2022-08-05,台南市,安定區,25,5168,23.86
86451,2022-08-04,台南市,安定區,18,5143,24.00
86836,2022-08-03,台南市,安定區,30,5125,24.71
87218,2022-08-02,台南市,安定區,26,5095,23.43
87605,2022-08-01,台南市,安定區,27,5069,23.43
87988,2022-07-31,台南市,安定區,24,5042,25.71
88365,2022-07-30,台南市,安定區,17,5018,25.86
88746,2022-07-29,台南市,安定區,26,5001,26.00
89132,2022-07-28,台南市,安定區,23,4975,25.00
89519,2022-07-27,台南市,安定區,21,4952,25.86
89909,2022-07-26,台南市,安定區,26,4931,26.43
90296,2022-07-25,台南市,安定區,43,4905,26.00
90676,2022-07-24,台南市,安定區,25,4862,24.14
91056,2022-07-23,台南市,安定區,18,4837,22.86
91442,2022-07-22,台南市,安定區,19,4819,22.86
91828,2022-07-21,台南市,安定區,29,4800,22.86
