UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
293,2023-03-27,台南市,官田區,1,22,0.14
768,2023-03-13,台南市,官田區,1,21,0.29
851,2023-03-11,台南市,官田區,1,20,0.14
1310,2023-03-02,台南市,官田區,1,19,0.29
1594,2023-02-25,台南市,官田區,1,18,0.14
2242,2023-02-14,台南市,官田區,1,17,0.14
2706,2023-02-07,台南市,官田區,1,16,0.14
3309,2023-01-28,台南市,官田區,1,15,0.29
3576,2023-01-23,台南市,官田區,1,14,0.14
5234,2022-12-18,台南市,官田區,1,13,0.14
5521,2022-12-10,台南市,官田區,1,12,0.14
8663,2022-10-14,台南市,官田區,1,11,0.14
11268,2022-08-28,台南市,官田區,1,10,0.14
12769,2022-07-24,台南市,官田區,1,9,0.14
13614,2022-07-11,台南市,官田區,1,8,0.29
13893,2022-07-07,台南市,官田區,1,7,0.29
14433,2022-07-01,台南市,官田區,1,6,0.29
14923,2022-06-26,台南市,官田區,1,5,0.14
18016,2022-05-31,台南市,官田區,2,4,0.57
18142,2022-05-30,台南市,官田區,1,2,0.29
18565,2022-05-26,台南市,官田區,1,1,0.14
