UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
321,2023-05-08,台南市,官田區,1,7542,0.14
1437,2023-03-18,台南市,官田區,4,7541,5.14
1783,2023-03-17,台南市,官田區,4,7537,6.00
2135,2023-03-16,台南市,官田區,3,7533,6.86
2488,2023-03-15,台南市,官田區,4,7530,6.86
2838,2023-03-14,台南市,官田區,7,7526,7.71
3196,2023-03-13,台南市,官田區,11,7519,8.86
3550,2023-03-12,台南市,官田區,3,7508,9.14
3900,2023-03-11,台南市,官田區,10,7505,8.86
4250,2023-03-10,台南市,官田區,10,7495,7.86
4607,2023-03-09,台南市,官田區,3,7485,7.57
4963,2023-03-08,台南市,官田區,10,7482,8.71
5320,2023-03-07,台南市,官田區,15,7472,8.57
5682,2023-03-06,台南市,官田區,13,7457,8.00
6041,2023-03-05,台南市,官田區,1,7444,8.00
6382,2023-03-04,台南市,官田區,3,7443,8.29
6736,2023-03-03,台南市,官田區,8,7440,9.00
7097,2023-03-02,台南市,官田區,11,7432,10.00
7459,2023-03-01,台南市,官田區,9,7421,10.00
7831,2023-02-28,台南市,官田區,11,7412,10.00
8197,2023-02-27,台南市,官田區,13,7401,10.86
8548,2023-02-26,台南市,官田區,3,7388,11.43
8900,2023-02-25,台南市,官田區,8,7385,11.86
9269,2023-02-24,台南市,官田區,15,7377,13.00
9632,2023-02-23,台南市,官田區,11,7362,13.00
10002,2023-02-22,台南市,官田區,9,7351,14.00
10375,2023-02-21,台南市,官田區,17,7342,16.14
10747,2023-02-20,台南市,官田區,17,7325,16.86
11121,2023-02-19,台南市,官田區,6,7308,18.57
11483,2023-02-18,台南市,官田區,16,7302,18.29
11848,2023-02-17,台南市,官田區,15,7286,18.86
12224,2023-02-16,台南市,官田區,18,7271,19.43
12597,2023-02-15,台南市,官田區,24,7253,18.43
12972,2023-02-14,台南市,官田區,22,7229,16.29
13343,2023-02-13,台南市,官田區,29,7207,16.00
13720,2023-02-12,台南市,官田區,4,7178,15.29
14080,2023-02-11,台南市,官田區,20,7174,15.14
14449,2023-02-10,台南市,官田區,19,7154,16.00
14823,2023-02-09,台南市,官田區,11,7135,16.29
15203,2023-02-08,台南市,官田區,9,7124,18.86
15580,2023-02-07,台南市,官田區,20,7115,21.00
15960,2023-02-06,台南市,官田區,24,7095,22.14
16336,2023-02-05,台南市,官田區,3,7071,23.43
16710,2023-02-04,台南市,官田區,26,7068,24.43
17089,2023-02-03,台南市,官田區,21,7042,24.86
17475,2023-02-02,台南市,官田區,29,7021,24.71
17856,2023-02-01,台南市,官田區,24,6992,23.14
18236,2023-01-31,台南市,官田區,28,6968,22.14
18621,2023-01-30,台南市,官田區,33,6940,20.00
19007,2023-01-29,台南市,官田區,10,6907,16.71
19385,2023-01-28,台南市,官田區,29,6897,16.43
19761,2023-01-27,台南市,官田區,20,6868,13.86
20142,2023-01-26,台南市,官田區,18,6848,12.00
20513,2023-01-25,台南市,官田區,17,6830,12.43
20882,2023-01-24,台南市,官田區,13,6813,11.43
21254,2023-01-23,台南市,官田區,10,6800,12.29
21623,2023-01-22,台南市,官田區,8,6790,13.00
21990,2023-01-21,台南市,官田區,11,6782,13.14
22363,2023-01-20,台南市,官田區,7,6771,15.71
22728,2023-01-19,台南市,官田區,21,6764,16.86
23101,2023-01-18,台南市,官田區,10,6743,15.86
23467,2023-01-17,台南市,官田區,19,6733,16.71
23834,2023-01-16,台南市,官田區,15,6714,16.14
24212,2023-01-15,台南市,官田區,9,6699,16.57
24575,2023-01-14,台南市,官田區,29,6690,16.71
24942,2023-01-13,台南市,官田區,15,6661,14.43
25313,2023-01-12,台南市,官田區,14,6646,14.57
25687,2023-01-11,台南市,官田區,16,6632,16.29
26063,2023-01-10,台南市,官田區,15,6616,17.86
26436,2023-01-09,台南市,官田區,18,6601,19.57
26810,2023-01-08,台南市,官田區,10,6583,18.29
27171,2023-01-07,台南市,官田區,13,6573,18.14
27544,2023-01-06,台南市,官田區,16,6560,17.86
27921,2023-01-05,台南市,官田區,26,6544,17.43
28299,2023-01-04,台南市,官田區,27,6518,15.71
28681,2023-01-03,台南市,官田區,27,6491,14.57
29061,2023-01-02,台南市,官田區,9,6464,14.86
29433,2023-01-01,台南市,官田區,9,6455,16.14
29794,2022-12-31,台南市,官田區,11,6446,15.86
30161,2022-12-30,台南市,官田區,13,6435,15.86
30535,2022-12-29,台南市,官田區,14,6422,15.29
30907,2022-12-28,台南市,官田區,19,6408,15.00
31276,2022-12-27,台南市,官田區,29,6389,13.57
31651,2022-12-26,台南市,官田區,18,6360,11.14
32020,2022-12-25,台南市,官田區,7,6342,10.86
32378,2022-12-24,台南市,官田區,11,6335,10.71
32737,2022-12-23,台南市,官田區,9,6324,10.29
33104,2022-12-22,台南市,官田區,12,6315,11.00
33469,2022-12-21,台南市,官田區,9,6303,10.86
33836,2022-12-20,台南市,官田區,12,6294,12.43
34202,2022-12-19,台南市,官田區,16,6282,12.14
