UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1162,2023-03-19,台南市,山上區,3,2664,3.00
1495,2023-03-18,台南市,山上區,3,2661,2.71
1848,2023-03-17,台南市,山上區,3,2658,3.00
2194,2023-03-16,台南市,山上區,6,2655,2.71
2546,2023-03-15,台南市,山上區,3,2649,2.57
2904,2023-03-14,台南市,山上區,2,2646,2.29
3261,2023-03-13,台南市,山上區,1,2644,2.14
3610,2023-03-12,台南市,山上區,1,2643,2.29
3964,2023-03-11,台南市,山上區,5,2642,2.14
4317,2023-03-10,台南市,山上區,1,2637,2.29
4670,2023-03-09,台南市,山上區,5,2636,2.14
5029,2023-03-08,台南市,山上區,1,2631,1.71
5384,2023-03-07,台南市,山上區,1,2630,2.00
5749,2023-03-06,台南市,山上區,2,2629,1.86
6446,2023-03-04,台南市,山上區,6,2627,2.57
7163,2023-03-02,台南市,山上區,2,2621,2.71
7530,2023-03-01,台南市,山上區,3,2619,2.71
8259,2023-02-27,台南市,山上區,4,2616,3.14
8606,2023-02-26,台南市,山上區,3,2612,3.57
8970,2023-02-25,台南市,山上區,5,2609,3.86
9333,2023-02-24,台南市,山上區,2,2604,3.57
9700,2023-02-23,台南市,山上區,2,2602,3.86
10074,2023-02-22,台南市,山上區,3,2600,3.71
10445,2023-02-21,台南市,山上區,3,2597,3.86
10819,2023-02-20,台南市,山上區,7,2594,3.57
11181,2023-02-19,台南市,山上區,5,2587,3.00
11549,2023-02-18,台南市,山上區,3,2582,2.43
11921,2023-02-17,台南市,山上區,4,2579,2.14
12294,2023-02-16,台南市,山上區,1,2575,1.86
12668,2023-02-15,台南市,山上區,4,2574,2.43
13042,2023-02-14,台南市,山上區,1,2570,2.29
13417,2023-02-13,台南市,山上區,3,2569,2.29
13785,2023-02-12,台南市,山上區,1,2566,2.86
14152,2023-02-11,台南市,山上區,1,2565,3.57
14520,2023-02-10,台南市,山上區,2,2564,4.57
14894,2023-02-09,台南市,山上區,5,2562,4.86
15273,2023-02-08,台南市,山上區,3,2557,4.71
15654,2023-02-07,台南市,山上區,1,2554,5.14
16034,2023-02-06,台南市,山上區,7,2553,7.43
16406,2023-02-05,台南市,山上區,6,2546,8.57
16783,2023-02-04,台南市,山上區,8,2540,8.29
17163,2023-02-03,台南市,山上區,4,2532,8.14
17550,2023-02-02,台南市,山上區,4,2528,8.00
17929,2023-02-01,台南市,山上區,6,2524,8.14
18312,2023-01-31,台南市,山上區,17,2518,7.57
18697,2023-01-30,台南市,山上區,15,2501,5.57
19081,2023-01-29,台南市,山上區,4,2486,4.29
19459,2023-01-28,台南市,山上區,7,2482,3.86
19836,2023-01-27,台南市,山上區,3,2475,3.71
20213,2023-01-26,台南市,山上區,5,2472,4.86
20585,2023-01-25,台南市,山上區,2,2467,4.29
20954,2023-01-24,台南市,山上區,3,2465,4.43
21322,2023-01-23,台南市,山上區,6,2462,4.57
21692,2023-01-22,台南市,山上區,1,2456,4.14
22060,2023-01-21,台南市,山上區,6,2455,4.57
22429,2023-01-20,台南市,山上區,11,2449,4.00
22796,2023-01-19,台南市,山上區,1,2438,2.71
23168,2023-01-18,台南市,山上區,3,2437,3.00
23533,2023-01-17,台南市,山上區,4,2434,2.86
23906,2023-01-16,台南市,山上區,3,2430,3.14
24278,2023-01-15,台南市,山上區,4,2427,3.57
24644,2023-01-14,台南市,山上區,2,2423,3.29
25012,2023-01-13,台南市,山上區,2,2421,3.43
25386,2023-01-12,台南市,山上區,3,2419,3.57
25759,2023-01-11,台南市,山上區,2,2416,3.71
26134,2023-01-10,台南市,山上區,6,2414,3.86
26510,2023-01-09,台南市,山上區,6,2408,3.71
26876,2023-01-08,台南市,山上區,2,2402,4.14
27241,2023-01-07,台南市,山上區,3,2400,4.29
27613,2023-01-06,台南市,山上區,3,2397,4.43
27994,2023-01-05,台南市,山上區,4,2394,5.00
28374,2023-01-04,台南市,山上區,3,2390,5.14
28756,2023-01-03,台南市,山上區,5,2387,5.29
29131,2023-01-02,台南市,山上區,9,2382,5.86
29498,2023-01-01,台南市,山上區,3,2373,5.00
29864,2022-12-31,台南市,山上區,4,2370,5.29
30230,2022-12-30,台南市,山上區,7,2366,4.71
30603,2022-12-29,台南市,山上區,5,2359,4.29
30975,2022-12-28,台南市,山上區,4,2354,4.00
31350,2022-12-27,台南市,山上區,9,2350,3.71
31723,2022-12-26,台南市,山上區,3,2341,2.71
32082,2022-12-25,台南市,山上區,5,2338,2.43
32803,2022-12-23,台南市,山上區,4,2333,2.29
33170,2022-12-22,台南市,山上區,3,2329,1.71
33539,2022-12-21,台南市,山上區,2,2326,1.71
33905,2022-12-20,台南市,山上區,2,2324,2.14
34272,2022-12-19,台南市,山上區,1,2322,2.14
34627,2022-12-18,台南市,山上區,1,2321,2.14
34987,2022-12-17,台南市,山上區,3,2320,2.43
35715,2022-12-15,台南市,山上區,3,2317,2.86
36077,2022-12-14,台南市,山上區,5,2314,3.14
36446,2022-12-13,台南市,山上區,2,2309,2.57
36824,2022-12-12,台南市,山上區,1,2307,2.86
