UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3649,2023-03-20,台南市,後壁區,70+,913
3650,2023-03-20,台南市,後壁區,60-64,488
3651,2023-03-20,台南市,後壁區,30-34,394
3652,2023-03-20,台南市,後壁區,20-24,415
3653,2023-03-19,台南市,後壁區,35-39,469
3654,2023-03-18,台南市,後壁區,15-19,440
3655,2023-03-17,台南市,後壁區,25-29,404
3656,2023-03-16,台南市,後壁區,45-49,415
3657,2023-03-15,台南市,後壁區,50-54,445
3658,2023-03-15,台南市,後壁區,40-44,496
3659,2023-03-14,台南市,後壁區,5-9,302
3660,2023-03-14,台南市,後壁區,10-14,326
3661,2023-03-13,台南市,後壁區,55-59,499
3662,2023-03-11,台南市,後壁區,65-69,363
3663,2023-03-10,台南市,後壁區,1,40
3664,2023-02-21,台南市,後壁區,3,55
3665,2023-02-06,台南市,後壁區,0,35
3666,2023-02-05,台南市,後壁區,2,49
3667,2023-01-18,台南市,後壁區,4,45
