UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
2245,2023-02-14,台南市,後壁區,1,22,0.29
2311,2023-02-13,台南市,後壁區,1,21,0.14
3199,2023-01-30,台南市,後壁區,1,20,0.29
3415,2023-01-26,台南市,後壁區,1,19,0.29
3628,2023-01-22,台南市,後壁區,1,18,0.14
4778,2022-12-30,台南市,後壁區,1,17,0.14
6022,2022-11-27,台南市,後壁區,1,16,0.14
6824,2022-11-11,台南市,後壁區,1,15,0.14
7291,2022-11-03,台南市,後壁區,1,14,0.29
7420,2022-11-01,台南市,後壁區,1,13,0.14
8170,2022-10-21,台南市,後壁區,1,12,0.14
8740,2022-10-13,台南市,後壁區,1,11,0.29
8946,2022-10-10,台南市,後壁區,1,10,0.14
9606,2022-09-30,台南市,後壁區,1,9,0.29
9788,2022-09-27,台南市,後壁區,1,8,0.14
10761,2022-09-09,台南市,後壁區,1,7,0.29
10895,2022-09-06,台南市,後壁區,1,6,0.14
13000,2022-07-20,台南市,後壁區,1,5,0.14
15028,2022-06-25,台南市,後壁區,1,4,0.29
15682,2022-06-19,台南市,後壁區,1,3,0.14
16553,2022-06-12,台南市,後壁區,1,2,0.14
17671,2022-06-03,台南市,後壁區,1,1,0.14
