UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
833,2023-03-20,台南市,後壁區,4,6593,4.00
1147,2023-03-19,台南市,後壁區,1,6589,4.57
1477,2023-03-18,台南市,後壁區,4,6588,4.57
1830,2023-03-17,台南市,後壁區,3,6584,5.29
2178,2023-03-16,台南市,後壁區,6,6581,5.71
2532,2023-03-15,台南市,後壁區,3,6575,6.14
2883,2023-03-14,台南市,後壁區,7,6572,8.29
3240,2023-03-13,台南市,後壁區,8,6565,8.86
3592,2023-03-12,台南市,後壁區,1,6557,10.00
3946,2023-03-11,台南市,後壁區,9,6556,10.43
4296,2023-03-10,台南市,後壁區,6,6547,10.43
4654,2023-03-09,台南市,後壁區,9,6541,10.29
5010,2023-03-08,台南市,後壁區,18,6532,10.29
5364,2023-03-07,台南市,後壁區,11,6514,9.00
5729,2023-03-06,台南市,後壁區,16,6503,9.57
6082,2023-03-05,台南市,後壁區,4,6487,8.71
6425,2023-03-04,台南市,後壁區,9,6483,8.71
6782,2023-03-03,台南市,後壁區,5,6474,9.86
7144,2023-03-02,台南市,後壁區,9,6469,11.14
7509,2023-03-01,台南市,後壁區,9,6460,12.29
7880,2023-02-28,台南市,後壁區,15,6451,13.00
8242,2023-02-27,台南市,後壁區,10,6436,12.71
8587,2023-02-26,台南市,後壁區,4,6426,13.86
8948,2023-02-25,台南市,後壁區,17,6422,14.71
9314,2023-02-24,台南市,後壁區,14,6405,13.86
9679,2023-02-23,台南市,後壁區,17,6391,13.57
10051,2023-02-22,台南市,後壁區,14,6374,11.86
10424,2023-02-21,台南市,後壁區,13,6360,11.57
10796,2023-02-20,台南市,後壁區,18,6347,13.29
11164,2023-02-19,台南市,後壁區,10,6329,12.71
11530,2023-02-18,台南市,後壁區,11,6319,12.00
11898,2023-02-17,台南市,後壁區,12,6308,13.57
12271,2023-02-16,台南市,後壁區,5,6296,13.14
12647,2023-02-15,台南市,後壁區,12,6291,14.86
13022,2023-02-14,台南市,後壁區,25,6279,15.29
