UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3288,2023-06-14,台南市,新化區,25-29,1402
3289,2023-03-21,台南市,新化區,45-49,1149
3290,2023-03-20,台南市,新化區,5-9,932
3291,2023-03-20,台南市,新化區,30-34,1418
3292,2023-03-20,台南市,新化區,70+,1494
3293,2023-03-19,台南市,新化區,20-24,1078
3294,2023-03-19,台南市,新化區,40-44,1536
3295,2023-03-19,台南市,新化區,65-69,812
3296,2023-03-18,台南市,新化區,35-39,1424
3297,2023-03-18,台南市,新化區,50-54,1018
3298,2023-03-18,台南市,新化區,60-64,1048
3299,2023-03-17,台南市,新化區,15-19,879
3300,2023-03-17,台南市,新化區,10-14,757
3301,2023-03-17,台南市,新化區,55-59,1093
3302,2023-03-16,台南市,新化區,4,151
3303,2023-03-15,台南市,新化區,2,143
3304,2023-03-10,台南市,新化區,3,157
3305,2023-03-08,台南市,新化區,1,144
3306,2023-02-27,台南市,新化區,0,116
