UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
991,2023-03-08,台南市,新化區,1,38,0.14
1356,2023-03-01,台南市,新化區,1,37,0.14
1931,2023-02-19,台南市,新化區,1,36,0.29
2301,2023-02-13,台南市,新化區,1,35,0.29
2700,2023-02-07,台南市,新化區,1,34,0.29
3012,2023-02-02,台南市,新化區,1,33,0.14
4107,2023-01-12,台南市,新化區,1,32,0.14
4559,2023-01-03,台南市,新化區,1,31,0.14
8240,2022-10-20,台南市,新化區,1,30,0.14
9406,2022-10-03,台南市,新化區,1,29,0.29
9777,2022-09-27,台南市,新化區,1,28,0.14
10273,2022-09-18,台南市,新化區,1,27,0.14
10811,2022-09-08,台南市,新化區,1,26,0.29
10973,2022-09-04,台南市,新化區,1,25,0.14
12329,2022-08-01,台南市,新化區,1,24,0.43
12382,2022-07-31,台南市,新化區,1,23,0.29
12652,2022-07-26,台南市,新化區,1,22,0.29
12761,2022-07-24,台南市,新化區,1,21,0.14
13178,2022-07-17,台南市,新化區,1,20,0.14
14509,2022-06-30,台南市,新化區,1,19,0.86
14614,2022-06-29,台南市,新化區,2,18,0.71
14807,2022-06-27,台南市,新化區,1,16,0.43
15006,2022-06-25,台南市,新化區,2,15,0.43
15549,2022-06-20,台南市,新化區,1,13,0.71
15769,2022-06-18,台南市,新化區,1,12,0.71
15909,2022-06-17,台南市,新化區,2,11,0.71
16291,2022-06-14,台南市,新化區,1,9,0.43
16417,2022-06-13,台南市,新化區,1,8,0.29
16666,2022-06-11,台南市,新化區,1,7,0.14
17644,2022-06-03,台南市,新化區,2,6,0.71
17754,2022-06-02,台南市,新化區,1,4,0.43
17875,2022-06-01,台南市,新化區,1,3,0.29
18130,2022-05-30,台南市,新化區,1,2,0.14
19013,2022-05-21,台南市,新化區,1,1,0.14
