UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
241,2023-06-14,台南市,新化區,1,16751,0.14
577,2023-03-21,台南市,新化區,1,16750,8.43
829,2023-03-20,台南市,新化區,5,16749,10.57
1141,2023-03-19,台南市,新化區,6,16744,11.71
1473,2023-03-18,台南市,新化區,7,16738,12.14
1824,2023-03-17,台南市,新化區,10,16731,14.00
2173,2023-03-16,台南市,新化區,15,16721,16.29
2527,2023-03-15,台南市,新化區,15,16706,16.43
2878,2023-03-14,台南市,新化區,16,16691,18.57
3235,2023-03-13,台南市,新化區,13,16675,19.57
3587,2023-03-12,台南市,新化區,9,16662,23.29
3940,2023-03-11,台南市,新化區,20,16653,23.86
4292,2023-03-10,台南市,新化區,26,16633,23.00
4648,2023-03-09,台南市,新化區,16,16607,22.29
5004,2023-03-08,台南市,新化區,30,16591,22.57
5358,2023-03-07,台南市,新化區,23,16561,21.86
5724,2023-03-06,台南市,新化區,39,16538,20.71
6078,2023-03-05,台南市,新化區,13,16499,18.29
6421,2023-03-04,台南市,新化區,14,16486,17.86
6776,2023-03-03,台南市,新化區,21,16472,18.14
7138,2023-03-02,台南市,新化區,18,16451,19.00
7503,2023-03-01,台南市,新化區,25,16433,20.43
7874,2023-02-28,台南市,新化區,15,16408,19.43
8236,2023-02-27,台南市,新化區,22,16393,21.14
8582,2023-02-26,台南市,新化區,10,16371,23.86
8942,2023-02-25,台南市,新化區,16,16361,23.86
9309,2023-02-24,台南市,新化區,27,16345,26.29
9674,2023-02-23,台南市,新化區,28,16318,25.29
10045,2023-02-22,台南市,新化區,18,16290,26.29
10418,2023-02-21,台南市,新化區,27,16272,27.29
10790,2023-02-20,台南市,新化區,41,16245,28.57
11160,2023-02-19,台南市,新化區,10,16204,29.00
11524,2023-02-18,台南市,新化區,33,16194,31.29
11892,2023-02-17,台南市,新化區,20,16161,31.86
12265,2023-02-16,台南市,新化區,35,16141,35.29
12641,2023-02-15,台南市,新化區,25,16106,36.14
13016,2023-02-14,台南市,新化區,36,16081,37.43
13387,2023-02-13,台南市,新化區,44,16045,38.00
13761,2023-02-12,台南市,新化區,26,16001,39.71
14123,2023-02-11,台南市,新化區,37,15975,38.57
14493,2023-02-10,台南市,新化區,44,15938,37.57
14866,2023-02-09,台南市,新化區,41,15894,36.00
15247,2023-02-08,台南市,新化區,34,15853,36.29
15625,2023-02-07,台南市,新化區,40,15819,40.29
16005,2023-02-06,台南市,新化區,56,15779,42.57
16380,2023-02-05,台南市,新化區,18,15723,49.00
16754,2023-02-04,台南市,新化區,30,15705,49.71
17133,2023-02-03,台南市,新化區,33,15675,52.29
17520,2023-02-02,台南市,新化區,43,15642,56.71
17900,2023-02-01,台南市,新化區,62,15599,57.43
18282,2023-01-31,台南市,新化區,56,15537,54.43
18667,2023-01-30,台南市,新化區,101,15481,51.00
19052,2023-01-29,台南市,新化區,23,15380,41.57
19430,2023-01-28,台南市,新化區,48,15357,41.86
19806,2023-01-27,台南市,新化區,64,15309,39.29
20185,2023-01-26,台南市,新化區,48,15245,36.29
20556,2023-01-25,台南市,新化區,41,15197,35.14
20926,2023-01-24,台南市,新化區,32,15156,34.57
21294,2023-01-23,台南市,新化區,35,15124,35.14
21666,2023-01-22,台南市,新化區,25,15089,34.29
22033,2023-01-21,台南市,新化區,30,15064,34.29
22403,2023-01-20,台南市,新化區,43,15034,36.00
22771,2023-01-19,台南市,新化區,40,14991,36.29
23142,2023-01-18,台南市,新化區,37,14951,35.71
23509,2023-01-17,台南市,新化區,36,14914,35.86
23877,2023-01-16,台南市,新化區,29,14878,36.43
24251,2023-01-15,台南市,新化區,25,14849,38.00
24618,2023-01-14,台南市,新化區,42,14824,38.00
24986,2023-01-13,台南市,新化區,45,14782,40.14
25358,2023-01-12,台南市,新化區,36,14737,41.14
25729,2023-01-11,台南市,新化區,38,14701,46.57
26107,2023-01-10,台南市,新化區,40,14663,49.00
26481,2023-01-09,台南市,新化區,40,14623,52.43
26850,2023-01-08,台南市,新化區,25,14583,54.14
27212,2023-01-07,台南市,新化區,57,14558,55.57
27586,2023-01-06,台南市,新化區,52,14501,55.00
27965,2023-01-05,台南市,新化區,74,14449,55.29
28345,2023-01-04,台南市,新化區,55,14375,52.29
28727,2023-01-03,台南市,新化區,64,14320,51.43
29106,2023-01-02,台南市,新化區,52,14256,49.14
29476,2023-01-01,台南市,新化區,35,14204,48.14
29836,2022-12-31,台南市,新化區,53,14169,46.14
30203,2022-12-30,台南市,新化區,54,14116,44.71
30577,2022-12-29,台南市,新化區,53,14062,41.00
30949,2022-12-28,台南市,新化區,49,14009,36.71
31322,2022-12-27,台南市,新化區,48,13960,33.43
31696,2022-12-26,台南市,新化區,45,13912,30.86
32059,2022-12-25,台南市,新化區,21,13867,27.71
32420,2022-12-24,台南市,新化區,43,13846,25.86
32778,2022-12-23,台南市,新化區,28,13803,22.86
33144,2022-12-22,台南市,新化區,23,13775,20.86
33510,2022-12-21,台南市,新化區,26,13752,20.14
33878,2022-12-20,台南市,新化區,30,13726,19.57
34244,2022-12-19,台南市,新化區,23,13696,19.29
34606,2022-12-18,台南市,新化區,8,13673,19.43
34959,2022-12-17,台南市,新化區,22,13665,21.14
35327,2022-12-16,台南市,新化區,14,13643,21.14
35688,2022-12-15,台南市,新化區,18,13629,22.86
36052,2022-12-14,台南市,新化區,22,13611,25.00
36418,2022-12-13,台南市,新化區,28,13589,26.57
36796,2022-12-12,台南市,新化區,24,13561,27.29
37155,2022-12-11,台南市,新化區,20,13537,29.00
37517,2022-12-10,台南市,新化區,22,13517,28.29
37882,2022-12-09,台南市,新化區,26,13495,29.14
38253,2022-12-08,台南市,新化區,33,13469,29.14
38627,2022-12-07,台南市,新化區,33,13436,28.43
38992,2022-12-06,台南市,新化區,33,13403,29.86
39369,2022-12-05,台南市,新化區,36,13370,31.00
39744,2022-12-04,台南市,新化區,15,13334,30.43
40110,2022-12-03,台南市,新化區,28,13319,31.86
40477,2022-12-02,台南市,新化區,26,13291,31.43
40846,2022-12-01,台南市,新化區,28,13265,31.29
41219,2022-11-30,台南市,新化區,43,13237,30.43
41594,2022-11-29,台南市,新化區,41,13194,28.00
41972,2022-11-28,台南市,新化區,32,13153,28.57
42345,2022-11-27,台南市,新化區,25,13121,30.29
42700,2022-11-26,台南市,新化區,25,13096,29.71
43065,2022-11-25,台南市,新化區,25,13071,29.86
43435,2022-11-24,台南市,新化區,22,13046,31.71
43803,2022-11-23,台南市,新化區,26,13024,33.29
44176,2022-11-22,台南市,新化區,45,12998,33.86
44555,2022-11-21,台南市,新化區,44,12953,33.57
44931,2022-11-20,台南市,新化區,21,12909,33.57
45298,2022-11-19,台南市,新化區,26,12888,33.71
45668,2022-11-18,台南市,新化區,38,12862,35.43
46041,2022-11-17,台南市,新化區,33,12824,33.86
46417,2022-11-16,台南市,新化區,30,12791,33.57
46799,2022-11-15,台南市,新化區,43,12761,37.29
47177,2022-11-14,台南市,新化區,44,12718,37.00
47554,2022-11-13,台南市,新化區,22,12674,41.00
47927,2022-11-12,台南市,新化區,38,12652,39.57
48305,2022-11-11,台南市,新化區,27,12614,39.86
48685,2022-11-10,台南市,新化區,31,12587,41.71
49068,2022-11-09,台南市,新化區,56,12556,44.71
49455,2022-11-08,台南市,新化區,41,12500,43.14
49840,2022-11-07,台南市,新化區,72,12459,43.43
50217,2022-11-06,台南市,新化區,12,12387,43.43
50587,2022-11-05,台南市,新化區,40,12375,46.00
50971,2022-11-04,台南市,新化區,40,12335,50.14
51354,2022-11-03,台南市,新化區,52,12295,52.71
51734,2022-11-02,台南市,新化區,45,12243,58.14
52121,2022-11-01,台南市,新化區,43,12198,60.86
52504,2022-10-31,台南市,新化區,72,12155,64.14
52885,2022-10-30,台南市,新化區,30,12083,67.86
53264,2022-10-29,台南市,新化區,69,12053,67.86
53648,2022-10-28,台南市,新化區,58,11984,68.57
54034,2022-10-27,台南市,新化區,90,11926,68.71
54419,2022-10-26,台南市,新化區,64,11836,66.57
54805,2022-10-25,台南市,新化區,66,11772,69.00
55196,2022-10-24,台南市,新化區,98,11706,70.71
55581,2022-10-23,台南市,新化區,30,11608,70.00
55962,2022-10-22,台南市,新化區,74,11578,72.71
56348,2022-10-21,台南市,新化區,59,11504,72.29
56734,2022-10-20,台南市,新化區,75,11445,73.43
57121,2022-10-19,台南市,新化區,81,11370,71.71
57509,2022-10-18,台南市,新化區,78,11289,70.71
57899,2022-10-17,台南市,新化區,93,11211,73.14
58287,2022-10-16,台南市,新化區,49,11118,70.29
58673,2022-10-15,台南市,新化區,71,11069,67.86
59059,2022-10-14,台南市,新化區,67,10998,66.29
59448,2022-10-13,台南市,新化區,63,10931,63.57
59839,2022-10-12,台南市,新化區,74,10868,61.71
60229,2022-10-11,台南市,新化區,95,10794,58.86
60619,2022-10-10,台南市,新化區,73,10699,51.86
61002,2022-10-09,台南市,新化區,32,10626,56.43
61391,2022-10-08,台南市,新化區,60,10594,55.71
61780,2022-10-07,台南市,新化區,48,10534,56.86
62167,2022-10-06,台南市,新化區,50,10486,58.86
62558,2022-10-05,台南市,新化區,54,10436,60.71
62945,2022-10-04,台南市,新化區,46,10382,59.86
63334,2022-10-03,台南市,新化區,105,10336,62.29
63724,2022-10-02,台南市,新化區,27,10231,58.86
64105,2022-10-01,台南市,新化區,68,10204,57.00
64491,2022-09-30,台南市,新化區,62,10136,55.57
64876,2022-09-29,台南市,新化區,63,10074,53.43
65265,2022-09-28,台南市,新化區,48,10011,51.43
65652,2022-09-27,台南市,新化區,63,9963,52.43
66038,2022-09-26,台南市,新化區,81,9900,51.86
66425,2022-09-25,台南市,新化區,14,9819,51.29
66809,2022-09-24,台南市,新化區,58,9805,52.86
67195,2022-09-23,台南市,新化區,47,9747,51.43
67582,2022-09-22,台南市,新化區,49,9700,50.57
67971,2022-09-21,台南市,新化區,55,9651,51.14
68360,2022-09-20,台南市,新化區,59,9596,50.86
68750,2022-09-19,台南市,新化區,77,9537,50.71
69140,2022-09-18,台南市,新化區,25,9460,48.14
69523,2022-09-17,台南市,新化區,48,9435,49.00
69910,2022-09-16,台南市,新化區,41,9387,44.14
70295,2022-09-15,台南市,新化區,53,9346,43.71
70682,2022-09-14,台南市,新化區,53,9293,39.57
71068,2022-09-13,台南市,新化區,58,9240,35.57
71457,2022-09-12,台南市,新化區,59,9182,33.43
71844,2022-09-11,台南市,新化區,31,9123,33.14
72226,2022-09-10,台南市,新化區,14,9092,31.71
72608,2022-09-09,台南市,新化區,38,9078,35.86
72992,2022-09-08,台南市,新化區,24,9040,37.00
73379,2022-09-07,台南市,新化區,25,9016,42.86
73763,2022-09-06,台南市,新化區,43,8991,46.14
74149,2022-09-05,台南市,新化區,57,8948,47.57
74533,2022-09-04,台南市,新化區,21,8891,47.29
74917,2022-09-03,台南市,新化區,43,8870,48.86
75305,2022-09-02,台南市,新化區,46,8827,51.00
75691,2022-09-01,台南市,新化區,65,8781,51.14
76080,2022-08-31,台南市,新化區,48,8716,48.29
76467,2022-08-30,台南市,新化區,53,8668,50.00
76855,2022-08-29,台南市,新化區,55,8615,47.43
77242,2022-08-28,台南市,新化區,32,8560,43.00
77627,2022-08-27,台南市,新化區,58,8528,41.29
78013,2022-08-26,台南市,新化區,47,8470,37.43
78397,2022-08-25,台南市,新化區,45,8423,33.14
78782,2022-08-24,台南市,新化區,60,8378,32.00
79169,2022-08-23,台南市,新化區,35,8318,29.00
79554,2022-08-22,台南市,新化區,24,8283,28.00
79938,2022-08-21,台南市,新化區,20,8259,28.86
80318,2022-08-20,台南市,新化區,31,8239,26.86
80702,2022-08-19,台南市,新化區,17,8208,27.14
81088,2022-08-18,台南市,新化區,37,8191,29.71
81477,2022-08-17,台南市,新化區,39,8154,27.86
81862,2022-08-16,台南市,新化區,28,8115,25.57
82249,2022-08-15,台南市,新化區,30,8087,26.43
82632,2022-08-14,台南市,新化區,6,8057,27.86
83009,2022-08-13,台南市,新化區,33,8051,30.00
83391,2022-08-12,台南市,新化區,35,8018,30.43
83775,2022-08-11,台南市,新化區,24,7983,29.71
84162,2022-08-10,台南市,新化區,23,7959,30.29
84545,2022-08-09,台南市,新化區,34,7936,31.43
