UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
49,2023-06-27,台南市,新市區,1,20004,0.14
78,2023-06-14,台南市,新市區,1,20003,0.14
468,2023-03-21,台南市,新市區,2,20002,14.29
606,2023-03-20,台南市,新市區,7,20000,17.29
890,2023-03-19,台南市,新市區,13,19993,21.14
1218,2023-03-18,台南市,新市區,22,19980,21.14
1558,2023-03-17,台南市,新市區,17,19958,19.86
1910,2023-03-16,台南市,新市區,19,19941,20.14
2263,2023-03-15,台南市,新市區,20,19922,21.14
2614,2023-03-14,台南市,新市區,23,19902,20.57
2971,2023-03-13,台南市,新市區,34,19879,20.57
3330,2023-03-12,台南市,新市區,13,19845,20.14
3675,2023-03-11,台南市,新市區,13,19832,20.71
4028,2023-03-10,台南市,新市區,19,19819,21.71
4383,2023-03-09,台南市,新市區,26,19800,23.43
4742,2023-03-08,台南市,新市區,16,19774,24.71
5096,2023-03-07,台南市,新市區,23,19758,28.14
5455,2023-03-06,台南市,新市區,31,19735,30.14
5820,2023-03-05,台南市,新市區,17,19704,29.29
6159,2023-03-04,台南市,新市區,20,19687,29.57
6511,2023-03-03,台南市,新市區,31,19667,30.43
6870,2023-03-02,台南市,新市區,35,19636,28.86
7234,2023-03-01,台南市,新市區,40,19601,27.86
7605,2023-02-28,台南市,新市區,37,19561,26.14
7968,2023-02-27,台南市,新市區,25,19524,26.57
8327,2023-02-26,台南市,新市區,19,19499,29.71
8672,2023-02-25,台南市,新市區,26,19480,31.00
9042,2023-02-24,台南市,新市區,20,19454,31.43
9403,2023-02-23,台南市,新市區,28,19434,33.71
9773,2023-02-22,台南市,新市區,28,19406,35.29
10148,2023-02-21,台南市,新市區,40,19378,36.86
10517,2023-02-20,台南市,新市區,47,19338,38.14
10897,2023-02-19,台南市,新市區,28,19291,40.14
11255,2023-02-18,台南市,新市區,29,19263,41.43
11622,2023-02-17,台南市,新市區,36,19234,43.57
11994,2023-02-16,台南市,新市區,39,19198,42.14
12369,2023-02-15,台南市,新市區,39,19159,43.57
12742,2023-02-14,台南市,新市區,49,19120,44.71
13114,2023-02-13,台南市,新市區,61,19071,46.14
13493,2023-02-12,台南市,新市區,37,19010,47.71
13850,2023-02-11,台南市,新市區,44,18973,45.71
14222,2023-02-10,台南市,新市區,26,18929,46.29
14596,2023-02-09,台南市,新市區,49,18903,47.57
14972,2023-02-08,台南市,新市區,47,18854,48.71
15351,2023-02-07,台南市,新市區,59,18807,50.86
15730,2023-02-06,台南市,新市區,72,18748,53.71
16112,2023-02-05,台南市,新市區,23,18676,59.43
16480,2023-02-04,台南市,新市區,48,18653,60.57
16859,2023-02-03,台南市,新市區,35,18605,63.00
17245,2023-02-02,台南市,新市區,57,18570,66.00
17628,2023-02-01,台南市,新市區,62,18513,65.29
18005,2023-01-31,台南市,新市區,79,18451,62.29
18390,2023-01-30,台南市,新市區,112,18372,57.14
18779,2023-01-29,台南市,新市區,31,18260,47.29
19155,2023-01-28,台南市,新市區,65,18229,46.43
19534,2023-01-27,台南市,新市區,56,18164,40.14
19912,2023-01-26,台南市,新市區,52,18108,37.00
20289,2023-01-25,台南市,新市區,41,18056,36.71
20654,2023-01-24,台南市,新市區,43,18015,37.29
21029,2023-01-23,台南市,新市區,43,17972,39.00
21396,2023-01-22,台南市,新市區,25,17929,42.14
21760,2023-01-21,台南市,新市區,21,17904,43.57
22132,2023-01-20,台南市,新市區,34,17883,48.14
22499,2023-01-19,台南市,新市區,50,17849,48.71
22870,2023-01-18,台南市,新市區,45,17799,48.29
23242,2023-01-17,台南市,新市區,55,17754,50.29
23606,2023-01-16,台南市,新市區,65,17699,50.57
23982,2023-01-15,台南市,新市區,35,17634,49.43
24349,2023-01-14,台南市,新市區,53,17599,48.86
24717,2023-01-13,台南市,新市區,38,17546,49.29
25085,2023-01-12,台南市,新市區,47,17508,49.57
25460,2023-01-11,台南市,新市區,59,17461,52.14
25836,2023-01-10,台南市,新市區,57,17402,53.71
26208,2023-01-09,台南市,新市區,57,17345,58.29
26587,2023-01-08,台南市,新市區,31,17288,59.00
26944,2023-01-07,台南市,新市區,56,17257,59.14
27315,2023-01-06,台南市,新市區,40,17201,59.71
27691,2023-01-05,台南市,新市區,65,17161,62.57
28071,2023-01-04,台南市,新市區,70,17096,62.00
28452,2023-01-03,台南市,新市區,89,17026,59.43
28834,2023-01-02,台南市,新市區,62,16937,55.00
29205,2023-01-01,台南市,新市區,32,16875,54.43
29567,2022-12-31,台南市,新市區,60,16843,52.57
29933,2022-12-30,台南市,新市區,60,16783,51.43
30305,2022-12-29,台南市,新市區,61,16723,47.57
30678,2022-12-28,台南市,新市區,52,16662,45.86
31048,2022-12-27,台南市,新市區,58,16610,46.71
31425,2022-12-26,台南市,新市區,58,16552,45.29
31797,2022-12-25,台南市,新市區,19,16494,41.43
32151,2022-12-24,台南市,新市區,52,16475,43.29
32511,2022-12-23,台南市,新市區,33,16423,41.14
32875,2022-12-22,台南市,新市區,49,16390,41.14
33242,2022-12-21,台南市,新市區,58,16341,40.71
33612,2022-12-20,台南市,新市區,48,16283,39.29
33975,2022-12-19,台南市,新市區,31,16235,39.00
34346,2022-12-18,台南市,新市區,32,16204,40.00
34694,2022-12-17,台南市,新市區,37,16172,39.29
35054,2022-12-16,台南市,新市區,33,16135,37.29
35419,2022-12-15,台南市,新市區,46,16102,36.86
35790,2022-12-14,台南市,新市區,48,16056,35.00
36149,2022-12-13,台南市,新市區,46,16008,34.14
36523,2022-12-12,台南市,新市區,38,15962,33.43
36895,2022-12-11,台南市,新市區,27,15924,33.00
37246,2022-12-10,台南市,新市區,23,15897,32.86
37615,2022-12-09,台南市,新市區,30,15874,33.29
37980,2022-12-08,台南市,新市區,33,15844,32.71
38353,2022-12-07,台南市,新市區,42,15811,32.29
38725,2022-12-06,台南市,新市區,41,15769,32.57
39096,2022-12-05,台南市,新市區,35,15728,35.43
39474,2022-12-04,台南市,新市區,26,15693,37.14
39840,2022-12-03,台南市,新市區,26,15667,37.86
40209,2022-12-02,台南市,新市區,26,15641,40.71
40579,2022-12-01,台南市,新市區,30,15615,42.14
40948,2022-11-30,台南市,新市區,44,15585,44.14
41319,2022-11-29,台南市,新市區,61,15541,45.29
41699,2022-11-28,台南市,新市區,47,15480,41.71
42077,2022-11-27,台南市,新市區,31,15433,44.43
42438,2022-11-26,台南市,新市區,46,15402,45.14
42794,2022-11-25,台南市,新市區,36,15356,45.57
43165,2022-11-24,台南市,新市區,44,15320,48.71
43535,2022-11-23,台南市,新市區,52,15276,50.57
43907,2022-11-22,台南市,新市區,36,15224,51.71
44280,2022-11-21,台南市,新市區,66,15188,53.43
44663,2022-11-20,台南市,新市區,36,15122,50.43
45026,2022-11-19,台南市,新市區,49,15086,51.71
45400,2022-11-18,台南市,新市區,58,15037,52.57
45772,2022-11-17,台南市,新市區,57,14979,51.29
46145,2022-11-16,台南市,新市區,60,14922,49.43
46525,2022-11-15,台南市,新市區,48,14862,49.29
46906,2022-11-14,台南市,新市區,45,14814,51.86
47287,2022-11-13,台南市,新市區,45,14769,56.00
47657,2022-11-12,台南市,新市區,55,14724,54.71
48034,2022-11-11,台南市,新市區,49,14669,57.14
48413,2022-11-10,台南市,新市區,44,14620,57.57
48796,2022-11-09,台南市,新市區,59,14576,60.57
49179,2022-11-08,台南市,新市區,66,14517,61.29
49564,2022-11-07,台南市,新市區,74,14451,65.00
49949,2022-11-06,台南市,新市區,36,14377,68.71
50318,2022-11-05,台南市,新市區,72,14341,70.14
50693,2022-11-04,台南市,新市區,52,14269,71.43
51079,2022-11-03,台南市,新市區,65,14217,74.57
51459,2022-11-02,台南市,新市區,64,14152,79.86
51845,2022-11-01,台南市,新市區,92,14088,82.71
52230,2022-10-31,台南市,新市區,100,13996,82.43
52613,2022-10-30,台南市,新市區,46,13896,84.00
52992,2022-10-29,台南市,新市區,81,13850,84.57
53371,2022-10-28,台南市,新市區,74,13769,88.00
53758,2022-10-27,台南市,新市區,102,13695,90.43
54145,2022-10-26,台南市,新市區,84,13593,89.43
54529,2022-10-25,台南市,新市區,90,13509,88.71
54918,2022-10-24,台南市,新市區,111,13419,93.71
55308,2022-10-23,台南市,新市區,50,13308,92.29
55685,2022-10-22,台南市,新市區,105,13258,93.71
56070,2022-10-21,台南市,新市區,91,13153,90.14
56460,2022-10-20,台南市,新市區,95,13062,91.71
56845,2022-10-19,台南市,新市區,79,12967,94.71
57232,2022-10-18,台南市,新市區,125,12888,99.14
57622,2022-10-17,台南市,新市區,101,12763,95.14
58012,2022-10-16,台南市,新市區,60,12662,95.57
58396,2022-10-15,台南市,新市區,80,12602,93.57
58781,2022-10-14,台南市,新市區,102,12522,93.71
59171,2022-10-13,台南市,新市區,116,12420,89.86
59562,2022-10-12,台南市,新市區,110,12304,87.57
59951,2022-10-11,台南市,新市區,97,12194,85.00
60343,2022-10-10,台南市,新市區,104,12097,84.14
60727,2022-10-09,台南市,新市區,46,11993,84.14
61114,2022-10-08,台南市,新市區,81,11947,83.43
61503,2022-10-07,台南市,新市區,75,11866,82.57
61890,2022-10-06,台南市,新市區,100,11791,84.71
62281,2022-10-05,台南市,新市區,92,11691,83.00
62668,2022-10-04,台南市,新市區,91,11599,80.57
63056,2022-10-03,台南市,新市區,104,11508,79.00
63447,2022-10-02,台南市,新市區,41,11404,76.43
63829,2022-10-01,台南市,新市區,75,11363,77.43
64215,2022-09-30,台南市,新市區,90,11288,76.57
64599,2022-09-29,台南市,新市區,88,11198,70.86
64987,2022-09-28,台南市,新市區,75,11110,68.43
65375,2022-09-27,台南市,新市區,80,11035,65.71
65762,2022-09-26,台南市,新市區,86,10955,61.86
66151,2022-09-25,台南市,新市區,48,10869,60.14
66534,2022-09-24,台南市,新市區,69,10821,60.86
66917,2022-09-23,台南市,新市區,50,10752,60.57
67306,2022-09-22,台南市,新市區,71,10702,62.71
67693,2022-09-21,台南市,新市區,56,10631,65.29
68082,2022-09-20,台南市,新市區,53,10575,69.29
68472,2022-09-19,台南市,新市區,74,10522,74.57
68863,2022-09-18,台南市,新市區,53,10448,76.71
69245,2022-09-17,台南市,新市區,67,10395,74.29
69633,2022-09-16,台南市,新市區,65,10328,71.00
70018,2022-09-15,台南市,新市區,89,10263,72.29
70405,2022-09-14,台南市,新市區,84,10174,67.71
70790,2022-09-13,台南市,新市區,90,10090,64.14
71179,2022-09-12,台南市,新市區,89,10000,59.00
71569,2022-09-11,台南市,新市區,36,9911,53.14
71951,2022-09-10,台南市,新市區,44,9875,51.71
72333,2022-09-09,台南市,新市區,74,9831,52.14
72715,2022-09-08,台南市,新市區,57,9757,50.86
73102,2022-09-07,台南市,新市區,59,9700,52.00
73486,2022-09-06,台南市,新市區,54,9641,50.14
73872,2022-09-05,台南市,新市區,48,9587,52.57
74259,2022-09-04,台南市,新市區,26,9539,50.00
74641,2022-09-03,台南市,新市區,47,9513,50.86
75028,2022-09-02,台南市,新市區,65,9466,51.43
75414,2022-09-01,台南市,新市區,65,9401,46.14
75803,2022-08-31,台南市,新市區,46,9336,43.00
76190,2022-08-30,台南市,新市區,71,9290,43.57
76578,2022-08-29,台南市,新市區,30,9219,38.29
76968,2022-08-28,台南市,新市區,32,9189,40.14
77349,2022-08-27,台南市,新市區,51,9157,38.14
77736,2022-08-26,台南市,新市區,28,9106,36.14
78121,2022-08-25,台南市,新市區,43,9078,36.86
78507,2022-08-24,台南市,新市區,50,9035,36.71
78894,2022-08-23,台南市,新市區,34,8985,34.29
79277,2022-08-22,台南市,新市區,43,8951,34.00
79667,2022-08-21,台南市,新市區,18,8908,35.29
80042,2022-08-20,台南市,新市區,37,8890,36.00
80427,2022-08-19,台南市,新市區,33,8853,34.57
80811,2022-08-18,台南市,新市區,42,8820,36.86
81200,2022-08-17,台南市,新市區,33,8778,37.71
81585,2022-08-16,台南市,新市區,32,8745,40.29
81972,2022-08-15,台南市,新市區,52,8713,42.43
82359,2022-08-14,台南市,新市區,23,8661,42.00
82736,2022-08-13,台南市,新市區,27,8638,43.43
83115,2022-08-12,台南市,新市區,49,8611,46.14
83501,2022-08-11,台南市,新市區,48,8562,43.86
83887,2022-08-10,台南市,新市區,51,8514,40.71
84273,2022-08-09,台南市,新市區,47,8463,39.00
84655,2022-08-08,台南市,新市區,49,8416,37.14
85040,2022-08-07,台南市,新市區,33,8367,36.57
85413,2022-08-06,台南市,新市區,46,8334,35.43
85792,2022-08-05,台南市,新市區,33,8288,32.43
86179,2022-08-04,台南市,新市區,26,8255,32.43
86564,2022-08-03,台南市,新市區,39,8229,33.86
86947,2022-08-02,台南市,新市區,34,8190,33.43
87332,2022-08-01,台南市,新市區,45,8156,35.29
87720,2022-07-31,台南市,新市區,25,8111,33.43
88096,2022-07-30,台南市,新市區,25,8086,32.43
88475,2022-07-29,台南市,新市區,33,8061,32.71
88859,2022-07-28,台南市,新市區,36,8028,32.43
89245,2022-07-27,台南市,新市區,36,7992,33.86
89636,2022-07-26,台南市,新市區,47,7956,37.14
90023,2022-07-25,台南市,新市區,32,7909,37.29
90407,2022-07-24,台南市,新市區,18,7877,37.71
90785,2022-07-23,台南市,新市區,27,7859,39.14
91169,2022-07-22,台南市,新市區,31,7832,39.86
91555,2022-07-21,台南市,新市區,46,7801,41.43
91939,2022-07-20,台南市,新市區,59,7755,40.71
92326,2022-07-19,台南市,新市區,48,7696,41.00
92714,2022-07-18,台南市,新市區,35,7648,41.29
93103,2022-07-17,台南市,新市區,28,7613,45.43
93481,2022-07-16,台南市,新市區,32,7585,47.14
93868,2022-07-15,台南市,新市區,42,7553,48.14
94255,2022-07-14,台南市,新市區,41,7511,50.43
94643,2022-07-13,台南市,新市區,61,7470,51.86
95032,2022-07-12,台南市,新市區,50,7409,49.43
95420,2022-07-11,台南市,新市區,64,7359,48.43
95808,2022-07-10,台南市,新市區,40,7295,50.86
96191,2022-07-09,台南市,新市區,39,7255,50.43
96578,2022-07-08,台南市,新市區,58,7216,54.71
96969,2022-07-07,台南市,新市區,51,7158,54.71
97360,2022-07-06,台南市,新市區,44,7107,59.14
97749,2022-07-05,台南市,新市區,43,7063,62.43
98138,2022-07-04,台南市,新市區,81,7020,70.71
98527,2022-07-03,台南市,新市區,37,6939,72.43
98912,2022-07-02,台南市,新市區,69,6902,71.29
99300,2022-07-01,台南市,新市區,58,6833,74.43
99692,2022-06-30,台南市,新市區,82,6775,79.14
100083,2022-06-29,台南市,新市區,67,6693,81.29
100473,2022-06-28,台南市,新市區,101,6626,85.86
100864,2022-06-27,台南市,新市區,93,6525,85.86
101253,2022-06-26,台南市,新市區,29,6432,93.00
101638,2022-06-25,台南市,新市區,91,6403,100.43
102028,2022-06-24,台南市,新市區,91,6312,105.00
102419,2022-06-23,台南市,新市區,97,6221,107.86
102811,2022-06-22,台南市,新市區,99,6124,116.29
103201,2022-06-21,台南市,新市區,101,6025,120.29
103592,2022-06-20,台南市,新市區,143,5924,129.00
103983,2022-06-19,台南市,新市區,81,5781,140.29
104373,2022-06-18,台南市,新市區,123,5700,139.14
104764,2022-06-17,台南市,新市區,111,5577,149.29
105155,2022-06-16,台南市,新市區,156,5466,147.57
105545,2022-06-15,台南市,新市區,127,5310,145.43
105935,2022-06-14,台南市,新市區,162,5183,147.43
