UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
999,2023-03-08,台南市,新營區,1,68,0.29
1311,2023-03-02,台南市,新營區,1,67,0.43
1415,2023-02-28,台南市,新營區,1,66,0.29
1470,2023-02-27,台南市,新營區,1,65,0.14
1997,2023-02-18,台南市,新營區,1,64,0.29
2243,2023-02-14,台南市,新營區,1,63,0.29
2499,2023-02-10,台南市,新營區,1,62,0.14
4264,2023-01-09,台南市,新營區,1,61,0.14
4776,2022-12-30,台南市,新營區,1,60,0.43
4813,2022-12-29,台南市,新營區,1,59,0.29
4944,2022-12-26,台南市,新營區,1,58,0.14
6103,2022-11-25,台南市,新營區,1,57,0.14
6540,2022-11-16,台南市,新營區,1,56,0.29
6879,2022-11-10,台南市,新營區,1,55,0.14
7537,2022-10-30,台南市,新營區,2,54,0.29
8097,2022-10-22,台南市,新營區,1,52,0.43
8244,2022-10-20,台南市,新營區,1,51,0.29
8525,2022-10-16,台南市,新營區,1,50,0.14
9263,2022-10-05,台南市,新營區,2,49,0.57
9481,2022-10-02,台南市,新營區,1,47,0.29
9596,2022-09-30,台南市,新營區,1,46,0.29
9950,2022-09-24,台南市,新營區,1,45,0.29
10232,2022-09-19,台南市,新營區,1,44,0.71
10335,2022-09-17,台南市,新營區,1,43,0.71
10400,2022-09-16,台南市,新營區,1,42,0.57
10455,2022-09-15,台南市,新營區,1,41,0.43
10509,2022-09-14,台南市,新營區,1,40,0.29
10660,2022-09-11,台南市,新營區,1,39,0.29
10893,2022-09-06,台南市,新營區,1,38,0.43
10980,2022-09-04,台南市,新營區,1,37,0.29
11137,2022-08-31,台南市,新營區,1,36,0.14
11609,2022-08-19,台南市,新營區,1,35,0.14
11897,2022-08-11,台南市,新營區,1,34,0.29
11934,2022-08-10,台南市,新營區,1,33,0.14
12276,2022-08-02,台南市,新營區,1,32,0.14
12659,2022-07-26,台南市,新營區,2,31,0.57
12714,2022-07-25,台南市,新營區,1,29,0.43
12933,2022-07-21,台南市,新營區,1,28,0.29
13063,2022-07-19,台南市,新營區,1,27,0.29
13459,2022-07-13,台南市,新營區,1,26,0.43
13615,2022-07-11,台南市,新營區,1,25,0.43
13895,2022-07-07,台南市,新營區,1,24,0.57
14064,2022-07-05,台南市,新營區,1,23,1.00
14168,2022-07-04,台南市,新營區,1,22,0.86
14434,2022-07-01,台南市,新營區,1,21,1.00
14527,2022-06-30,台南市,新營區,1,20,0.86
14625,2022-06-29,台南市,新營區,3,19,0.86
14926,2022-06-26,台南市,新營區,1,16,0.43
15021,2022-06-25,台南市,新營區,1,15,0.29
15222,2022-06-23,台南市,新營區,1,14,0.29
15929,2022-06-17,台南市,新營區,1,13,0.71
16045,2022-06-16,台南市,新營區,1,12,0.71
16176,2022-06-15,台南市,新營區,1,11,0.71
16434,2022-06-13,台南市,新營區,2,10,0.57
16799,2022-06-10,台南市,新營區,1,8,0.57
16916,2022-06-09,台南市,新營區,1,7,0.57
17402,2022-06-05,台南市,新營區,2,6,0.43
17659,2022-06-03,台南市,新營區,1,4,0.43
18360,2022-05-28,台南市,新營區,2,3,0.43
18464,2022-05-27,台南市,新營區,1,1,0.14
