UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
176,2023-06-14,台南市,東區,3,72014,0.43
270,2023-06-07,台南市,東區,1,72011,0.14
541,2023-03-21,台南市,東區,3,72010,52.14
735,2023-03-20,台南市,東區,21,72007,61.43
1031,2023-03-19,台南市,東區,47,71986,71.00
1361,2023-03-18,台南市,東區,66,71939,70.43
1700,2023-03-17,台南市,東區,83,71873,69.29
2054,2023-03-16,台南市,東區,65,71790,69.57
2407,2023-03-15,台南市,東區,80,71725,74.00
2756,2023-03-14,台南市,東區,68,71645,75.29
3114,2023-03-13,台南市,東區,88,71577,77.14
3471,2023-03-12,台南市,東區,43,71489,80.71
3820,2023-03-11,台南市,東區,58,71446,80.57
4171,2023-03-10,台南市,東區,85,71388,87.29
4526,2023-03-09,台南市,東區,96,71303,91.29
4885,2023-03-08,台南市,東區,89,71207,95.14
5239,2023-03-07,台南市,東區,81,71118,101.29
5600,2023-03-06,台南市,東區,113,71037,102.71
5961,2023-03-05,台南市,東區,42,70924,99.57
6300,2023-03-04,台南市,東區,105,70882,102.86
6654,2023-03-03,台南市,東區,113,70777,103.43
7014,2023-03-02,台南市,東區,123,70664,101.00
7377,2023-03-01,台南市,東區,132,70541,99.43
7749,2023-02-28,台南市,東區,91,70409,99.29
8113,2023-02-27,台南市,東區,91,70318,105.29
8470,2023-02-26,台南市,東區,65,70227,116.57
8815,2023-02-25,台南市,東區,109,70162,119.00
9186,2023-02-24,台南市,東區,96,70053,121.00
9547,2023-02-23,台南市,東區,112,69957,123.14
9917,2023-02-22,台南市,東區,131,69845,121.14
10292,2023-02-21,台南市,東區,133,69714,121.43
10662,2023-02-20,台南市,東區,170,69581,121.29
11039,2023-02-19,台南市,東區,82,69411,120.71
11400,2023-02-18,台南市,東區,123,69329,126.14
11766,2023-02-17,台南市,東區,111,69206,129.86
12139,2023-02-16,台南市,東區,98,69095,132.71
12513,2023-02-15,台南市,東區,133,68997,142.00
12887,2023-02-14,台南市,東區,132,68864,148.43
13259,2023-02-13,台南市,東區,166,68732,158.57
13637,2023-02-12,台南市,東區,120,68566,164.86
13994,2023-02-11,台南市,東區,149,68446,167.86
14367,2023-02-10,台南市,東區,131,68297,174.57
14740,2023-02-09,台南市,東區,163,68166,182.86
15117,2023-02-08,台南市,東區,178,68003,190.29
15496,2023-02-07,台南市,東區,203,67825,193.29
15875,2023-02-06,台南市,東區,210,67622,209.00
16255,2023-02-05,台南市,東區,141,67412,221.86
16625,2023-02-04,台南市,東區,196,67271,222.71
17004,2023-02-03,台南市,東區,189,67075,225.57
17390,2023-02-02,台南市,東區,215,66886,233.57
17773,2023-02-01,台南市,東區,199,66671,233.14
18150,2023-01-31,台南市,東區,313,66472,229.00
18535,2023-01-30,台南市,東區,300,66159,203.00
18922,2023-01-29,台南市,東區,147,65859,180.71
19300,2023-01-28,台南市,東區,216,65712,175.43
19678,2023-01-27,台南市,東區,245,65496,167.71
20057,2023-01-26,台南市,東區,212,65251,160.57
20433,2023-01-25,台南市,東區,170,65039,154.14
20799,2023-01-24,台南市,東區,131,64869,153.29
21171,2023-01-23,台南市,東區,144,64738,159.71
21540,2023-01-22,台南市,東區,110,64594,169.71
21904,2023-01-21,台南市,東區,162,64484,174.43
22277,2023-01-20,台南市,東區,195,64322,175.57
22643,2023-01-19,台南市,東區,167,64127,169.57
23015,2023-01-18,台南市,東區,164,63960,168.14
23385,2023-01-17,台南市,東區,176,63796,170.29
23751,2023-01-16,台南市,東區,214,63620,178.14
24127,2023-01-15,台南市,東區,143,63406,176.71
24492,2023-01-14,台南市,東區,170,63263,177.71
24861,2023-01-13,台南市,東區,153,63093,187.14
25230,2023-01-12,台南市,東區,157,62940,192.43
25604,2023-01-11,台南市,東區,179,62783,198.43
25979,2023-01-10,台南市,東區,231,62604,215.14
26352,2023-01-09,台南市,東區,204,62373,225.86
26729,2023-01-08,台南市,東區,150,62169,231.43
27088,2023-01-07,台南市,東區,236,62019,231.57
27459,2023-01-06,台南市,東區,190,61783,228.71
27836,2023-01-05,台南市,東區,199,61593,234.86
28215,2023-01-04,台南市,東區,296,61394,240.57
28596,2023-01-03,台南市,東區,306,61098,232.71
28977,2023-01-02,台南市,東區,243,60792,223.86
29349,2023-01-01,台南市,東區,151,60549,224.14
29711,2022-12-31,台南市,東區,216,60398,218.86
30076,2022-12-30,台南市,東區,233,60182,214.86
30450,2022-12-29,台南市,東區,239,59949,205.14
30822,2022-12-28,台南市,東區,241,59710,198.43
31192,2022-12-27,台南市,東區,244,59469,192.00
31569,2022-12-26,台南市,東區,245,59225,178.57
31939,2022-12-25,台南市,東區,114,58980,164.86
32295,2022-12-24,台南市,東區,188,58866,157.14
32654,2022-12-23,台南市,東區,165,58678,147.29
33019,2022-12-22,台南市,東區,192,58513,145.57
33385,2022-12-21,台南市,東區,196,58321,137.29
33756,2022-12-20,台南市,東區,150,58125,127.86
34120,2022-12-19,台南市,東區,149,57975,127.86
34489,2022-12-18,台南市,東區,60,57826,131.00
34838,2022-12-17,台南市,東區,119,57766,136.43
35199,2022-12-16,台南市,東區,153,57647,137.29
35563,2022-12-15,台南市,東區,134,57494,132.43
35933,2022-12-14,台南市,東區,130,57360,129.43
36291,2022-12-13,台南市,東區,150,57230,126.29
36668,2022-12-12,台南市,東區,171,57080,120.43
37036,2022-12-11,台南市,東區,98,56909,115.86
37390,2022-12-10,台南市,東區,125,56811,114.14
37759,2022-12-09,台南市,東區,119,56686,112.14
38124,2022-12-08,台南市,東區,113,56567,108.71
38497,2022-12-07,台南市,東區,108,56454,108.86
