UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3839,2023-03-19,台南市,柳營區,65-69,372
3840,2023-03-19,台南市,柳營區,70+,809
3841,2023-03-19,台南市,柳營區,35-39,687
3842,2023-03-19,台南市,柳營區,1,66
3843,2023-03-19,台南市,柳營區,10-14,299
3844,2023-03-19,台南市,柳營區,2,82
3845,2023-03-18,台南市,柳營區,40-44,703
3846,2023-03-18,台南市,柳營區,20-24,513
3847,2023-03-18,台南市,柳營區,50-54,443
3848,2023-03-18,台南市,柳營區,55-59,435
3849,2023-03-17,台南市,柳營區,25-29,660
3850,2023-03-17,台南市,柳營區,30-34,669
3851,2023-03-17,台南市,柳營區,60-64,441
3852,2023-03-15,台南市,柳營區,0,49
3853,2023-03-12,台南市,柳營區,5-9,362
3854,2023-03-10,台南市,柳營區,45-49,462
3855,2023-03-09,台南市,柳營區,15-19,365
3856,2023-03-08,台南市,柳營區,3,65
3857,2023-03-06,台南市,柳營區,4,67
