UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1146,2023-03-19,台南市,柳營區,7,7549,7.14
1476,2023-03-18,台南市,柳營區,8,7542,7.43
1829,2023-03-17,台南市,柳營區,8,7534,6.71
2177,2023-03-16,台南市,柳營區,4,7526,6.43
2531,2023-03-15,台南市,柳營區,11,7522,7.29
2882,2023-03-14,台南市,柳營區,6,7511,6.71
3239,2023-03-13,台南市,柳營區,6,7505,7.29
3591,2023-03-12,台南市,柳營區,9,7499,8.86
3945,2023-03-11,台南市,柳營區,3,7490,8.43
4295,2023-03-10,台南市,柳營區,6,7487,10.14
4653,2023-03-09,台南市,柳營區,10,7481,11.00
5009,2023-03-08,台南市,柳營區,7,7471,11.86
5363,2023-03-07,台南市,柳營區,10,7464,12.29
5728,2023-03-06,台南市,柳營區,17,7454,12.86
6081,2023-03-05,台南市,柳營區,6,7437,11.43
6424,2023-03-04,台南市,柳營區,15,7431,12.14
6781,2023-03-03,台南市,柳營區,12,7416,12.00
7143,2023-03-02,台南市,柳營區,16,7404,12.57
7508,2023-03-01,台南市,柳營區,10,7388,13.00
7879,2023-02-28,台南市,柳營區,14,7378,14.00
8241,2023-02-27,台南市,柳營區,7,7364,14.57
8586,2023-02-26,台南市,柳營區,11,7357,16.14
8947,2023-02-25,台南市,柳營區,14,7346,16.29
9313,2023-02-24,台南市,柳營區,16,7332,16.43
9678,2023-02-23,台南市,柳營區,19,7316,16.00
10050,2023-02-22,台南市,柳營區,17,7297,15.57
10423,2023-02-21,台南市,柳營區,18,7280,15.00
10795,2023-02-20,台南市,柳營區,18,7262,15.71
11163,2023-02-19,台南市,柳營區,12,7244,15.14
11529,2023-02-18,台南市,柳營區,15,7232,14.86
11897,2023-02-17,台南市,柳營區,13,7217,15.71
12270,2023-02-16,台南市,柳營區,16,7204,17.14
12646,2023-02-15,台南市,柳營區,13,7188,17.00
13021,2023-02-14,台南市,柳營區,23,7175,17.29
13392,2023-02-13,台南市,柳營區,14,7152,20.29
13764,2023-02-12,台南市,柳營區,10,7138,22.00
14128,2023-02-11,台南市,柳營區,21,7128,22.43
14498,2023-02-10,台南市,柳營區,23,7107,21.00
14870,2023-02-09,台南市,柳營區,15,7084,19.14
15252,2023-02-08,台南市,柳營區,15,7069,19.57
15630,2023-02-07,台南市,柳營區,44,7054,21.14
16010,2023-02-06,台南市,柳營區,26,7010,17.43
16384,2023-02-05,台南市,柳營區,13,6984,17.43
16759,2023-02-04,台南市,柳營區,11,6971,19.86
17138,2023-02-03,台南市,柳營區,10,6960,20.86
17525,2023-02-02,台南市,柳營區,18,6950,21.43
17905,2023-02-01,台南市,柳營區,26,6932,21.00
18287,2023-01-31,台南市,柳營區,18,6906,19.29
18672,2023-01-30,台南市,柳營區,26,6888,19.29
19057,2023-01-29,台南市,柳營區,30,6862,18.00
19435,2023-01-28,台南市,柳營區,18,6832,14.86
19811,2023-01-27,台南市,柳營區,14,6814,13.43
20190,2023-01-26,台南市,柳營區,15,6800,14.29
20561,2023-01-25,台南市,柳營區,14,6785,14.00
20930,2023-01-24,台南市,柳營區,18,6771,13.14
21298,2023-01-23,台南市,柳營區,17,6753,12.29
21669,2023-01-22,台南市,柳營區,8,6736,12.43
22037,2023-01-21,台南市,柳營區,8,6728,13.00
22407,2023-01-20,台南市,柳營區,20,6720,13.43
22775,2023-01-19,台南市,柳營區,13,6700,12.14
23147,2023-01-18,台南市,柳營區,8,6687,12.71
23513,2023-01-17,台南市,柳營區,12,6679,13.86
23882,2023-01-16,台南市,柳營區,18,6667,13.43
24256,2023-01-15,台南市,柳營區,12,6649,13.43
24622,2023-01-14,台南市,柳營區,11,6637,13.29
24991,2023-01-13,台南市,柳營區,11,6626,13.86
25363,2023-01-12,台南市,柳營區,17,6615,14.14
25734,2023-01-11,台南市,柳營區,16,6598,14.00
26112,2023-01-10,台南市,柳營區,9,6582,14.71
26486,2023-01-09,台南市,柳營區,18,6573,17.00
26855,2023-01-08,台南市,柳營區,11,6555,16.29
27217,2023-01-07,台南市,柳營區,15,6544,17.14
27591,2023-01-06,台南市,柳營區,13,6529,17.43
27970,2023-01-05,台南市,柳營區,16,6516,17.57
28350,2023-01-04,台南市,柳營區,21,6500,17.14
28732,2023-01-03,台南市,柳營區,25,6479,15.43
29110,2023-01-02,台南市,柳營區,13,6454,14.14
29481,2023-01-01,台南市,柳營區,17,6441,15.29
29841,2022-12-31,台南市,柳營區,17,6424,14.14
30208,2022-12-30,台南市,柳營區,14,6407,12.43
30581,2022-12-29,台南市,柳營區,13,6393,11.00
30954,2022-12-28,台南市,柳營區,9,6380,11.29
31327,2022-12-27,台南市,柳營區,16,6371,11.71
31701,2022-12-26,台南市,柳營區,21,6355,10.43
32062,2022-12-25,台南市,柳營區,9,6334,9.86
32424,2022-12-24,台南市,柳營區,5,6325,9.57
32783,2022-12-23,台南市,柳營區,4,6320,9.86
33149,2022-12-22,台南市,柳營區,15,6316,11.57
33515,2022-12-21,台南市,柳營區,12,6301,9.86
33883,2022-12-20,台南市,柳營區,7,6289,9.71
34249,2022-12-19,台南市,柳營區,17,6282,11.43
34608,2022-12-18,台南市,柳營區,7,6265,10.14
34964,2022-12-17,台南市,柳營區,7,6258,9.71
35331,2022-12-16,台南市,柳營區,16,6251,10.43
35692,2022-12-15,台南市,柳營區,3,6235,8.57
36057,2022-12-14,台南市,柳營區,11,6232,9.57
36423,2022-12-13,台南市,柳營區,19,6221,10.29
36801,2022-12-12,台南市,柳營區,8,6202,10.29
37158,2022-12-11,台南市,柳營區,4,6194,11.00
37521,2022-12-10,台南市,柳營區,12,6190,11.14
37887,2022-12-09,台南市,柳營區,3,6178,11.14
38258,2022-12-08,台南市,柳營區,10,6175,12.29
38632,2022-12-07,台南市,柳營區,16,6165,11.57
38997,2022-12-06,台南市,柳營區,19,6149,11.29
39373,2022-12-05,台南市,柳營區,13,6130,9.57
