UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3820,2023-03-19,台南市,楠西區,70+,269
3821,2023-03-18,台南市,楠西區,65-69,108
3822,2023-03-17,台南市,楠西區,20-24,126
3823,2023-03-17,台南市,楠西區,50-54,118
3824,2023-03-16,台南市,楠西區,35-39,136
3825,2023-03-13,台南市,楠西區,40-44,115
3826,2023-03-11,台南市,楠西區,60-64,122
3827,2023-03-11,台南市,楠西區,25-29,99
3828,2023-03-09,台南市,楠西區,15-19,123
3829,2023-03-08,台南市,楠西區,30-34,98
3830,2023-03-06,台南市,楠西區,55-59,123
3831,2023-03-03,台南市,楠西區,5-9,99
3832,2023-03-01,台南市,楠西區,45-49,104
3833,2023-02-27,台南市,楠西區,0,8
3834,2023-02-15,台南市,楠西區,10-14,93
3835,2023-02-07,台南市,楠西區,2,18
3836,2023-02-05,台南市,楠西區,3,13
3837,2023-02-04,台南市,楠西區,4,16
3838,2023-01-23,台南市,楠西區,1,10
