UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1187,2023-03-19,台南市,楠西區,1,1798,1.71
1526,2023-03-18,台南市,楠西區,1,1797,1.57
1876,2023-03-17,台南市,楠西區,2,1796,1.71
2226,2023-03-16,台南市,楠西區,1,1794,1.43
2935,2023-03-14,台南市,楠西區,2,1793,1.71
3292,2023-03-13,台南市,楠西區,5,1791,1.57
3995,2023-03-11,台南市,楠西區,2,1786,1.00
4702,2023-03-09,台南市,楠西區,1,1784,1.86
5059,2023-03-08,台南市,楠西區,2,1783,2.00
5417,2023-03-07,台南市,楠西區,1,1781,2.29
5783,2023-03-06,台南市,楠西區,1,1780,2.43
6478,2023-03-04,台南市,楠西區,3,1779,2.86
6834,2023-03-03,台南市,楠西區,5,1776,2.57
7196,2023-03-02,台南市,楠西區,2,1771,2.00
7566,2023-03-01,台南市,楠西區,4,1769,1.86
7931,2023-02-28,台南市,楠西區,2,1765,1.86
8290,2023-02-27,台南市,楠西區,4,1763,1.57
9006,2023-02-25,台南市,楠西區,1,1759,2.00
9366,2023-02-24,台南市,楠西區,1,1758,2.14
9734,2023-02-23,台南市,楠西區,1,1757,2.29
10108,2023-02-22,台南市,楠西區,4,1756,2.43
10854,2023-02-20,台南市,楠西區,6,1752,2.29
11215,2023-02-19,台南市,楠西區,1,1746,1.43
11584,2023-02-18,台南市,楠西區,2,1745,1.57
11956,2023-02-17,台南市,楠西區,2,1743,1.57
12330,2023-02-16,台南市,楠西區,2,1741,1.29
12703,2023-02-15,台南市,楠西區,2,1739,1.86
13077,2023-02-14,台南市,楠西區,1,1737,1.71
13816,2023-02-12,台南市,楠西區,2,1736,2.86
14188,2023-02-11,台南市,楠西區,2,1734,2.71
14930,2023-02-09,台南市,楠西區,6,1732,4.43
15309,2023-02-08,台南市,楠西區,1,1726,4.57
15690,2023-02-07,台南市,楠西區,3,1725,4.86
16070,2023-02-06,台南市,楠西區,6,1722,5.86
16441,2023-02-05,台南市,楠西區,1,1716,6.86
16818,2023-02-04,台南市,楠西區,7,1715,7.43
17201,2023-02-03,台南市,楠西區,7,1708,7.29
17585,2023-02-02,台南市,楠西區,7,1701,7.43
17965,2023-02-01,台南市,楠西區,3,1694,7.57
18347,2023-01-31,台南市,楠西區,10,1691,7.71
18735,2023-01-30,台南市,楠西區,13,1681,7.00
19116,2023-01-29,台南市,楠西區,5,1668,6.14
19495,2023-01-28,台南市,楠西區,6,1663,5.71
19870,2023-01-27,台南市,楠西區,8,1657,5.57
20248,2023-01-26,台南市,楠西區,8,1649,5.43
20620,2023-01-25,台南市,楠西區,4,1641,4.86
20988,2023-01-24,台南市,楠西區,5,1637,5.86
21358,2023-01-23,台南市,楠西區,7,1632,5.29
21722,2023-01-22,台南市,楠西區,2,1625,5.00
22095,2023-01-21,台南市,楠西區,5,1623,4.71
22461,2023-01-20,台南市,楠西區,7,1618,4.29
22830,2023-01-19,台南市,楠西區,4,1611,3.43
23203,2023-01-18,台南市,楠西區,11,1607,3.57
23568,2023-01-17,台南市,楠西區,1,1596,2.86
23942,2023-01-16,台南市,楠西區,5,1595,3.00
24679,2023-01-14,台南市,楠西區,2,1590,3.43
25045,2023-01-13,台南市,楠西區,1,1588,3.43
25422,2023-01-12,台南市,楠西區,5,1587,3.71
25794,2023-01-11,台南市,楠西區,6,1582,4.57
26168,2023-01-10,台南市,楠西區,2,1576,4.43
26545,2023-01-09,台南市,楠西區,8,1574,4.57
27277,2023-01-07,台南市,楠西區,2,1566,4.43
27648,2023-01-06,台南市,楠西區,3,1564,4.57
28029,2023-01-05,台南市,楠西區,11,1561,4.57
28410,2023-01-04,台南市,楠西區,5,1550,3.71
28791,2023-01-03,台南市,楠西區,3,1545,3.14
29166,2023-01-02,台南市,楠西區,4,1542,3.43
29530,2023-01-01,台南市,楠西區,3,1538,3.29
29897,2022-12-31,台南市,楠西區,3,1535,3.00
30267,2022-12-30,台南市,楠西區,3,1532,2.57
30638,2022-12-29,台南市,楠西區,5,1529,2.57
31011,2022-12-28,台南市,楠西區,1,1524,2.29
31386,2022-12-27,台南市,楠西區,5,1523,2.29
31759,2022-12-26,台南市,楠西區,3,1518,2.00
32115,2022-12-25,台南市,楠西區,1,1515,1.71
32836,2022-12-23,台南市,楠西區,3,1514,2.29
33205,2022-12-22,台南市,楠西區,3,1511,1.86
33575,2022-12-21,台南市,楠西區,1,1508,1.57
33938,2022-12-20,台南市,楠西區,3,1507,2.00
34307,2022-12-19,台南市,楠西區,1,1504,2.14
34659,2022-12-18,台南市,楠西區,3,1503,2.86
35021,2022-12-17,台南市,楠西區,2,1500,2.43
35750,2022-12-15,台南市,楠西區,1,1498,2.43
36111,2022-12-14,台南市,楠西區,4,1497,2.29
36483,2022-12-13,台南市,楠西區,4,1493,2.43
36859,2022-12-12,台南市,楠西區,6,1489,2.00
37579,2022-12-10,台南市,楠西區,2,1483,1.71
38689,2022-12-07,台南市,楠西區,5,1481,2.29
39055,2022-12-06,台南市,楠西區,1,1476,2.00
39434,2022-12-05,台南市,楠西區,2,1475,2.43
39802,2022-12-04,台南市,楠西區,2,1473,2.29
40172,2022-12-03,台南市,楠西區,1,1471,2.29
40542,2022-12-02,台南市,楠西區,2,1470,2.29
40909,2022-12-01,台南市,楠西區,3,1468,2.29
41283,2022-11-30,台南市,楠西區,3,1465,2.14
41658,2022-11-29,台南市,楠西區,4,1462,2.29
42037,2022-11-28,台南市,楠西區,1,1458,2.29
42403,2022-11-27,台南市,楠西區,2,1457,2.43
42756,2022-11-26,台南市,楠西區,1,1455,2.29
43128,2022-11-25,台南市,楠西區,2,1454,3.00
43497,2022-11-24,台南市,楠西區,2,1452,3.14
43867,2022-11-23,台南市,楠西區,4,1450,3.14
44240,2022-11-22,台南市,楠西區,4,1446,3.00
44620,2022-11-21,台南市,楠西區,2,1442,3.29
44990,2022-11-20,台南市,楠西區,1,1440,3.71
45360,2022-11-19,台南市,楠西區,6,1439,4.43
45730,2022-11-18,台南市,楠西區,3,1433,4.00
46103,2022-11-17,台南市,楠西區,2,1430,4.29
46483,2022-11-16,台南市,楠西區,3,1428,5.00
46864,2022-11-15,台南市,楠西區,6,1425,5.71
47243,2022-11-14,台南市,楠西區,5,1419,6.43
47617,2022-11-13,台南市,楠西區,6,1414,9.29
47990,2022-11-12,台南市,楠西區,3,1408,9.29
48372,2022-11-11,台南市,楠西區,5,1405,9.57
48752,2022-11-10,台南市,楠西區,7,1400,9.29
49136,2022-11-09,台南市,楠西區,8,1393,8.43
49521,2022-11-08,台南市,楠西區,11,1385,8.00
49906,2022-11-07,台南市,楠西區,25,1374,7.29
50277,2022-11-06,台南市,楠西區,6,1349,4.29
50650,2022-11-05,台南市,楠西區,5,1343,4.43
51035,2022-11-04,台南市,楠西區,3,1338,4.57
51419,2022-11-03,台南市,楠西區,1,1335,5.86
51800,2022-11-02,台南市,楠西區,5,1334,7.00
52189,2022-11-01,台南市,楠西區,6,1329,7.57
52570,2022-10-31,台南市,楠西區,4,1323,7.43
52951,2022-10-30,台南市,楠西區,7,1319,8.71
53331,2022-10-29,台南市,楠西區,6,1312,8.14
53715,2022-10-28,台南市,楠西區,12,1306,8.57
54101,2022-10-27,台南市,楠西區,9,1294,9.29
54485,2022-10-26,台南市,楠西區,9,1285,8.57
54873,2022-10-25,台南市,楠西區,5,1276,7.71
55263,2022-10-24,台南市,楠西區,13,1271,7.71
55644,2022-10-23,台南市,楠西區,3,1258,6.43
56028,2022-10-22,台南市,楠西區,9,1255,6.71
56416,2022-10-21,台南市,楠西區,17,1246,6.43
56802,2022-10-20,台南市,楠西區,4,1229,4.71
57189,2022-10-19,台南市,楠西區,3,1225,5.57
57577,2022-10-18,台南市,楠西區,5,1222,6.00
57967,2022-10-17,台南市,楠西區,4,1217,6.43
58353,2022-10-16,台南市,楠西區,5,1213,8.57
58740,2022-10-15,台南市,楠西區,7,1208,9.00
59127,2022-10-14,台南市,楠西區,5,1201,9.29
59516,2022-10-13,台南市,楠西區,10,1196,9.43
59906,2022-10-12,台南市,楠西區,6,1186,9.57
60297,2022-10-11,台南市,楠西區,8,1180,9.29
60686,2022-10-10,台南市,楠西區,19,1172,9.29
61068,2022-10-09,台南市,楠西區,8,1153,9.14
61457,2022-10-08,台南市,楠西區,9,1145,8.71
61847,2022-10-07,台南市,楠西區,6,1136,8.14
62235,2022-10-06,台南市,楠西區,11,1130,8.43
62625,2022-10-05,台南市,楠西區,4,1119,9.00
63011,2022-10-04,台南市,楠西區,8,1115,9.00
63401,2022-10-03,台南市,楠西區,18,1107,8.43
63788,2022-10-02,台南市,楠西區,5,1089,7.29
64172,2022-10-01,台南市,楠西區,5,1084,7.14
64558,2022-09-30,台南市,楠西區,8,1079,7.29
64943,2022-09-29,台南市,楠西區,15,1071,6.86
65332,2022-09-28,台南市,楠西區,4,1056,6.00
