UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
551,2023-03-18,台南市,歸仁區,1,36,0.14
1193,2023-03-04,台南市,歸仁區,1,35,0.14
2488,2023-02-10,台南市,歸仁區,1,34,0.14
3804,2023-01-18,台南市,歸仁區,1,33,0.14
4807,2022-12-29,台南市,歸仁區,1,32,0.14
6391,2022-11-19,台南市,歸仁區,1,31,0.29
6684,2022-11-13,台南市,歸仁區,1,30,0.14
7730,2022-10-27,台南市,歸仁區,1,29,0.14
9771,2022-09-27,台南市,歸仁區,1,28,0.14
10550,2022-09-13,台南市,歸仁區,1,27,0.14
12011,2022-08-08,台南市,歸仁區,1,26,0.43
12055,2022-08-07,台南市,歸仁區,1,25,0.29
12098,2022-08-06,台南市,歸仁區,1,24,0.14
12533,2022-07-28,台南市,歸仁區,1,23,0.14
12983,2022-07-20,台南市,歸仁區,1,22,0.29
13171,2022-07-17,台南市,歸仁區,1,21,0.29
13525,2022-07-12,台南市,歸仁區,1,20,0.29
13962,2022-07-06,台南市,歸仁區,1,19,0.29
14410,2022-07-01,台南市,歸仁區,1,18,0.57
14699,2022-06-28,台南市,歸仁區,2,17,0.43
14995,2022-06-25,台南市,歸仁區,1,15,0.43
15424,2022-06-21,台南市,歸仁區,1,14,0.43
15537,2022-06-20,台南市,歸仁區,1,13,0.29
16019,2022-06-16,台南市,歸仁區,1,12,0.71
16402,2022-06-13,台南市,歸仁區,2,11,0.71
16773,2022-06-10,台南市,歸仁區,2,9,0.57
16884,2022-06-09,台南市,歸仁區,1,7,0.29
17499,2022-06-04,台南市,歸仁區,1,6,0.29
18241,2022-05-29,台南市,歸仁區,1,5,0.43
18341,2022-05-28,台南市,歸仁區,2,4,0.29
19217,2022-05-18,台南市,歸仁區,1,2,0.29
19348,2022-05-16,台南市,歸仁區,1,1,0.14
