UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
565,2023-03-21,台南市,歸仁區,1,28377,20.14
799,2023-03-20,台南市,歸仁區,13,28376,24.86
1101,2023-03-19,台南市,歸仁區,24,28363,27.00
1434,2023-03-18,台南市,歸仁區,25,28339,25.43
1780,2023-03-17,台南市,歸仁區,20,28314,26.71
2132,2023-03-16,台南市,歸仁區,22,28294,30.14
2485,2023-03-15,台南市,歸仁區,36,28272,30.00
2835,2023-03-14,台南市,歸仁區,34,28236,29.71
3193,2023-03-13,台南市,歸仁區,28,28202,32.29
3547,2023-03-12,台南市,歸仁區,13,28174,35.14
3897,2023-03-11,台南市,歸仁區,34,28161,38.00
4247,2023-03-10,台南市,歸仁區,44,28127,38.43
4604,2023-03-09,台南市,歸仁區,21,28083,39.43
4960,2023-03-08,台南市,歸仁區,34,28062,44.14
5317,2023-03-07,台南市,歸仁區,52,28028,48.29
5679,2023-03-06,台南市,歸仁區,48,27976,47.14
6038,2023-03-05,台南市,歸仁區,33,27928,47.00
6379,2023-03-04,台南市,歸仁區,37,27895,47.29
6733,2023-03-03,台南市,歸仁區,51,27858,49.86
7094,2023-03-02,台南市,歸仁區,54,27807,48.14
7456,2023-03-01,台南市,歸仁區,63,27753,48.86
7828,2023-02-28,台南市,歸仁區,44,27690,47.86
8194,2023-02-27,台南市,歸仁區,47,27646,49.86
8545,2023-02-26,台南市,歸仁區,35,27599,56.14
8897,2023-02-25,台南市,歸仁區,55,27564,57.29
9266,2023-02-24,台南市,歸仁區,39,27509,59.71
9629,2023-02-23,台南市,歸仁區,59,27470,61.86
9999,2023-02-22,台南市,歸仁區,56,27411,59.57
10372,2023-02-21,台南市,歸仁區,58,27355,63.57
10744,2023-02-20,台南市,歸仁區,91,27297,64.14
11118,2023-02-19,台南市,歸仁區,43,27206,59.71
11480,2023-02-18,台南市,歸仁區,72,27163,60.14
11845,2023-02-17,台南市,歸仁區,54,27091,56.00
12221,2023-02-16,台南市,歸仁區,43,27037,56.71
12594,2023-02-15,台南市,歸仁區,84,26994,58.86
12969,2023-02-14,台南市,歸仁區,62,26910,57.00
13340,2023-02-13,台南市,歸仁區,60,26848,58.29
13717,2023-02-12,台南市,歸仁區,46,26788,63.00
14077,2023-02-11,台南市,歸仁區,43,26742,63.43
14446,2023-02-10,台南市,歸仁區,59,26699,67.00
14820,2023-02-09,台南市,歸仁區,58,26640,68.57
15200,2023-02-08,台南市,歸仁區,71,26582,70.43
15577,2023-02-07,台南市,歸仁區,71,26511,69.43
15957,2023-02-06,台南市,歸仁區,93,26440,72.43
16333,2023-02-05,台南市,歸仁區,49,26347,73.71
16707,2023-02-04,台南市,歸仁區,68,26298,77.57
17086,2023-02-03,台南市,歸仁區,70,26230,77.71
17472,2023-02-02,台南市,歸仁區,71,26160,80.71
17853,2023-02-01,台南市,歸仁區,64,26089,78.71
18233,2023-01-31,台南市,歸仁區,92,26025,76.71
18618,2023-01-30,台南市,歸仁區,102,25933,70.14
19004,2023-01-29,台南市,歸仁區,76,25831,62.43
19382,2023-01-28,台南市,歸仁區,69,25755,55.43
19758,2023-01-27,台南市,歸仁區,91,25686,56.00
20139,2023-01-26,台南市,歸仁區,57,25595,50.43
20510,2023-01-25,台南市,歸仁區,50,25538,49.00
20879,2023-01-24,台南市,歸仁區,46,25488,46.86
21251,2023-01-23,台南市,歸仁區,48,25442,48.43
21620,2023-01-22,台南市,歸仁區,27,25394,49.86
21987,2023-01-21,台南市,歸仁區,73,25367,50.71
22360,2023-01-20,台南市,歸仁區,52,25294,48.00
22725,2023-01-19,台南市,歸仁區,47,25242,53.57
23098,2023-01-18,台南市,歸仁區,35,25195,53.14
23464,2023-01-17,台南市,歸仁區,57,25160,57.29
23831,2023-01-16,台南市,歸仁區,58,25103,58.86
24209,2023-01-15,台南市,歸仁區,33,25045,59.86
24572,2023-01-14,台南市,歸仁區,54,25012,61.00
24939,2023-01-13,台南市,歸仁區,91,24958,62.86
25310,2023-01-12,台南市,歸仁區,44,24867,61.00
25684,2023-01-11,台南市,歸仁區,64,24823,68.14
26060,2023-01-10,台南市,歸仁區,68,24759,71.00
26433,2023-01-09,台南市,歸仁區,65,24691,76.43
26807,2023-01-08,台南市,歸仁區,41,24626,76.57
27168,2023-01-07,台南市,歸仁區,67,24585,79.00
27541,2023-01-06,台南市,歸仁區,78,24518,77.43
27918,2023-01-05,台南市,歸仁區,94,24440,78.14
28296,2023-01-04,台南市,歸仁區,84,24346,75.43
28678,2023-01-03,台南市,歸仁區,106,24262,74.71
29058,2023-01-02,台南市,歸仁區,66,24156,73.00
29430,2023-01-01,台南市,歸仁區,58,24090,75.00
29791,2022-12-31,台南市,歸仁區,56,24032,73.14
30158,2022-12-30,台南市,歸仁區,83,23976,71.29
30532,2022-12-29,台南市,歸仁區,75,23893,68.00
30904,2022-12-28,台南市,歸仁區,79,23818,67.14
31273,2022-12-27,台南市,歸仁區,94,23739,65.29
31648,2022-12-26,台南市,歸仁區,80,23645,57.00
32017,2022-12-25,台南市,歸仁區,45,23565,52.71
32375,2022-12-24,台南市,歸仁區,43,23520,49.86
32734,2022-12-23,台南市,歸仁區,60,23477,48.29
33101,2022-12-22,台南市,歸仁區,69,23417,47.43
33466,2022-12-21,台南市,歸仁區,66,23348,44.14
33833,2022-12-20,台南市,歸仁區,36,23282,40.86
34199,2022-12-19,台南市,歸仁區,50,23246,42.71
34567,2022-12-18,台南市,歸仁區,25,23196,43.43
34917,2022-12-17,台南市,歸仁區,32,23171,43.86
35279,2022-12-16,台南市,歸仁區,54,23139,44.86
35642,2022-12-15,台南市,歸仁區,46,23085,41.71
36012,2022-12-14,台南市,歸仁區,43,23039,39.57
36372,2022-12-13,台南市,歸仁區,49,22996,38.57
36750,2022-12-12,台南市,歸仁區,55,22947,35.57
37113,2022-12-11,台南市,歸仁區,28,22892,33.00
37472,2022-12-10,台南市,歸仁區,39,22864,32.14
37839,2022-12-09,台南市,歸仁區,32,22825,31.86
38205,2022-12-08,台南市,歸仁區,31,22793,32.86
38579,2022-12-07,台南市,歸仁區,36,22762,33.71
38946,2022-12-06,台南市,歸仁區,28,22726,34.71
39322,2022-12-05,台南市,歸仁區,37,22698,37.86
39699,2022-12-04,台南市,歸仁區,22,22661,38.43
40065,2022-12-03,台南市,歸仁區,37,22639,39.14
40434,2022-12-02,台南市,歸仁區,39,22602,39.14
40800,2022-12-01,台南市,歸仁區,37,22563,40.86
41173,2022-11-30,台南市,歸仁區,43,22526,42.00
41546,2022-11-29,台南市,歸仁區,50,22483,43.29
41925,2022-11-28,台南市,歸仁區,41,22433,44.86
42302,2022-11-27,台南市,歸仁區,27,22392,50.29
42658,2022-11-26,台南市,歸仁區,37,22365,51.29
43020,2022-11-25,台南市,歸仁區,51,22328,55.29
43389,2022-11-24,台南市,歸仁區,45,22277,57.43
43758,2022-11-23,台南市,歸仁區,52,22232,62.86
44131,2022-11-22,台南市,歸仁區,61,22180,64.86
44508,2022-11-21,台南市,歸仁區,79,22119,65.43
44887,2022-11-20,台南市,歸仁區,34,22040,61.57
45254,2022-11-19,台南市,歸仁區,65,22006,67.71
45625,2022-11-18,台南市,歸仁區,66,21941,65.57
45998,2022-11-17,台南市,歸仁區,83,21875,66.86
46372,2022-11-16,台南市,歸仁區,66,21792,64.43
46753,2022-11-15,台南市,歸仁區,65,21726,68.71
47131,2022-11-14,台南市,歸仁區,52,21661,69.57
47510,2022-11-13,台南市,歸仁區,77,21609,76.71
47882,2022-11-12,台南市,歸仁區,50,21532,74.43
48260,2022-11-11,台南市,歸仁區,75,21482,79.71
48637,2022-11-10,台南市,歸仁區,66,21407,81.71
49021,2022-11-09,台南市,歸仁區,96,21341,84.43
49408,2022-11-08,台南市,歸仁區,71,21245,85.57
49793,2022-11-07,台南市,歸仁區,102,21174,91.43
50172,2022-11-06,台南市,歸仁區,61,21072,95.43
50541,2022-11-05,台南市,歸仁區,87,21011,96.71
50922,2022-11-04,台南市,歸仁區,89,20924,99.00
51307,2022-11-03,台南市,歸仁區,85,20835,98.43
51686,2022-11-02,台南市,歸仁區,104,20750,106.00
52074,2022-11-01,台南市,歸仁區,112,20646,111.14
52456,2022-10-31,台南市,歸仁區,130,20534,108.86
52840,2022-10-30,台南市,歸仁區,70,20404,109.43
53216,2022-10-29,台南市,歸仁區,103,20334,109.00
53600,2022-10-28,台南市,歸仁區,85,20231,106.43
53987,2022-10-27,台南市,歸仁區,138,20146,112.86
54370,2022-10-26,台南市,歸仁區,140,20008,109.86
54756,2022-10-25,台南市,歸仁區,96,19868,109.00
55147,2022-10-24,台南市,歸仁區,134,19772,114.43
55534,2022-10-23,台南市,歸仁區,67,19638,115.14
55913,2022-10-22,台南市,歸仁區,85,19571,120.14
56299,2022-10-21,台南市,歸仁區,130,19486,121.14
56688,2022-10-20,台南市,歸仁區,117,19356,121.00
57073,2022-10-19,台南市,歸仁區,134,19239,125.00
57460,2022-10-18,台南市,歸仁區,134,19105,126.71
57850,2022-10-17,台南市,歸仁區,139,18971,128.71
58239,2022-10-16,台南市,歸仁區,102,18832,125.86
58624,2022-10-15,台南市,歸仁區,92,18730,125.14
59010,2022-10-14,台南市,歸仁區,129,18638,124.00
59399,2022-10-13,台南市,歸仁區,145,18509,122.57
59790,2022-10-12,台南市,歸仁區,146,18364,118.00
60180,2022-10-11,台南市,歸仁區,148,18218,115.00
60570,2022-10-10,台南市,歸仁區,119,18070,115.00
60954,2022-10-09,台南市,歸仁區,97,17951,117.29
61342,2022-10-08,台南市,歸仁區,84,17854,112.71
61731,2022-10-07,台南市,歸仁區,119,17770,119.71
62118,2022-10-06,台南市,歸仁區,113,17651,118.14
62509,2022-10-05,台南市,歸仁區,125,17538,118.57
62897,2022-10-04,台南市,歸仁區,148,17413,117.71
63285,2022-10-03,台南市,歸仁區,135,17265,112.29
63676,2022-10-02,台南市,歸仁區,65,17130,111.43
64056,2022-10-01,台南市,歸仁區,133,17065,111.86
64442,2022-09-30,台南市,歸仁區,108,16932,109.71
64828,2022-09-29,台南市,歸仁區,116,16824,108.43
65216,2022-09-28,台南市,歸仁區,119,16708,107.71
65603,2022-09-27,台南市,歸仁區,110,16589,103.14
65990,2022-09-26,台南市,歸仁區,129,16479,103.57
66377,2022-09-25,台南市,歸仁區,68,16350,101.57
66761,2022-09-24,台南市,歸仁區,118,16282,102.57
67146,2022-09-23,台南市,歸仁區,99,16164,94.43
67534,2022-09-22,台南市,歸仁區,111,16065,91.14
67922,2022-09-21,台南市,歸仁區,87,15954,87.71
68311,2022-09-20,台南市,歸仁區,113,15867,85.43
68701,2022-09-19,台南市,歸仁區,115,15754,81.57
69091,2022-09-18,台南市,歸仁區,75,15639,79.57
69474,2022-09-17,台南市,歸仁區,61,15564,78.29
69861,2022-09-16,台南市,歸仁區,76,15503,79.29
70246,2022-09-15,台南市,歸仁區,87,15427,77.43
70633,2022-09-14,台南市,歸仁區,71,15340,75.43
71019,2022-09-13,台南市,歸仁區,86,15269,76.57
71408,2022-09-12,台南市,歸仁區,101,15183,77.57
71796,2022-09-11,台南市,歸仁區,66,15082,70.71
72178,2022-09-10,台南市,歸仁區,68,15016,69.57
72561,2022-09-09,台南市,歸仁區,63,14948,68.86
72943,2022-09-08,台南市,歸仁區,73,14885,66.71
73330,2022-09-07,台南市,歸仁區,79,14812,64.00
73714,2022-09-06,台南市,歸仁區,93,14733,63.00
74100,2022-09-05,台南市,歸仁區,53,14640,58.43
74485,2022-09-04,台南市,歸仁區,58,14587,61.00
74868,2022-09-03,台南市,歸仁區,63,14529,58.71
75256,2022-09-02,台南市,歸仁區,48,14466,58.14
75642,2022-09-01,台南市,歸仁區,54,14418,57.86
76031,2022-08-31,台南市,歸仁區,72,14364,58.00
76418,2022-08-30,台南市,歸仁區,61,14292,52.57
76806,2022-08-29,台南市,歸仁區,71,14231,50.57
77193,2022-08-28,台南市,歸仁區,42,14160,47.71
77578,2022-08-27,台南市,歸仁區,59,14118,48.71
77964,2022-08-26,台南市,歸仁區,46,14059,46.43
78348,2022-08-25,台南市,歸仁區,55,14013,47.00
78733,2022-08-24,台南市,歸仁區,34,13958,44.71
79121,2022-08-23,台南市,歸仁區,47,13924,45.29
79505,2022-08-22,台南市,歸仁區,51,13877,47.00
79891,2022-08-21,台南市,歸仁區,49,13826,46.71
80270,2022-08-20,台南市,歸仁區,43,13777,44.29
80653,2022-08-19,台南市,歸仁區,50,13734,43.86
81039,2022-08-18,台南市,歸仁區,39,13684,44.00
81428,2022-08-17,台南市,歸仁區,38,13645,46.57
81813,2022-08-16,台南市,歸仁區,59,13607,47.00
82200,2022-08-15,台南市,歸仁區,49,13548,45.14
82584,2022-08-14,台南市,歸仁區,32,13499,45.43
82961,2022-08-13,台南市,歸仁區,40,13467,46.57
83342,2022-08-12,台南市,歸仁區,51,13427,45.86
83727,2022-08-11,台南市,歸仁區,57,13376,43.43
84114,2022-08-10,台南市,歸仁區,41,13319,43.43
84499,2022-08-09,台南市,歸仁區,46,13278,47.00
84882,2022-08-08,台南市,歸仁區,51,13232,51.29
85263,2022-08-07,台南市,歸仁區,40,13181,54.57
85637,2022-08-06,台南市,歸仁區,35,13141,54.43
86020,2022-08-05,台南市,歸仁區,34,13106,58.00
86406,2022-08-04,台南市,歸仁區,57,13072,63.00
86791,2022-08-03,台南市,歸仁區,66,13015,65.71
87173,2022-08-02,台南市,歸仁區,76,12949,69.43
87560,2022-08-01,台南市,歸仁區,74,12873,68.86
87945,2022-07-31,台南市,歸仁區,39,12799,66.86
88322,2022-07-30,台南市,歸仁區,60,12760,72.00
88701,2022-07-29,台南市,歸仁區,69,12700,72.43
89087,2022-07-28,台南市,歸仁區,76,12631,71.57
89474,2022-07-27,台南市,歸仁區,92,12555,70.43
89864,2022-07-26,台南市,歸仁區,72,12463,68.14
90251,2022-07-25,台南市,歸仁區,60,12391,68.29
90632,2022-07-24,台南市,歸仁區,75,12331,69.71
91012,2022-07-23,台南市,歸仁區,63,12256,67.00
91397,2022-07-22,台南市,歸仁區,63,12193,68.57
91783,2022-07-21,台南市,歸仁區,68,12130,67.71
92166,2022-07-20,台南市,歸仁區,76,12062,66.29
92554,2022-07-19,台南市,歸仁區,73,11986,68.43
92943,2022-07-18,台南市,歸仁區,70,11913,69.43
93329,2022-07-17,台南市,歸仁區,56,11843,76.00
93708,2022-07-16,台南市,歸仁區,74,11787,74.71
94096,2022-07-15,台南市,歸仁區,57,11713,78.71
94483,2022-07-14,台南市,歸仁區,58,11656,82.57
94872,2022-07-13,台南市,歸仁區,91,11598,92.14
95260,2022-07-12,台南市,歸仁區,80,11507,98.00
95648,2022-07-11,台南市,歸仁區,116,11427,103.57
96035,2022-07-10,台南市,歸仁區,47,11311,104.14
96420,2022-07-09,台南市,歸仁區,102,11264,108.00
96807,2022-07-08,台南市,歸仁區,84,11162,108.71
97198,2022-07-07,台南市,歸仁區,125,11078,113.29
97589,2022-07-06,台南市,歸仁區,132,10953,116.86
97977,2022-07-05,台南市,歸仁區,119,10821,118.57
98367,2022-07-04,台南市,歸仁區,120,10702,124.29
98756,2022-07-03,台南市,歸仁區,74,10582,131.71
99139,2022-07-02,台南市,歸仁區,107,10508,136.57
