UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
133,2023-04-07,台南市,永康區,1,131,0.14
346,2023-03-24,台南市,永康區,1,130,0.29
470,2023-03-20,台南市,永康區,1,129,0.43
592,2023-03-17,台南市,永康區,1,128,0.71
634,2023-03-16,台南市,永康區,1,127,0.57
758,2023-03-13,台南市,永康區,1,126,0.57
799,2023-03-12,台南市,永康區,2,125,0.43
1036,2023-03-07,台南市,永康區,1,123,0.29
1304,2023-03-02,台南市,永康區,1,122,0.86
1399,2023-02-28,台南市,永康區,2,121,0.86
1458,2023-02-27,台南市,永康區,1,119,0.71
1526,2023-02-26,台南市,永康區,1,118,0.57
1640,2023-02-24,台南市,永康區,1,117,0.43
1694,2023-02-23,台南市,永康區,1,116,0.29
1820,2023-02-21,台南市,永康區,1,115,0.14
2296,2023-02-13,台南市,永康區,1,114,0.29
2422,2023-02-11,台南市,永康區,1,113,0.29
2760,2023-02-06,台南市,永康區,1,112,0.14
3250,2023-01-29,台南市,永康區,1,111,0.29
3463,2023-01-25,台南市,永康區,1,110,0.29
3704,2023-01-20,台南市,永康區,1,109,0.14
4064,2023-01-13,台南市,永康區,1,108,0.43
4100,2023-01-12,台南市,永康區,1,107,0.29
4351,2023-01-07,台南市,永康區,1,106,0.29
4663,2023-01-01,台南市,永康區,1,105,0.14
5227,2022-12-18,台南市,永康區,1,104,0.29
5261,2022-12-17,台南市,永康區,1,103,0.14
6193,2022-11-23,台南市,永康區,2,102,0.29
6573,2022-11-15,台南市,永康區,1,100,0.29
6929,2022-11-09,台南市,永康區,1,99,0.43
7045,2022-11-07,台南市,永康區,1,98,0.29
7160,2022-11-05,台南市,永康區,1,97,0.14
7583,2022-10-29,台南市,永康區,1,96,0.86
7728,2022-10-27,台南市,永康區,1,95,0.86
7873,2022-10-25,台南市,永康區,1,94,1.00
7938,2022-10-24,台南市,永康區,1,93,0.86
8009,2022-10-23,台南市,永康區,2,92,0.71
8086,2022-10-22,台南市,永康區,1,90,0.43
8232,2022-10-20,台南市,永康區,2,89,0.43
8578,2022-10-15,台南市,永康區,1,87,0.29
9001,2022-10-09,台南市,永康區,1,86,0.43
9182,2022-10-06,台南市,永康區,1,85,0.29
9333,2022-10-04,台南市,永康區,1,84,0.29
9652,2022-09-29,台南市,永康區,1,83,0.57
9830,2022-09-26,台南市,永康區,2,82,0.43
9941,2022-09-24,台南市,永康區,1,80,0.29
10268,2022-09-18,台南市,永康區,1,79,0.29
10500,2022-09-14,台南市,永康區,1,78,0.29
10806,2022-09-08,台南市,永康區,1,77,0.29
10928,2022-09-05,台南市,永康區,1,76,0.14
11449,2022-08-23,台南市,永康區,1,75,0.29
11566,2022-08-20,台南市,永康區,1,74,0.14
11857,2022-08-12,台南市,永康區,1,73,0.29
11926,2022-08-10,台南市,永康區,1,72,0.14
12532,2022-07-28,台南市,永康區,1,71,0.43
12586,2022-07-27,台南市,永康區,1,70,0.29
12871,2022-07-22,台南市,永康區,1,69,0.14
13444,2022-07-13,台南市,永康區,1,68,0.57
13598,2022-07-11,台南市,永康區,1,67,0.86
13665,2022-07-10,台南市,永康區,1,66,0.86
13875,2022-07-07,台南市,永康區,1,65,0.86
13961,2022-07-06,台南市,永康區,1,64,1.00
14043,2022-07-05,台南市,永康區,2,63,1.14
14136,2022-07-04,台南市,永康區,1,61,1.14
14237,2022-07-03,台南市,永康區,1,60,1.57
14498,2022-06-30,台南市,永康區,2,59,1.71
14606,2022-06-29,台南市,永康區,2,57,1.57
14697,2022-06-28,台南市,永康區,2,55,1.29
14793,2022-06-27,台南市,永康區,4,53,1.29
14897,2022-06-26,台南市,永康區,2,49,1.00
15188,2022-06-23,台南市,永康區,1,47,1.29
15421,2022-06-21,台南市,永康區,2,46,1.43
15535,2022-06-20,台南市,永康區,2,44,1.29
15638,2022-06-19,台南市,永康區,1,42,1.14
15756,2022-06-18,台南市,永康區,2,41,1.14
15889,2022-06-17,台南市,永康區,1,39,1.14
16141,2022-06-15,台南市,永康區,2,38,1.43
16277,2022-06-14,台南市,永康區,1,36,1.29
16400,2022-06-13,台南市,永康區,1,35,1.29
16522,2022-06-12,台南市,永康區,1,34,1.29
16646,2022-06-11,台南市,永康區,2,33,1.57
16770,2022-06-10,台南市,永康區,1,31,1.43
16881,2022-06-09,台南市,永康區,2,30,1.43
17007,2022-06-08,台南市,永康區,1,28,1.29
17136,2022-06-07,台南市,永康區,1,27,1.29
17270,2022-06-06,台南市,永康區,1,26,1.29
17383,2022-06-05,台南市,永康區,3,25,1.43
17497,2022-06-04,台南市,永康區,1,22,1.14
17627,2022-06-03,台南市,永康區,1,21,1.14
17739,2022-06-02,台南市,永康區,1,20,1.29
17857,2022-06-01,台南市,永康區,1,19,1.43
17989,2022-05-31,台南市,永康區,1,18,1.43
18114,2022-05-30,台南市,永康區,2,17,1.57
18237,2022-05-29,台南市,永康區,1,15,1.43
18339,2022-05-28,台南市,永康區,1,14,1.29
18440,2022-05-27,台南市,永康區,2,13,1.29
18538,2022-05-26,台南市,永康區,2,11,1.00
18637,2022-05-25,台南市,永康區,1,9,1.00
18727,2022-05-24,台南市,永康區,2,8,1.00
18820,2022-05-23,台南市,永康區,1,6,0.71
19002,2022-05-21,台南市,永康區,1,5,0.71
19148,2022-05-19,台南市,永康區,2,4,0.57
19216,2022-05-18,台南市,永康區,1,2,0.29
19409,2022-05-15,台南市,永康區,1,1,0.14
