UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3630,2023-03-20,台南市,玉井區,15-19,215
3631,2023-03-19,台南市,玉井區,30-34,214
3632,2023-03-19,台南市,玉井區,25-29,255
3633,2023-03-17,台南市,玉井區,5-9,178
3634,2023-03-13,台南市,玉井區,20-24,221
3635,2023-03-13,台南市,玉井區,70+,478
3636,2023-03-13,台南市,玉井區,60-64,259
3637,2023-03-13,台南市,玉井區,55-59,214
3638,2023-03-11,台南市,玉井區,50-54,202
3639,2023-03-11,台南市,玉井區,35-39,221
3640,2023-03-11,台南市,玉井區,45-49,214
3641,2023-03-11,台南市,玉井區,0,28
3642,2023-03-10,台南市,玉井區,2,32
3643,2023-03-09,台南市,玉井區,65-69,211
3644,2023-03-08,台南市,玉井區,10-14,180
3645,2023-02-27,台南市,玉井區,40-44,240
3646,2023-02-24,台南市,玉井區,4,30
3647,2023-02-03,台南市,玉井區,1,21
3648,2022-12-18,台南市,玉井區,3,33
