UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3611,2023-03-20,台南市,白河區,45-49,385
3612,2023-03-20,台南市,白河區,30-34,433
3613,2023-03-20,台南市,白河區,40-44,507
3614,2023-03-19,台南市,白河區,65-69,426
3615,2023-03-19,台南市,白河區,25-29,414
3616,2023-03-18,台南市,白河區,15-19,378
3617,2023-03-18,台南市,白河區,55-59,414
3618,2023-03-18,台南市,白河區,60-64,418
3619,2023-03-18,台南市,白河區,70+,1078
3620,2023-03-17,台南市,白河區,5-9,347
3621,2023-03-16,台南市,白河區,10-14,307
3622,2023-03-15,台南市,白河區,35-39,490
3623,2023-03-14,台南市,白河區,1,71
3624,2023-03-13,台南市,白河區,20-24,430
3625,2023-03-10,台南市,白河區,50-54,361
3626,2023-03-06,台南市,白河區,0,44
3627,2023-02-24,台南市,白河區,3,64
3628,2023-02-20,台南市,白河區,2,62
3629,2023-01-23,台南市,白河區,4,63
