UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1238,2023-03-03,台南市,白河區,1,40,0.14
1750,2023-02-22,台南市,白河區,1,39,0.29
2086,2023-02-16,台南市,白河區,1,38,0.29
2285,2023-02-13,台南市,白河區,1,37,0.14
2812,2023-02-05,台南市,白河區,1,36,0.29
3176,2023-01-30,台南市,白河區,1,35,0.14
5032,2022-12-23,台南市,白河區,1,34,0.14
5376,2022-12-14,台南市,白河區,1,33,0.29
5507,2022-12-10,台南市,白河區,1,32,0.14
5864,2022-12-01,台南市,白河區,1,31,0.29
6047,2022-11-26,台南市,白河區,1,30,0.29
6275,2022-11-21,台南市,白河區,1,29,0.14
6852,2022-11-10,台南市,白河區,1,28,0.29
6978,2022-11-08,台南市,白河區,1,27,0.14
7385,2022-11-01,台南市,白河區,2,26,0.43
7645,2022-10-28,台南市,白河區,1,24,0.14
8136,2022-10-21,台南市,白河區,1,23,0.43
8350,2022-10-18,台南市,白河區,1,22,0.29
8428,2022-10-17,台南市,白河區,1,21,0.14
9877,2022-09-25,台南市,白河區,1,20,0.43
10116,2022-09-21,台南市,白河區,1,19,0.29
10213,2022-09-19,台南市,白河區,1,18,0.14
11014,2022-09-03,台南市,白河區,1,17,0.29
11091,2022-09-01,台南市,白河區,1,16,0.14
11595,2022-08-19,台南市,白河區,1,15,0.29
11730,2022-08-15,台南市,白河區,1,14,0.14
12803,2022-07-23,台南市,白河區,1,13,0.29
12971,2022-07-20,台南市,白河區,1,12,0.14
13716,2022-07-09,台南市,白河區,1,11,0.14
14773,2022-06-27,台南市,白河區,1,10,0.29
15286,2022-06-22,台南市,白河區,1,9,0.29
15859,2022-06-17,台南市,白河區,1,8,0.43
16113,2022-06-15,台南市,白河區,1,7,0.29
16245,2022-06-14,台南市,白河區,1,6,0.29
16982,2022-06-08,台南市,白河區,1,5,0.14
17830,2022-06-01,台南市,白河區,1,4,0.14
19334,2022-05-16,台南市,白河區,1,3,0.29
19539,2022-05-12,台南市,白河區,1,2,0.14
19992,2021-07-31,台南市,白河區,1,1,0.14
