UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
746,2023-03-20,台南市,白河區,3,6692,6.14
1045,2023-03-19,台南市,白河區,2,6689,7.57
1373,2023-03-18,台南市,白河區,8,6687,7.71
1714,2023-03-17,台南市,白河區,9,6679,7.43
2067,2023-03-16,台南市,白河區,6,6670,7.14
2421,2023-03-15,台南市,白河區,12,6664,6.57
2770,2023-03-14,台南市,白河區,3,6652,6.14
3129,2023-03-13,台南市,白河區,13,6649,6.29
3483,2023-03-12,台南市,白河區,3,6636,5.57
3833,2023-03-11,台南市,白河區,6,6633,6.00
4183,2023-03-10,台南市,白河區,7,6627,6.43
4540,2023-03-09,台南市,白河區,2,6620,7.00
4897,2023-03-08,台南市,白河區,9,6618,8.14
5252,2023-03-07,台南市,白河區,4,6609,8.43
5614,2023-03-06,台南市,白河區,8,6605,9.14
5975,2023-03-05,台南市,白河區,6,6597,9.14
6314,2023-03-04,台南市,白河區,9,6591,9.29
6668,2023-03-03,台南市,白河區,11,6582,8.86
7028,2023-03-02,台南市,白河區,10,6571,8.71
7392,2023-03-01,台南市,白河區,11,6561,9.14
7764,2023-02-28,台南市,白河區,9,6550,8.43
8128,2023-02-27,台南市,白河區,8,6541,9.57
8483,2023-02-26,台南市,白河區,7,6533,12.86
8831,2023-02-25,台南市,白河區,6,6526,12.71
9200,2023-02-24,台南市,白河區,10,6520,12.86
9562,2023-02-23,台南市,白河區,13,6510,13.71
9932,2023-02-22,台南市,白河區,6,6497,13.29
10307,2023-02-21,台南市,白河區,17,6491,13.86
10677,2023-02-20,台南市,白河區,31,6474,12.57
11054,2023-02-19,台南市,白河區,6,6443,10.43
11414,2023-02-18,台南市,白河區,7,6437,9.71
11781,2023-02-17,台南市,白河區,16,6430,10.29
12154,2023-02-16,台南市,白河區,10,6414,9.14
12528,2023-02-15,台南市,白河區,10,6404,9.14
12901,2023-02-14,台南市,白河區,8,6394,9.43
