UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
745,2023-03-20,台南市,西港區,4,8505,6.86
1044,2023-03-19,台南市,西港區,5,8501,8.71
1372,2023-03-18,台南市,西港區,8,8496,8.71
1713,2023-03-17,台南市,西港區,10,8488,10.29
2066,2023-03-16,台南市,西港區,7,8478,10.57
2420,2023-03-15,台南市,西港區,6,8471,11.43
2769,2023-03-14,台南市,西港區,8,8465,11.57
3128,2023-03-13,台南市,西港區,17,8457,11.57
3482,2023-03-12,台南市,西港區,5,8440,11.71
3832,2023-03-11,台南市,西港區,19,8435,11.86
4182,2023-03-10,台南市,西港區,12,8416,11.86
4539,2023-03-09,台南市,西港區,13,8404,12.57
4896,2023-03-08,台南市,西港區,7,8391,13.43
5251,2023-03-07,台南市,西港區,8,8384,15.29
5613,2023-03-06,台南市,西港區,18,8376,16.14
5974,2023-03-05,台南市,西港區,6,8358,14.29
6313,2023-03-04,台南市,西港區,19,8352,14.29
6667,2023-03-03,台南市,西港區,17,8333,13.29
7027,2023-03-02,台南市,西港區,19,8316,12.71
7391,2023-03-01,台南市,西港區,20,8297,12.00
7763,2023-02-28,台南市,西港區,14,8277,10.86
8127,2023-02-27,台南市,西港區,5,8263,11.43
8482,2023-02-26,台南市,西港區,6,8258,13.00
8830,2023-02-25,台南市,西港區,12,8252,13.57
9199,2023-02-24,台南市,西港區,13,8240,14.43
9561,2023-02-23,台南市,西港區,14,8227,14.86
9931,2023-02-22,台南市,西港區,12,8213,15.86
10306,2023-02-21,台南市,西港區,18,8201,16.71
10676,2023-02-20,台南市,西港區,16,8183,17.86
11053,2023-02-19,台南市,西港區,10,8167,20.00
11413,2023-02-18,台南市,西港區,18,8157,19.71
11780,2023-02-17,台南市,西港區,16,8139,19.00
12153,2023-02-16,台南市,西港區,21,8123,18.43
12527,2023-02-15,台南市,西港區,18,8102,17.57
12900,2023-02-14,台南市,西港區,26,8084,18.00
13272,2023-02-13,台南市,西港區,31,8058,16.86
13651,2023-02-12,台南市,西港區,8,8027,17.57
14008,2023-02-11,台南市,西港區,13,8019,18.71
14380,2023-02-10,台南市,西港區,12,8006,19.86
14753,2023-02-09,台南市,西港區,15,7994,20.57
15131,2023-02-08,台南市,西港區,21,7979,21.57
15511,2023-02-07,台南市,西港區,18,7958,23.14
15889,2023-02-06,台南市,西港區,36,7940,23.57
16268,2023-02-05,台南市,西港區,16,7904,24.00
16639,2023-02-04,台南市,西港區,21,7888,24.57
17019,2023-02-03,台南市,西港區,17,7867,26.43
17404,2023-02-02,台南市,西港區,22,7850,28.14
17787,2023-02-01,台南市,西港區,32,7828,27.57
18165,2023-01-31,台南市,西港區,21,7796,25.14
18549,2023-01-30,台南市,西港區,39,7775,23.71
18936,2023-01-29,台南市,西港區,20,7736,19.43
19314,2023-01-28,台南市,西港區,34,7716,16.86
19691,2023-01-27,台南市,西港區,29,7682,14.86
20071,2023-01-26,台南市,西港區,18,7653,14.57
20444,2023-01-25,台南市,西港區,15,7635,15.57
20811,2023-01-24,台南市,西港區,11,7620,14.86
21185,2023-01-23,台南市,西港區,9,7609,16.71
21553,2023-01-22,台南市,西港區,2,7600,18.00
21918,2023-01-21,台南市,西港區,20,7598,19.00
22291,2023-01-20,台南市,西港區,27,7578,19.00
22657,2023-01-19,台南市,西港區,25,7551,17.43
23030,2023-01-18,台南市,西港區,10,7526,16.71
23398,2023-01-17,台南市,西港區,24,7516,16.86
23765,2023-01-16,台南市,西港區,18,7492,17.57
24140,2023-01-15,台南市,西港區,9,7474,18.57
24506,2023-01-14,台南市,西港區,20,7465,20.43
24873,2023-01-13,台南市,西港區,16,7445,20.71
25242,2023-01-12,台南市,西港區,20,7429,22.14
25617,2023-01-11,台南市,西港區,11,7409,21.71
25993,2023-01-10,台南市,西港區,29,7398,23.71
26366,2023-01-09,台南市,西港區,25,7369,24.29
