UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
478,2023-03-20,台南市,關廟區,1,24,0.14
1540,2023-02-26,台南市,關廟區,1,23,0.29
1710,2023-02-23,台南市,關廟區,1,22,0.14
3852,2023-01-17,台南市,關廟區,1,21,0.14
6294,2022-11-21,台南市,關廟區,1,20,0.14
7820,2022-10-26,台南市,關廟區,1,19,0.29
8253,2022-10-20,台南市,關廟區,1,18,0.14
9488,2022-10-02,台南市,關廟區,1,17,0.14
11460,2022-08-23,台南市,關廟區,1,16,0.29
11610,2022-08-19,台南市,關廟區,1,15,0.29
11707,2022-08-16,台南市,關廟區,1,14,0.14
12339,2022-08-01,台南市,關廟區,1,13,0.29
12542,2022-07-28,台南市,關廟區,1,12,0.14
13072,2022-07-19,台南市,關廟區,1,11,0.29
13465,2022-07-13,台南市,關廟區,1,10,0.29
13822,2022-07-08,台南市,關廟區,1,9,0.14
14634,2022-06-29,台南市,關廟區,1,8,0.43
14729,2022-06-28,台南市,關廟區,1,7,0.43
15228,2022-06-23,台南市,關廟區,1,6,0.29
15342,2022-06-22,台南市,關廟區,1,5,0.29
16055,2022-06-16,台南市,關廟區,1,4,0.14
17534,2022-06-04,台南市,關廟區,1,3,0.43
17767,2022-06-02,台南市,關廟區,1,2,0.29
17898,2022-06-01,台南市,關廟區,1,1,0.14
