UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
857,2023-03-20,台南市,關廟區,3,12672,9.43
1521,2023-03-18,台南市,關廟區,16,12669,11.86
1872,2023-03-17,台南市,關廟區,8,12653,11.86
2221,2023-03-16,台南市,關廟區,12,12645,12.43
2576,2023-03-15,台南市,關廟區,9,12633,13.29
2930,2023-03-14,台南市,關廟區,18,12624,14.14
3288,2023-03-13,台南市,關廟區,15,12606,13.00
3636,2023-03-12,台南市,關廟區,5,12591,13.29
3991,2023-03-11,台南市,關廟區,16,12586,14.14
4342,2023-03-10,台南市,關廟區,12,12570,14.57
4697,2023-03-09,台南市,關廟區,18,12558,16.14
5055,2023-03-08,台南市,關廟區,15,12540,15.57
5412,2023-03-07,台南市,關廟區,10,12525,15.29
5778,2023-03-06,台南市,關廟區,17,12515,16.29
6122,2023-03-05,台南市,關廟區,11,12498,15.57
6473,2023-03-04,台南市,關廟區,19,12487,14.29
6829,2023-03-03,台南市,關廟區,23,12468,13.71
7192,2023-03-02,台南市,關廟區,14,12445,13.57
7560,2023-03-01,台南市,關廟區,13,12431,13.43
7926,2023-02-28,台南市,關廟區,17,12418,13.43
8286,2023-02-27,台南市,關廟區,12,12401,14.14
8634,2023-02-26,台南市,關廟區,2,12389,15.57
9001,2023-02-25,台南市,關廟區,15,12387,16.86
9362,2023-02-24,台南市,關廟區,22,12372,18.14
9728,2023-02-23,台南市,關廟區,13,12350,19.14
10103,2023-02-22,台南市,關廟區,13,12337,20.29
10477,2023-02-21,台南市,關廟區,22,12324,21.57
10850,2023-02-20,台南市,關廟區,22,12302,22.57
11210,2023-02-19,台南市,關廟區,11,12280,23.43
11579,2023-02-18,台南市,關廟區,24,12269,24.71
11951,2023-02-17,台南市,關廟區,29,12245,26.14
12325,2023-02-16,台南市,關廟區,21,12216,25.29
12698,2023-02-15,台南市,關廟區,22,12195,25.57
13072,2023-02-14,台南市,關廟區,29,12173,26.29
13448,2023-02-13,台南市,關廟區,28,12144,26.57
13811,2023-02-12,台南市,關廟區,20,12116,28.00
14182,2023-02-11,台南市,關廟區,34,12096,26.57
14551,2023-02-10,台南市,關廟區,23,12062,24.43
14925,2023-02-09,台南市,關廟區,23,12039,25.29
15303,2023-02-08,台南市,關廟區,27,12016,27.71
15685,2023-02-07,台南市,關廟區,31,11989,29.00
16065,2023-02-06,台南市,關廟區,38,11958,31.86
16436,2023-02-05,台南市,關廟區,10,11920,32.86
16814,2023-02-04,台南市,關廟區,19,11910,36.86
17195,2023-02-03,台南市,關廟區,29,11891,38.00
17579,2023-02-02,台南市,關廟區,40,11862,37.29
17961,2023-02-01,台南市,關廟區,36,11822,35.29
18342,2023-01-31,台南市,關廟區,51,11786,32.14
18729,2023-01-30,台南市,關廟區,45,11735,27.57
19112,2023-01-29,台南市,關廟區,38,11690,24.29
19491,2023-01-28,台南市,關廟區,27,11652,19.71
19866,2023-01-27,台南市,關廟區,24,11625,18.86
20243,2023-01-26,台南市,關廟區,26,11601,19.29
20615,2023-01-25,台南市,關廟區,14,11575,19.00
20983,2023-01-24,台南市,關廟區,19,11561,20.14
21353,2023-01-23,台南市,關廟區,22,11542,20.86
21719,2023-01-22,台南市,關廟區,6,11520,20.71
22090,2023-01-21,台南市,關廟區,21,11514,21.86
22457,2023-01-20,台南市,關廟區,27,11493,21.14
22825,2023-01-19,台南市,關廟區,24,11466,20.00
23198,2023-01-18,台南市,關廟區,22,11442,18.43
23563,2023-01-17,台南市,關廟區,24,11420,18.43
23937,2023-01-16,台南市,關廟區,21,11396,19.00
24310,2023-01-15,台南市,關廟區,14,11375,19.43
24674,2023-01-14,台南市,關廟區,16,11361,20.00
25041,2023-01-13,台南市,關廟區,19,11345,22.57
25417,2023-01-12,台南市,關廟區,13,11326,24.71
25789,2023-01-11,台南市,關廟區,22,11313,27.71
26164,2023-01-10,台南市,關廟區,28,11291,31.29
26541,2023-01-09,台南市,關廟區,24,11263,32.43
26908,2023-01-08,台南市,關廟區,18,11239,32.43
27272,2023-01-07,台南市,關廟區,34,11221,31.14
27644,2023-01-06,台南市,關廟區,34,11187,30.14
28024,2023-01-05,台南市,關廟區,34,11153,28.14
28405,2023-01-04,台南市,關廟區,47,11119,26.00
28786,2023-01-03,台南市,關廟區,36,11072,22.29
29162,2023-01-02,台南市,關廟區,24,11036,19.57
29526,2023-01-01,台南市,關廟區,9,11012,19.86
29893,2022-12-31,台南市,關廟區,27,11003,19.43
30262,2022-12-30,台南市,關廟區,20,10976,17.14
30633,2022-12-29,台南市,關廟區,19,10956,16.14
31006,2022-12-28,台南市,關廟區,21,10937,15.43
31381,2022-12-27,台南市,關廟區,17,10916,15.43
31754,2022-12-26,台南市,關廟區,26,10899,14.43
