UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
566,2023-03-21,台南市,鹽水區,1,7740,4.57
800,2023-03-20,台南市,鹽水區,3,7739,5.29
1102,2023-03-19,台南市,鹽水區,2,7736,5.29
1435,2023-03-18,台南市,鹽水區,6,7734,5.57
1781,2023-03-17,台南市,鹽水區,4,7728,5.71
2133,2023-03-16,台南市,鹽水區,9,7724,6.00
2486,2023-03-15,台南市,鹽水區,7,7715,5.86
2836,2023-03-14,台南市,鹽水區,6,7708,5.00
3194,2023-03-13,台南市,鹽水區,3,7702,5.71
3548,2023-03-12,台南市,鹽水區,4,7699,6.29
3898,2023-03-11,台南市,鹽水區,7,7695,5.86
4248,2023-03-10,台南市,鹽水區,6,7688,6.57
4605,2023-03-09,台南市,鹽水區,8,7682,6.71
4961,2023-03-08,台南市,鹽水區,1,7674,7.57
5318,2023-03-07,台南市,鹽水區,11,7673,9.29
5680,2023-03-06,台南市,鹽水區,7,7662,8.86
6039,2023-03-05,台南市,鹽水區,1,7655,9.71
6380,2023-03-04,台南市,鹽水區,12,7654,9.71
6734,2023-03-03,台南市,鹽水區,7,7642,8.86
7095,2023-03-02,台南市,鹽水區,14,7635,9.00
7457,2023-03-01,台南市,鹽水區,13,7621,7.71
7829,2023-02-28,台南市,鹽水區,8,7608,7.71
8195,2023-02-27,台南市,鹽水區,13,7600,8.43
8546,2023-02-26,台南市,鹽水區,1,7587,11.57
8898,2023-02-25,台南市,鹽水區,6,7586,13.14
9267,2023-02-24,台南市,鹽水區,8,7580,14.57
9630,2023-02-23,台南市,鹽水區,5,7572,15.57
10000,2023-02-22,台南市,鹽水區,13,7567,17.43
10373,2023-02-21,台南市,鹽水區,13,7554,17.71
10745,2023-02-20,台南市,鹽水區,35,7541,19.14
11119,2023-02-19,台南市,鹽水區,12,7506,16.86
11481,2023-02-18,台南市,鹽水區,16,7494,18.00
11846,2023-02-17,台南市,鹽水區,15,7478,17.71
12222,2023-02-16,台南市,鹽水區,18,7463,19.57
12595,2023-02-15,台南市,鹽水區,15,7445,21.43
12970,2023-02-14,台南市,鹽水區,23,7430,22.86
13341,2023-02-13,台南市,鹽水區,19,7407,23.00
13718,2023-02-12,台南市,鹽水區,20,7388,24.43
14078,2023-02-11,台南市,鹽水區,14,7368,23.71
14447,2023-02-10,台南市,鹽水區,28,7354,23.86
14821,2023-02-09,台南市,鹽水區,31,7326,22.14
15201,2023-02-08,台南市,鹽水區,25,7295,20.57
15578,2023-02-07,台南市,鹽水區,24,7270,20.43
15958,2023-02-06,台南市,鹽水區,29,7246,22.43
16334,2023-02-05,台南市,鹽水區,15,7217,22.57
16708,2023-02-04,台南市,鹽水區,15,7202,21.71
17087,2023-02-03,台南市,鹽水區,16,7187,23.71
17473,2023-02-02,台南市,鹽水區,20,7171,25.43
17854,2023-02-01,台南市,鹽水區,24,7151,24.71
18234,2023-01-31,台南市,鹽水區,38,7127,24.14
18619,2023-01-30,台南市,鹽水區,30,7089,21.57
19005,2023-01-29,台南市,鹽水區,9,7059,18.86
19383,2023-01-28,台南市,鹽水區,29,7050,18.86
19759,2023-01-27,台南市,鹽水區,28,7021,16.86
20140,2023-01-26,台南市,鹽水區,15,6993,16.43
20511,2023-01-25,台南市,鹽水區,20,6978,16.00
20880,2023-01-24,台南市,鹽水區,20,6958,14.71
21252,2023-01-23,台南市,鹽水區,11,6938,13.71
21621,2023-01-22,台南市,鹽水區,9,6927,13.43
21988,2023-01-21,台南市,鹽水區,15,6918,13.14
22361,2023-01-20,台南市,鹽水區,25,6903,12.71
22726,2023-01-19,台南市,鹽水區,12,6878,10.86
23099,2023-01-18,台南市,鹽水區,11,6866,10.86
23465,2023-01-17,台南市,鹽水區,13,6855,11.14
23832,2023-01-16,台南市,鹽水區,9,6842,11.14
24210,2023-01-15,台南市,鹽水區,7,6833,12.86
24573,2023-01-14,台南市,鹽水區,12,6826,13.29
24940,2023-01-13,台南市,鹽水區,12,6814,13.43
25311,2023-01-12,台南市,鹽水區,12,6802,15.14
25685,2023-01-11,台南市,鹽水區,13,6790,15.71
26061,2023-01-10,台南市,鹽水區,13,6777,17.43
26434,2023-01-09,台南市,鹽水區,21,6764,19.29
26808,2023-01-08,台南市,鹽水區,10,6743,19.29
27169,2023-01-07,台南市,鹽水區,13,6733,19.00
27542,2023-01-06,台南市,鹽水區,24,6720,19.86
27919,2023-01-05,台南市,鹽水區,16,6696,18.71
28297,2023-01-04,台南市,鹽水區,25,6680,19.14
28679,2023-01-03,台南市,鹽水區,26,6655,17.29
29059,2023-01-02,台南市,鹽水區,21,6629,16.14
29431,2023-01-01,台南市,鹽水區,8,6608,16.29
29792,2022-12-31,台南市,鹽水區,19,6600,16.43
30159,2022-12-30,台南市,鹽水區,16,6581,15.43
30533,2022-12-29,台南市,鹽水區,19,6565,14.43
30905,2022-12-28,台南市,鹽水區,12,6546,13.29
31274,2022-12-27,台南市,鹽水區,18,6534,12.43
31649,2022-12-26,台南市,鹽水區,22,6516,11.43
32018,2022-12-25,台南市,鹽水區,9,6494,10.29
32376,2022-12-24,台南市,鹽水區,12,6485,9.71
32735,2022-12-23,台南市,鹽水區,9,6473,9.00
33102,2022-12-22,台南市,鹽水區,11,6464,9.29
33467,2022-12-21,台南市,鹽水區,6,6453,8.86
33834,2022-12-20,台南市,鹽水區,11,6447,9.86
34200,2022-12-19,台南市,鹽水區,14,6436,9.57
34568,2022-12-18,台南市,鹽水區,5,6422,9.00
34918,2022-12-17,台南市,鹽水區,7,6417,9.00
35280,2022-12-16,台南市,鹽水區,11,6410,9.43
35643,2022-12-15,台南市,鹽水區,8,6399,9.14
36013,2022-12-14,台南市,鹽水區,13,6391,9.14
36373,2022-12-13,台南市,鹽水區,9,6378,8.00
36751,2022-12-12,台南市,鹽水區,10,6369,7.86
37114,2022-12-11,台南市,鹽水區,5,6359,7.86
37473,2022-12-10,台南市,鹽水區,10,6354,7.86
37840,2022-12-09,台南市,鹽水區,9,6344,6.57
38206,2022-12-08,台南市,鹽水區,8,6335,6.43
38580,2022-12-07,台南市,鹽水區,5,6327,5.86
38947,2022-12-06,台南市,鹽水區,8,6322,6.86
39323,2022-12-05,台南市,鹽水區,10,6314,7.14
39700,2022-12-04,台南市,鹽水區,5,6304,7.00
40066,2022-12-03,台南市,鹽水區,1,6299,7.00
40435,2022-12-02,台南市,鹽水區,8,6298,8.43
40801,2022-12-01,台南市,鹽水區,4,6290,8.71
41174,2022-11-30,台南市,鹽水區,12,6286,10.43
41547,2022-11-29,台南市,鹽水區,10,6274,9.29
41926,2022-11-28,台南市,鹽水區,9,6264,10.86
42303,2022-11-27,台南市,鹽水區,5,6255,12.86
42659,2022-11-26,台南市,鹽水區,11,6250,13.86
