UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
710,2023-03-20,台南市,麻豆區,7,15527,16.86
1002,2023-03-19,台南市,麻豆區,12,15520,18.43
1331,2023-03-18,台南市,麻豆區,22,15508,18.71
1670,2023-03-17,台南市,麻豆區,20,15486,17.86
2023,2023-03-16,台南市,麻豆區,26,15466,17.14
2375,2023-03-15,台南市,麻豆區,15,15440,16.57
2726,2023-03-14,台南市,麻豆區,16,15425,18.71
3083,2023-03-13,台南市,麻豆區,18,15409,18.71
3441,2023-03-12,台南市,麻豆區,14,15391,19.71
3788,2023-03-11,台南市,麻豆區,16,15377,19.14
4140,2023-03-10,台南市,麻豆區,15,15361,20.29
4496,2023-03-09,台南市,麻豆區,22,15346,20.29
4855,2023-03-08,台南市,麻豆區,30,15324,20.43
5208,2023-03-07,台南市,麻豆區,16,15294,18.29
5568,2023-03-06,台南市,麻豆區,25,15278,21.29
5932,2023-03-05,台南市,麻豆區,10,15253,21.14
6271,2023-03-04,台南市,麻豆區,24,15243,21.43
6624,2023-03-03,台南市,麻豆區,15,15219,22.86
6983,2023-03-02,台南市,麻豆區,23,15204,25.14
7347,2023-03-01,台南市,麻豆區,15,15181,26.43
7718,2023-02-28,台南市,麻豆區,37,15166,28.86
8081,2023-02-27,台南市,麻豆區,24,15129,26.57
8440,2023-02-26,台南市,麻豆區,12,15105,28.57
8784,2023-02-25,台南市,麻豆區,34,15093,30.43
9154,2023-02-24,台南市,麻豆區,31,15059,31.43
9515,2023-02-23,台南市,麻豆區,32,15028,31.86
9886,2023-02-22,台南市,麻豆區,32,14996,29.86
10260,2023-02-21,台南市,麻豆區,21,14964,28.86
10630,2023-02-20,台南市,麻豆區,38,14943,29.71
11009,2023-02-19,台南市,麻豆區,25,14905,29.29
11368,2023-02-18,台南市,麻豆區,41,14880,28.14
11734,2023-02-17,台南市,麻豆區,34,14839,26.00
12107,2023-02-16,台南市,麻豆區,18,14805,25.14
12482,2023-02-15,台南市,麻豆區,25,14787,25.86
12855,2023-02-14,台南市,麻豆區,27,14762,26.71
13227,2023-02-13,台南市,麻豆區,35,14735,27.71
13605,2023-02-12,台南市,麻豆區,17,14700,28.14
13963,2023-02-11,台南市,麻豆區,26,14683,29.43
14335,2023-02-10,台南市,麻豆區,28,14657,30.57
14708,2023-02-09,台南市,麻豆區,23,14629,31.43
15085,2023-02-08,台南市,麻豆區,31,14606,33.14
15464,2023-02-07,台南市,麻豆區,34,14575,34.71
15843,2023-02-06,台南市,麻豆區,38,14541,36.57
16224,2023-02-05,台南市,麻豆區,26,14503,39.00
16593,2023-02-04,台南市,麻豆區,34,14477,40.00
16972,2023-02-03,台南市,麻豆區,34,14443,42.86
17358,2023-02-02,台南市,麻豆區,35,14409,44.29
17741,2023-02-01,台南市,麻豆區,42,14374,46.00
18118,2023-01-31,台南市,麻豆區,47,14332,44.00
18503,2023-01-30,台南市,麻豆區,55,14285,40.57
18892,2023-01-29,台南市,麻豆區,33,14230,36.71
19268,2023-01-28,台南市,麻豆區,54,14197,34.71
19647,2023-01-27,台南市,麻豆區,44,14143,31.29
20025,2023-01-26,台南市,麻豆區,47,14099,31.14
20402,2023-01-25,台南市,麻豆區,28,14052,29.86
20767,2023-01-24,台南市,麻豆區,23,14024,29.86
21142,2023-01-23,台南市,麻豆區,28,14001,31.00
21509,2023-01-22,台南市,麻豆區,19,13973,32.71
21873,2023-01-21,台南市,麻豆區,30,13954,34.57
22245,2023-01-20,台南市,麻豆區,43,13924,34.14
22612,2023-01-19,台南市,麻豆區,38,13881,32.57
22983,2023-01-18,台南市,麻豆區,28,13843,30.57
23353,2023-01-17,台南市,麻豆區,31,13815,33.71
23719,2023-01-16,台南市,麻豆區,40,13784,34.29
24095,2023-01-15,台南市,麻豆區,32,13744,37.00
24461,2023-01-14,台南市,麻豆區,27,13712,36.14
24830,2023-01-13,台南市,麻豆區,32,13685,37.71
25198,2023-01-12,台南市,麻豆區,24,13653,39.71
25573,2023-01-11,台南市,麻豆區,50,13629,40.86
25949,2023-01-10,台南市,麻豆區,35,13579,38.71
26321,2023-01-09,台南市,麻豆區,59,13544,38.43
26698,2023-01-08,台南市,麻豆區,26,13485,38.00
27056,2023-01-07,台南市,麻豆區,38,13459,36.29
27428,2023-01-06,台南市,麻豆區,46,13421,35.29
27804,2023-01-05,台南市,麻豆區,32,13375,33.00
28184,2023-01-04,台南市,麻豆區,35,13343,34.00
28565,2023-01-03,台南市,麻豆區,33,13308,34.57
28946,2023-01-02,台南市,麻豆區,56,13275,33.71
29318,2023-01-01,台南市,麻豆區,14,13219,33.29
29680,2022-12-31,台南市,麻豆區,31,13205,34.29
30046,2022-12-30,台南市,麻豆區,30,13174,32.00
30418,2022-12-29,台南市,麻豆區,39,13144,31.29
30790,2022-12-28,台南市,麻豆區,39,13105,29.29
31161,2022-12-27,台南市,麻豆區,27,13066,27.00
31537,2022-12-26,台南市,麻豆區,53,13039,27.14
31909,2022-12-25,台南市,麻豆區,21,12986,24.86
32264,2022-12-24,台南市,麻豆區,15,12965,23.57
32624,2022-12-23,台南市,麻豆區,25,12950,24.86
32988,2022-12-22,台南市,麻豆區,25,12925,23.57
33355,2022-12-21,台南市,麻豆區,23,12900,23.86
33725,2022-12-20,台南市,麻豆區,28,12877,24.00
34088,2022-12-19,台南市,麻豆區,37,12849,24.14
34458,2022-12-18,台南市,麻豆區,12,12812,24.00
34807,2022-12-17,台南市,麻豆區,24,12800,24.71
35167,2022-12-16,台南市,麻豆區,16,12776,24.57
35532,2022-12-15,台南市,麻豆區,27,12760,25.14
35903,2022-12-14,台南市,麻豆區,24,12733,24.14
36261,2022-12-13,台南市,麻豆區,29,12709,23.43
36636,2022-12-12,台南市,麻豆區,36,12680,23.57
37006,2022-12-11,台南市,麻豆區,17,12644,22.14
37359,2022-12-10,台南市,麻豆區,23,12627,21.86
37728,2022-12-09,台南市,麻豆區,20,12604,21.71
38093,2022-12-08,台南市,麻豆區,20,12584,21.57
38466,2022-12-07,台南市,麻豆區,19,12564,22.86
38837,2022-12-06,台南市,麻豆區,30,12545,26.00
39209,2022-12-05,台南市,麻豆區,26,12515,25.29
39587,2022-12-04,台南市,麻豆區,15,12489,26.14
39952,2022-12-03,台南市,麻豆區,22,12474,27.29
40322,2022-12-02,台南市,麻豆區,19,12452,28.71
40691,2022-12-01,台南市,麻豆區,29,12433,31.00
41060,2022-11-30,台南市,麻豆區,41,12404,32.00
41432,2022-11-29,台南市,麻豆區,25,12363,30.29
41812,2022-11-28,台南市,麻豆區,32,12338,31.43
42189,2022-11-27,台南市,麻豆區,23,12306,32.57
42550,2022-11-26,台南市,麻豆區,32,12283,32.29
42906,2022-11-25,台南市,麻豆區,35,12251,32.14
43278,2022-11-24,台南市,麻豆區,36,12216,32.71
43648,2022-11-23,台南市,麻豆區,29,12180,32.43
44019,2022-11-22,台南市,麻豆區,33,12151,32.43
44393,2022-11-21,台南市,麻豆區,40,12118,35.14
44774,2022-11-20,台南市,麻豆區,21,12078,33.71
45139,2022-11-19,台南市,麻豆區,31,12057,34.43
45513,2022-11-18,台南市,麻豆區,39,12026,35.00
45885,2022-11-17,台南市,麻豆區,34,11987,34.86
46258,2022-11-16,台南市,麻豆區,29,11953,35.86
46638,2022-11-15,台南市,麻豆區,52,11924,38.71
47019,2022-11-14,台南市,麻豆區,30,11872,38.57
47400,2022-11-13,台南市,麻豆區,26,11842,40.57
47770,2022-11-12,台南市,麻豆區,35,11816,41.71
48146,2022-11-11,台南市,麻豆區,38,11781,44.14
48526,2022-11-10,台南市,麻豆區,41,11743,46.86
48908,2022-11-09,台南市,麻豆區,49,11702,47.29
49292,2022-11-08,台南市,麻豆區,51,11653,47.86
49677,2022-11-07,台南市,麻豆區,44,11602,46.43
50062,2022-11-06,台南市,麻豆區,34,11558,48.43
50431,2022-11-05,台南市,麻豆區,52,11524,50.86
50806,2022-11-04,台南市,麻豆區,57,11472,51.86
51192,2022-11-03,台南市,麻豆區,44,11415,52.43
51572,2022-11-02,台南市,麻豆區,53,11371,54.86
51958,2022-11-01,台南市,麻豆區,41,11318,58.29
52343,2022-10-31,台南市,麻豆區,58,11277,62.86
52726,2022-10-30,台南市,麻豆區,51,11219,67.43
53105,2022-10-29,台南市,麻豆區,59,11168,67.29
53484,2022-10-28,台南市,麻豆區,61,11109,67.86
53871,2022-10-27,台南市,麻豆區,61,11048,68.57
54258,2022-10-26,台南市,麻豆區,77,10987,70.43
54642,2022-10-25,台南市,麻豆區,73,10910,70.71
55031,2022-10-24,台南市,麻豆區,90,10837,71.00
55421,2022-10-23,台南市,麻豆區,50,10747,70.57
55798,2022-10-22,台南市,麻豆區,63,10697,70.71
56183,2022-10-21,台南市,麻豆區,66,10634,73.43
56573,2022-10-20,台南市,麻豆區,74,10568,75.71
56958,2022-10-19,台南市,麻豆區,79,10494,76.43
57345,2022-10-18,台南市,麻豆區,75,10415,82.43
57735,2022-10-17,台南市,麻豆區,87,10340,86.71
