UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3801,2023-03-19,台南市,龍崎區,70+,134
3802,2023-03-18,台南市,龍崎區,45-49,26
3803,2023-03-17,台南市,龍崎區,60-64,53
3804,2023-03-17,台南市,龍崎區,5-9,14
3805,2023-03-15,台南市,龍崎區,50-54,38
3806,2023-03-14,台南市,龍崎區,40-44,37
3807,2023-03-10,台南市,龍崎區,25-29,27
3808,2023-03-09,台南市,龍崎區,20-24,30
3809,2023-03-06,台南市,龍崎區,65-69,41
3810,2023-02-24,台南市,龍崎區,35-39,29
3811,2023-02-24,台南市,龍崎區,10-14,15
3812,2023-02-20,台南市,龍崎區,55-59,45
3813,2023-02-18,台南市,龍崎區,30-34,33
3814,2023-01-28,台南市,龍崎區,15-19,20
3815,2022-11-16,台南市,龍崎區,4,6
3816,2022-10-06,台南市,龍崎區,2,3
3817,2022-09-12,台南市,龍崎區,3,3
3818,2022-09-12,台南市,龍崎區,1,2
3819,2022-06-23,台南市,龍崎區,0,1
