UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1189,2023-03-19,台南市,龍崎區,1,557,1.57
1528,2023-03-18,台南市,龍崎區,2,556,1.43
1878,2023-03-17,台南市,龍崎區,2,554,1.29
2229,2023-03-16,台南市,龍崎區,1,552,1.57
2582,2023-03-15,台南市,龍崎區,2,551,1.57
2939,2023-03-14,台南市,龍崎區,2,549,1.57
3296,2023-03-13,台南市,龍崎區,1,547,1.29
3997,2023-03-11,台南市,龍崎區,1,546,1.29
4349,2023-03-10,台南市,龍崎區,4,545,1.14
4705,2023-03-09,台南市,龍崎區,1,541,0.57
5061,2023-03-08,台南市,龍崎區,2,540,0.43
5785,2023-03-06,台南市,龍崎區,1,538,0.43
7568,2023-03-01,台南市,龍崎區,1,537,1.43
7933,2023-02-28,台南市,龍崎區,1,536,1.71
8293,2023-02-27,台南市,龍崎區,1,535,1.71
9009,2023-02-25,台南市,龍崎區,2,534,2.00
9368,2023-02-24,台南市,龍崎區,3,532,1.86
9737,2023-02-23,台南市,龍崎區,2,529,1.71
10112,2023-02-22,台南市,龍崎區,3,527,1.43
10483,2023-02-21,台南市,龍崎區,1,524,1.71
10858,2023-02-20,台南市,龍崎區,3,523,2.00
11587,2023-02-18,台南市,龍崎區,1,520,1.71
11958,2023-02-17,台南市,龍崎區,2,519,1.57
12705,2023-02-15,台南市,龍崎區,5,517,2.00
13080,2023-02-14,台南市,龍崎區,3,512,1.29
13456,2023-02-13,台南市,龍崎區,1,509,1.00
14558,2023-02-10,台南市,龍崎區,1,508,2.00
14933,2023-02-09,台南市,龍崎區,4,507,2.00
15693,2023-02-07,台南市,龍崎區,1,503,1.57
16073,2023-02-06,台南市,龍崎區,6,502,1.86
16443,2023-02-05,台南市,龍崎區,1,496,1.86
16821,2023-02-04,台南市,龍崎區,1,495,1.71
17205,2023-02-03,台南市,龍崎區,1,494,1.86
17588,2023-02-02,台南市,龍崎區,1,493,1.86
18350,2023-01-31,台南市,龍崎區,3,492,1.86
18738,2023-01-30,台南市,龍崎區,6,489,1.71
19498,2023-01-28,台南市,龍崎區,2,483,1.00
19874,2023-01-27,台南市,龍崎區,1,481,0.71
20251,2023-01-26,台南市,龍崎區,1,480,0.57
20991,2023-01-24,台南市,龍崎區,2,479,0.57
21726,2023-01-22,台南市,龍崎區,1,477,0.43
23206,2023-01-18,台南市,龍崎區,1,476,0.57
23570,2023-01-17,台南市,龍崎區,1,475,0.57
24681,2023-01-14,台南市,龍崎區,1,474,1.14
25048,2023-01-13,台南市,龍崎區,1,473,1.14
25798,2023-01-11,台南市,龍崎區,1,472,1.14
26171,2023-01-10,台南市,龍崎區,2,471,1.14
26549,2023-01-09,台南市,龍崎區,1,469,0.86
26915,2023-01-08,台南市,龍崎區,2,468,1.00
27280,2023-01-07,台南市,龍崎區,1,466,0.71
27651,2023-01-06,台南市,龍崎區,1,465,0.71
28413,2023-01-04,台南市,龍崎區,1,464,0.71
29169,2023-01-02,台南市,龍崎區,2,463,0.71
29899,2022-12-31,台南市,龍崎區,1,461,0.57
30270,2022-12-30,台南市,龍崎區,1,460,0.43
31390,2022-12-27,台南市,龍崎區,1,459,0.29
31762,2022-12-26,台南市,龍崎區,1,458,0.29
33940,2022-12-20,台南市,龍崎區,1,457,1.43
34662,2022-12-18,台南市,龍崎區,1,456,1.86
35023,2022-12-17,台南市,龍崎區,2,455,1.71
35386,2022-12-16,台南市,龍崎區,2,453,1.43
35754,2022-12-15,台南市,龍崎區,2,451,1.14
36113,2022-12-14,台南市,龍崎區,2,449,1.00
36486,2022-12-13,台南市,龍崎區,1,447,0.71
36861,2022-12-12,台南市,龍崎區,3,446,0.57
38316,2022-12-08,台南市,龍崎區,1,443,0.86
39436,2022-12-05,台南市,龍崎區,1,442,1.14
39805,2022-12-04,台南市,龍崎區,2,441,1.00
40175,2022-12-03,台南市,龍崎區,1,439,0.71
40545,2022-12-02,台南市,龍崎區,1,438,0.57
40911,2022-12-01,台南市,龍崎區,2,437,0.57
41285,2022-11-30,台南市,龍崎區,1,435,0.29
43131,2022-11-25,台南市,龍崎區,1,434,0.86
43869,2022-11-23,台南市,龍崎區,2,433,1.00
44242,2022-11-22,台南市,龍崎區,1,431,0.86
44623,2022-11-21,台南市,龍崎區,2,430,1.00
45733,2022-11-18,台南市,龍崎區,1,428,1.00
46106,2022-11-17,台南市,龍崎區,1,427,1.00
46486,2022-11-16,台南市,龍崎區,1,426,1.00
