UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4770,2023-06-14,台東縣,全區,40-44,6056
4771,2023-06-14,台東縣,全區,50-54,5260
4772,2023-06-14,台東縣,全區,45-49,5571
4773,2023-06-14,台東縣,全區,5-9,4761
4774,2023-06-14,台東縣,全區,65-69,3872
4775,2023-06-14,台東縣,全區,10-14,4711
4776,2023-06-14,台東縣,全區,55-59,5009
4777,2023-06-14,台東縣,全區,20-24,6054
4778,2023-06-14,台東縣,全區,1,800
4779,2023-06-14,台東縣,全區,0,624
4780,2023-06-14,台東縣,全區,2,842
4781,2023-06-14,台東縣,全區,25-29,6266
4782,2023-06-14,台東縣,全區,30-34,5685
4783,2023-06-14,台東縣,全區,35-39,5742
4784,2023-06-14,台東縣,全區,4,926
4785,2023-06-14,台東縣,全區,15-19,5395
4786,2023-03-20,台東縣,全區,70+,7675
4787,2023-03-19,台東縣,全區,60-64,4499
4788,2023-03-18,台東縣,全區,3,796
