UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
10,2023-05-29,台東縣,全區,1,214,0.14
99,2023-04-11,台東縣,全區,1,213,0.14
246,2023-03-29,台東縣,全區,1,212,0.14
400,2023-03-22,台東縣,全區,1,211,0.43
533,2023-03-18,台東縣,全區,1,210,0.29
620,2023-03-16,台東縣,全區,1,209,0.29
832,2023-03-11,台東縣,全區,1,208,0.43
923,2023-03-09,台東縣,全區,1,207,0.29
1117,2023-03-05,台東縣,全區,1,206,0.14
1671,2023-02-23,台東縣,全區,1,205,0.43
1742,2023-02-22,台東縣,全區,1,204,0.29
1800,2023-02-21,台東縣,全區,1,203,0.29
2141,2023-02-15,台東縣,全區,1,202,1.14
2207,2023-02-14,台東縣,全區,2,201,1.00
2278,2023-02-13,台東縣,全區,1,199,0.86
2334,2023-02-12,台東縣,全區,1,198,1.00
2395,2023-02-11,台東縣,全區,2,197,0.86
2526,2023-02-09,台東縣,全區,1,195,0.86
2677,2023-02-07,台東縣,全區,1,194,0.71
2736,2023-02-06,台東縣,全區,2,193,0.57
2911,2023-02-03,台東縣,全區,2,191,0.57
3226,2023-01-29,台東縣,全區,1,189,0.43
3287,2023-01-28,台東縣,全區,1,188,0.29
3335,2023-01-27,台東縣,全區,1,187,0.14
3930,2023-01-15,台東縣,全區,1,186,0.29
4183,2023-01-10,台東縣,全區,1,185,0.29
4476,2023-01-04,台東縣,全區,1,184,0.29
4793,2022-12-29,台東縣,全區,1,183,0.57
4828,2022-12-28,台東縣,全區,1,182,0.43
4869,2022-12-27,台東縣,全區,1,181,0.29
4993,2022-12-24,台東縣,全區,1,180,0.14
5467,2022-12-11,台東縣,全區,1,179,0.29
5582,2022-12-08,台東縣,全區,1,178,0.71
5737,2022-12-04,台東縣,全區,1,177,0.57
5770,2022-12-03,台東縣,全區,3,176,0.43
6126,2022-11-24,台東縣,全區,1,173,0.43
6172,2022-11-23,台東縣,全區,1,172,0.29
6217,2022-11-22,台東縣,全區,1,171,0.14
6966,2022-11-08,台東縣,全區,1,170,0.14
7508,2022-10-30,台東縣,全區,1,169,0.71
7701,2022-10-27,台東縣,全區,1,168,0.86
7771,2022-10-26,台東縣,全區,2,167,1.00
7913,2022-10-24,台東縣,全區,1,165,0.71
8059,2022-10-22,台東縣,全區,1,164,0.71
8125,2022-10-21,台東縣,全區,1,163,1.00
8205,2022-10-20,台東縣,全區,2,162,1.14
8493,2022-10-16,台東縣,全區,1,160,1.43
8555,2022-10-15,台東縣,全區,3,159,1.43
8620,2022-10-14,台東縣,全區,2,156,1.00
8697,2022-10-13,台東縣,全區,1,154,0.71
8766,2022-10-12,台東縣,全區,1,153,0.57
8836,2022-10-11,台東縣,全區,1,152,0.57
8903,2022-10-10,台東縣,全區,1,151,0.43
8975,2022-10-09,台東縣,全區,1,150,0.29
9223,2022-10-05,台東縣,全區,1,149,0.43
9510,2022-10-01,台東縣,全區,1,148,0.86
9569,2022-09-30,台東縣,全區,1,147,0.71
9695,2022-09-28,台東縣,全區,1,146,0.71
9811,2022-09-26,台東縣,全區,1,145,0.57
9864,2022-09-25,台東縣,全區,2,144,0.43
9977,2022-09-23,台東縣,全區,1,142,0.57
10255,2022-09-18,台東縣,全區,1,141,0.86
10301,2022-09-17,台東縣,全區,2,140,0.71
10362,2022-09-16,台東縣,全區,1,138,0.43
10424,2022-09-15,台東縣,全區,1,137,0.29
10534,2022-09-13,台東縣,全區,1,136,0.14
10955,2022-09-04,台東縣,全區,1,135,0.86
11050,2022-09-02,台東縣,全區,2,134,0.71
11082,2022-09-01,台東縣,全區,1,132,0.43
11162,2022-08-30,台東縣,全區,1,131,0.29
11207,2022-08-29,台東縣,全區,1,130,0.14
11476,2022-08-22,台東縣,全區,1,129,0.29
11588,2022-08-19,台東縣,全區,1,128,0.14
11878,2022-08-11,台東縣,全區,1,127,0.43
12047,2022-08-07,台東縣,全區,1,126,0.43
12077,2022-08-06,台東縣,全區,1,125,0.43
12306,2022-08-01,台東縣,全區,1,124,1.57
12355,2022-07-31,台東縣,全區,1,123,2.00
12408,2022-07-30,台東縣,全區,1,122,2.14
