UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4941,2023-03-20,台東縣,卑南鄉,30-34,416
4942,2023-03-20,台東縣,卑南鄉,20-24,415
4943,2023-03-20,台東縣,卑南鄉,40-44,442
4944,2023-03-19,台東縣,卑南鄉,70+,598
4945,2023-03-18,台東縣,卑南鄉,45-49,455
4946,2023-03-18,台東縣,卑南鄉,25-29,470
4947,2023-03-16,台東縣,卑南鄉,10-14,357
4948,2023-03-16,台東縣,卑南鄉,15-19,396
4949,2023-03-16,台東縣,卑南鄉,55-59,415
4950,2023-03-13,台東縣,卑南鄉,65-69,296
4951,2023-03-13,台東縣,卑南鄉,1,63
4952,2023-03-13,台東縣,卑南鄉,4,68
4953,2023-03-13,台東縣,卑南鄉,35-39,421
4954,2023-03-09,台東縣,卑南鄉,50-54,396
4955,2023-03-07,台東縣,卑南鄉,60-64,348
4956,2023-03-04,台東縣,卑南鄉,3,61
4957,2023-03-02,台東縣,卑南鄉,5-9,327
4958,2023-02-28,台東縣,卑南鄉,2,72
4959,2023-02-17,台東縣,卑南鄉,0,50
