UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4865,2023-06-14,台東縣,台東市,50-54,3215
4866,2023-03-21,台東縣,台東市,5-9,2812
4867,2023-03-21,台東縣,台東市,40-44,3858
4868,2023-03-21,台東縣,台東市,10-14,2560
4869,2023-03-21,台東縣,台東市,35-39,3691
4870,2023-03-20,台東縣,台東市,30-34,3589
4871,2023-03-20,台東縣,台東市,20-24,3914
4872,2023-03-20,台東縣,台東市,1,449
4873,2023-03-19,台東縣,台東市,25-29,4020
4874,2023-03-19,台東縣,台東市,55-59,2846
4875,2023-03-19,台東縣,台東市,60-64,2460
4876,2023-03-19,台東縣,台東市,45-49,3445
4877,2023-03-18,台東縣,台東市,70+,3796
4878,2023-03-18,台東縣,台東市,15-19,3211
4879,2023-03-18,台東縣,台東市,3,453
4880,2023-03-17,台東縣,台東市,65-69,2000
4881,2023-03-17,台東縣,台東市,4,531
4882,2023-03-15,台東縣,台東市,2,495
4883,2023-03-12,台東縣,台東市,0,376
