UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
217,2023-06-14,台東縣,台東市,1,47721,0.14
568,2023-03-21,台東縣,台東市,4,47720,28.86
804,2023-03-20,台東縣,台東市,11,47716,35.43
1108,2023-03-19,台東縣,台東市,13,47705,43.29
1443,2023-03-18,台東縣,台東市,47,47692,45.14
1788,2023-03-17,台東縣,台東市,47,47645,43.86
2141,2023-03-16,台東縣,台東市,44,47598,42.43
2494,2023-03-15,台東縣,台東市,36,47554,43.14
2844,2023-03-14,台東縣,台東市,50,47518,45.57
3201,2023-03-13,台東縣,台東市,66,47468,43.86
3556,2023-03-12,台東縣,台東市,26,47402,40.71
3906,2023-03-11,台東縣,台東市,38,47376,41.86
4256,2023-03-10,台東縣,台東市,37,47338,43.14
4613,2023-03-09,台東縣,台東市,49,47301,44.71
4969,2023-03-08,台東縣,台東市,53,47252,46.29
5325,2023-03-07,台東縣,台東市,38,47199,48.71
5688,2023-03-06,台東縣,台東市,44,47161,49.43
6046,2023-03-05,台東縣,台東市,34,47117,47.00
6387,2023-03-04,台東縣,台東市,47,47083,45.43
6741,2023-03-03,台東縣,台東市,48,47036,46.00
7103,2023-03-02,台東縣,台東市,60,46988,47.71
7465,2023-03-01,台東縣,台東市,70,46928,47.00
7836,2023-02-28,台東縣,台東市,43,46858,45.86
8202,2023-02-27,台東縣,台東市,27,46815,52.00
8552,2023-02-26,台東縣,台東市,23,46788,62.71
8906,2023-02-25,台東縣,台東市,51,46765,66.71
9275,2023-02-24,台東縣,台東市,60,46714,70.00
9637,2023-02-23,台東縣,台東市,55,46654,69.29
10008,2023-02-22,台東縣,台東市,62,46599,73.57
10380,2023-02-21,台東縣,台東市,86,46537,73.71
10753,2023-02-20,台東縣,台東市,102,46451,72.14
11126,2023-02-19,台東縣,台東市,51,46349,68.29
11488,2023-02-18,台東縣,台東市,74,46298,67.00
11854,2023-02-17,台東縣,台東市,55,46224,65.57
12229,2023-02-16,台東縣,台東市,85,46169,66.00
12603,2023-02-15,台東縣,台東市,63,46084,65.43
12978,2023-02-14,台東縣,台東市,75,46021,68.71
13349,2023-02-13,台東縣,台東市,75,45946,69.86
13725,2023-02-12,台東縣,台東市,42,45871,72.57
14086,2023-02-11,台東縣,台東市,64,45829,74.00
14455,2023-02-10,台東縣,台東市,58,45765,79.43
14829,2023-02-09,台東縣,台東市,81,45707,86.29
15208,2023-02-08,台東縣,台東市,86,45626,95.43
15586,2023-02-07,台東縣,台東市,83,45540,99.29
15966,2023-02-06,台東縣,台東市,94,45457,108.00
16342,2023-02-05,台東縣,台東市,52,45363,113.71
16716,2023-02-04,台東縣,台東市,102,45311,120.29
17095,2023-02-03,台東縣,台東市,106,45209,118.14
17481,2023-02-02,台東縣,台東市,145,45103,114.29
17862,2023-02-01,台東縣,台東市,113,44958,105.43
18242,2023-01-31,台東縣,台東市,144,44845,98.14
18627,2023-01-30,台東縣,台東市,134,44701,85.29
19013,2023-01-29,台東縣,台東市,98,44567,75.57
19391,2023-01-28,台東縣,台東市,87,44469,67.57
19767,2023-01-27,台東縣,台東市,79,44382,61.71
20148,2023-01-26,台東縣,台東市,83,44303,61.00
20519,2023-01-25,台東縣,台東市,62,44220,58.57
20887,2023-01-24,台東縣,台東市,54,44158,56.86
21260,2023-01-23,台東縣,台東市,66,44104,59.71
21628,2023-01-22,台東縣,台東市,42,44038,60.57
21996,2023-01-21,台東縣,台東市,46,43996,60.14
22369,2023-01-20,台東縣,台東市,74,43950,64.57
22734,2023-01-19,台東縣,台東市,66,43876,61.43
23107,2023-01-18,台東縣,台東市,50,43810,62.29
23472,2023-01-17,台東縣,台東市,74,43760,64.86
23840,2023-01-16,台東縣,台東市,72,43686,64.29
24218,2023-01-15,台東縣,台東市,39,43614,63.43
24581,2023-01-14,台東縣,台東市,77,43575,64.43
24948,2023-01-13,台東縣,台東市,52,43498,64.43
25319,2023-01-12,台東縣,台東市,72,43446,69.57
25692,2023-01-11,台東縣,台東市,68,43374,72.71
26069,2023-01-10,台東縣,台東市,70,43306,80.14
26442,2023-01-09,台東縣,台東市,66,43236,87.29
26816,2023-01-08,台東縣,台東市,46,43170,89.29
27176,2023-01-07,台東縣,台東市,77,43124,92.43
27550,2023-01-06,台東縣,台東市,88,43047,91.86
27926,2023-01-05,台東縣,台東市,94,42959,89.43
28305,2023-01-04,台東縣,台東市,120,42865,88.86
28687,2023-01-03,台東縣,台東市,120,42745,83.14
29067,2023-01-02,台東縣,台東市,80,42625,78.29
29439,2023-01-01,台東縣,台東市,68,42545,78.43
29799,2022-12-31,台東縣,台東市,73,42477,74.43
30167,2022-12-30,台東縣,台東市,71,42404,73.14
30541,2022-12-29,台東縣,台東市,90,42333,69.57
30912,2022-12-28,台東縣,台東市,80,42243,67.29
31282,2022-12-27,台東縣,台東市,86,42163,64.86
31657,2022-12-26,台東縣,台東市,81,42077,65.14
32025,2022-12-25,台東縣,台東市,40,41996,64.29
32384,2022-12-24,台東縣,台東市,64,41956,63.71
32742,2022-12-23,台東縣,台東市,46,41892,62.43
33110,2022-12-22,台東縣,台東市,74,41846,65.14
33475,2022-12-21,台東縣,台東市,63,41772,63.29
33842,2022-12-20,台東縣,台東市,88,41709,62.43
34208,2022-12-19,台東縣,台東市,75,41621,60.29
34574,2022-12-18,台東縣,台東市,36,41546,57.14
34925,2022-12-17,台東縣,台東市,55,41510,57.29
35287,2022-12-16,台東縣,台東市,65,41455,57.71
35650,2022-12-15,台東縣,台東市,61,41390,56.71
36020,2022-12-14,台東縣,台東市,57,41329,57.43
36379,2022-12-13,台東縣,台東市,73,41272,58.00
36759,2022-12-12,台東縣,台東市,53,41199,55.43
37121,2022-12-11,台東縣,台東市,37,41146,58.29
37480,2022-12-10,台東縣,台東市,58,41109,59.29
37847,2022-12-09,台東縣,台東市,58,41051,60.00
38214,2022-12-08,台東縣,台東市,66,40993,59.57
38588,2022-12-07,台東縣,台東市,61,40927,61.71
38955,2022-12-06,台東縣,台東市,55,40866,62.14
39331,2022-12-05,台東縣,台東市,73,40811,62.57
39706,2022-12-04,台東縣,台東市,44,40738,65.57
40074,2022-12-03,台東縣,台東市,63,40694,64.86
40442,2022-12-02,台東縣,台東市,55,40631,65.43
