UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4846,2023-06-14,台東縣,太麻里鄉,40-44,202
4847,2023-06-14,台東縣,太麻里鄉,15-19,276
4848,2023-03-19,台東縣,太麻里鄉,20-24,182
4849,2023-03-18,台東縣,太麻里鄉,30-34,197
4850,2023-03-18,台東縣,太麻里鄉,55-59,230
4851,2023-03-16,台東縣,太麻里鄉,50-54,196
4852,2023-03-15,台東縣,太麻里鄉,70+,458
4853,2023-03-14,台東縣,太麻里鄉,5-9,206
4854,2023-03-11,台東縣,太麻里鄉,60-64,199
4855,2023-03-07,台東縣,太麻里鄉,65-69,189
4856,2023-03-01,台東縣,太麻里鄉,45-49,226
4857,2023-03-01,台東縣,太麻里鄉,35-39,178
4858,2023-03-01,台東縣,太麻里鄉,25-29,198
4859,2023-02-27,台東縣,太麻里鄉,10-14,220
4860,2023-02-27,台東縣,太麻里鄉,4,42
4861,2023-02-10,台東縣,太麻里鄉,2,29
4862,2023-02-02,台東縣,太麻里鄉,3,28
4863,2022-12-02,台東縣,太麻里鄉,1,38
4864,2022-10-29,台東縣,太麻里鄉,0,24
